0	Index      	 *	Score 	Summary	Detail	
1	47133 46241	 * 	303.97	DCR|DCR|3VULN|1DMG	1MBVNT|245VULN|3DUR|6RPLT|79RCR|8CGEN|aDMG
2	47133 46143	   	283.90	DCR|DCR|3VULN	1MBVNT|245VULN|3DUR|6RPLT|79RCR|8BBNT|aRMIN
3	47133 46242	   	283.90	DCR|DCR|3VULN	1MBVNT|245VULN|3DUR|6RPLT|79RCR|8CGEN|aLWND
4	47133 46244	   	283.90	DCR|DCR|3VULN	1MBVNT|245VULN|3DUR|6RPLT|79RCR|8CGEN|aTBNT
5	47133 46141	   	283.80	DCR|DCR|3VULN	1MBVNT|245VULN|3DUR|6RPLT|79RCR|8BBNT|aERES
6	47133 46142	   	283.80	DCR|DCR|3VULN	1MBVNT|245VULN|3DUR|6RPLT|79RCR|8BBNT|aDUST
7	47133 46144	   	283.80	DCR|DCR|3VULN	1MBVNT|245VULN|3DUR|6RPLT|79RCR|8BBNT|aAME
8	47133 46243	   	283.80	DCR|DCR|3VULN	1MBVNT|245VULN|3DUR|6RPLT|79RCR|8CGEN|aCANTOX
9	22343 15136	   	277.14	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	1VULN|2CGEN|3MDPS|4DMG|5LHND|69RCR|7CDMG|8DUR|aMLV
10	43181 51224	 * 	277.04	DCR|DCR|2VULN|2MLV	1MBVNT|2FRZARM|36VULN|4BBNT|56MLV|6BPWR|7aRCR|8CGEN|9RCVC
11	43181 51234	   	277.04	DCR|DCR|2VULN|2MLV	1MBVNT|2FRZARM|36VULN|4BBNT|56MLV|6BPWR|7aRCR|89CGEN
12	43181 51134	   	276.94	DCR|DCR|2VULN|2MLV	1MBVNT|2FRZARM|36VULN|4BBNT|56MLV|6BPWR|7aRCR|8RCVC|9ERES
13	43181 51334	   	276.94	DCR|DCR|2VULN|2MLV	1MBVNT|2FRZARM|36VULN|4BBNT|56MLV|6BPWR|7aRCR|8DMSP|9ERES
14	42138 15441	   	275.41	DCR|DCR|2VULN|1CDMG	1MBVNT|2FEWX|3DUR|4aVULN|5CDMG|6TLV|7RPLT|89RCR
15	44181 22441	   	275.41	DCR|DCR|2VULN|1CDMG	1MBVNT|2RPLT|3LHND|4aVULN|5TLV|6CDMG|7DUR|89RCR
16	44183 12441	   	275.41	DCR|DCR|2VULN|1CDMG	1MBVNT|2RPLT|3LHND|4aVULN|5CDMG|6RMIN|7DUR|89RCR
17	44183 52441	   	275.41	DCR|DCR|2VULN|1CDMG	1MBVNT|2RPLT|3LHND|4aVULN|5CDMG|6CGEN|7DUR|89RCR
18	44333 27441	   	275.41	DCR|DCR|2VULN|1CDMG	1MBVNT|2RPLT|3CGEN|4LWND|5DUR|6CDMG|7aVULN|89RCR
19	44361 27441	   	275.41	DCR|DCR|2VULN|1CDMG	1MBVNT|2RPLT|3CGEN|4BEXP|5DUR|6CDMG|7aVULN|89RCR
20	44371 27441	   	275.41	DCR|DCR|2VULN|1CDMG	1MBVNT|2RPLT|3CGEN|4FEWX|5DUR|6CDMG|7aVULN|89RCR
21	42113 45441	   	275.31	DCR|DCR|2VULN|1CDMG	1MBVNT|2FEWX|3DUR|4AME|5CDMG|6aVULN|7RPLT|89RCR
22	42743 45441	   	275.31	DCR|DCR|2VULN|1CDMG	1MBVNT|2FEWX|3ERES|4DUR|5CDMG|6aVULN|7RPLT|89RCR
23	44185 22441	   	275.31	DCR|DCR|2VULN|1CDMG	1MBVNT|2RPLT|3LHND|4aVULN|5ERES|6CDMG|7DUR|89RCR
24	44311 27441	   	275.31	DCR|DCR|2VULN|1CDMG	1MBVNT|2RPLT|3CGEN|4DUST|5DUR|6CDMG|7aVULN|89RCR
25	47113 51441	   	275.21	DCR|DCR|2VULN|1CDMG	1MBVNT|2aVULN|3DUR|4AME|5CDMG|6RPLT|7DUST|89RCR
26	44454 26241	 * 	275.06	ACR|DCR|3VULN|1DMG	1MBVNT|2RPLT|39RCR|467VULN|5DUR|8CGEN|aDMG
27	26111 23441	   	274.44	DCR|DCR|3VULN	169VULN|289FEWX|3DUR|4AME|59CGEN|7aRCR|9BPWR
28	22263 42235	   	274.15	DCR|DCR|2MLV|1VULN|1ASPD	1VULN|2CGEN|3FEWX|4AART|5aMLV|6RMIN|79RCR|8ASPD
29	22163 42235	   	274.05	DCR|DCR|2MLV|1VULN|1ASPD	1VULN|2CGEN|3DUST|4AART|5aMLV|6RMIN|79RCR|8ASPD
