0	Index      	 *	Score 	Summary	Detail	
1	24512 35221	 * 	266.67	紫橙2易伤1伤害1攻速1平台	1平台27易伤3a核4时间5最后敌人6赏金邻近8伤害9攻速
2	45312 12225	 * 	264.75	橙橙1易伤1伤害1矿等1平台	1散射对绿2平台3矿等4雷电5伤害6挖尘79核8额外掉落a易伤
3	24116 31151	   	260.87	橙橙1易伤1伤害1攻速1平台	1平台2易伤3双倍秒伤4伤害5攻速6最后敌人7挖尘8敌人爆炸9a核
4	21111 32321	   	260.77	橙橙1易伤1伤害1攻速1平台	1平台248掉矿3立即金币5攻速6a核7易伤9伤害
5	21131 32321	   	260.77	橙橙1易伤1伤害1攻速1平台	1平台248掉矿3立即金币4序列升级5攻速6a核7易伤9伤害
6	24142 84113	 * 	258.55	橙橙2易伤2平台	19平台28易伤3双倍秒伤4加一5赏金邻近6基地爆炸7a核
7	24143 34113	   	258.55	橙橙2易伤2平台	19平台28易伤3双倍秒伤4加一5低血量敌人6赏金邻近7a核
8	24323 52121	   	255.72	橙橙1易伤1伤害1平台	1平台2易伤3时间4技能5双倍矿6a核7伤害8低血量敌人9赏金塔
9	54137 23124	 * 	255.24	橙橙2伤害1易伤	1低血量敌人2加一3金币生成49伤害5额外掉落6易伤7a核8雷电
10	45311 32513	   	254.35	橙橙1易伤1矿等1全技能1平台	1散射对绿2平台3矿等4雷电5敌人爆炸6易伤7掉矿89核a全技能
11	24552 32321	   	252.68	紫橙2易伤1伤害1平台1策反	1平台25易伤3a核4策反6挖尘7伤害8时间9赏金塔
12	24553 32321	   	252.53	紫橙2易伤1伤害1平台2策反	1平台25易伤3a核45策反5序列升级6挖尘7伤害8时间9赏金塔
13	35437 16233	   	251.80	橙橙2易伤	1技能点2加一3雷电4毒液对毒5时间6a易伤7散射对甲89核
14	35437 18233	   	251.80	橙橙2易伤	1技能点2加一3雷电4毒液对毒5时间6a易伤7喷火对黄89核
15	34351 12431	   	248.78	橙橙1易伤1矿等1攻速	1技能点2矿等36雷电4额外掉落5攻速7基地爆炸89核a易伤
