0	Index      	 *	Score 	Summary	Detail	
1	21256 14348	 * 	319.10	橙橙2易伤2伤害3攻速	14a攻速2a伤害3基地爆炸5掉矿6加一78核9a易伤a序列升级
2	31262 14348	 * 	310.75	橙橙2易伤3伤害1攻速	12a伤害3a掉矿4基地爆炸5攻速6加一78核9a易伤a序列升级
3	33262 14348	   	310.75	橙橙2易伤3伤害1攻速	12a伤害2a序列升级3a掉矿4基地爆炸5攻速6加一78核9a易伤
4	21226 14348	   	307.65	橙橙2易伤2伤害2攻速	1a攻速2a伤害3基地爆炸4立即金币5掉矿6加一78核9a易伤a序列升级
5	52642 43423	 * 	300.35	橙橙3易伤2攻速	123易伤4加一57攻速6低血量敌人8时间9a核
6	52653 13423	   	300.35	橙橙3易伤2攻速	123易伤47攻速5敌人爆炸6加一8时间9a核
7	53332 18123	   	297.12	橙橙3易伤1矿等1攻速	147易伤2矿等3金币生成5攻速6加一8基地爆炸9a核
8	53332 18423	   	297.12	橙橙3易伤1矿等1攻速	147易伤2矿等3金币生成5攻速6加一8最后敌人9a核
9	52642 43123	   	292.04	橙橙3易伤2攻速	123易伤4加一57攻速6低血量敌人8基地爆炸9a核
10	52642 43323	   	292.04	橙橙3易伤2攻速	123易伤4加一57攻速6低血量敌人8最后敌人9a核
11	52653 13123	   	292.04	橙橙3易伤2攻速	123易伤47攻速5敌人爆炸6加一8基地爆炸9a核
12	52653 13323	   	292.04	橙橙3易伤2攻速	123易伤47攻速5敌人爆炸6加一8最后敌人9a核
13	25212 31441	   	291.05	橙橙1易伤2攻速1伤害1矿等	16攻速2平台3伤害4矿等5低血量敌人7a核8易伤9金币生成
14	12342 62241	   	290.81	橙橙2易伤1伤害1矿等1策反	1挖尘29易伤3随机矿4策反5平台6a核7伤害8矿等
15	12612 62241	   	290.81	橙橙2易伤1伤害1矿等1策反	1挖尘29易伤3平台4策反5金币生成6a核7伤害8矿等
16	31116 44321	   	290.76	橙橙2易伤2伤害1卖塔	12伤害3卖塔4平台5掉矿68核7a易伤9双倍秒伤
17	33116 44321	   	290.76	橙橙2易伤2伤害1卖塔	12伤害2序列升级3卖塔4平台5掉矿68核7a易伤9双倍秒伤
18	53332 14123	 * 	290.59	橙橙2易伤2矿等1攻速	14易伤27矿等3金币生成5攻速6加一8基地爆炸9a核
19	53332 14423	   	290.59	橙橙2易伤2矿等1攻速	14易伤27矿等3金币生成5攻速6加一8最后敌人9a核
20	53353 18123	   	290.59	橙橙2易伤2矿等1攻速	17易伤25矿等3金币生成4攻速6加一8基地爆炸9a核
21	53353 18423	   	290.59	橙橙2易伤2矿等1攻速	17易伤25矿等3金币生成4攻速6加一8最后敌人9a核
22	31512 53423	   	289.75	橙橙2伤害1易伤2攻速	12伤害3基地爆炸4技能57攻速6时间8易伤9a核
23	33512 53423	   	289.75	橙橙2伤害1易伤2攻速	12伤害2序列升级3基地爆炸4技能57攻速6时间8易伤9a核
