0	Index      	 *	Score 	Summary	Detail	
1	64322 13116	 * 	275.43	紫橙2易伤2矿等1攻速1暴击	17矿等2最后敌人3暴击4a核5攻速6基地爆炸89易伤
2	64321 23116	   	270.09	紫橙2易伤2矿等1暴击	17矿等2最后敌人3暴击4a核5时间6技能89易伤
3	31251 51533	 * 	268.84	橙橙1易伤1伤害1矿等1暴击	1雷电2矿等3低血量敌人4赏金邻近5暴击6易伤7伤害8a核9挖尘
4	11133 43512	 * 	263.86	橙橙2易伤1伤害	159挖尘269基地爆炸3伤害4金币生成7a核89易伤9序列升级
5	51113 33154	   	260.97	橙橙1易伤1伤害1攻速1平台	1寒冰对甲2易伤3平台4最后敌人5基地爆炸6伤害79核8双倍秒伤a攻速
6	51111 33154	   	260.87	橙橙1易伤1伤害1攻速1平台	1寒冰对甲2易伤3平台4最后敌人5挖青6伤害79核8双倍秒伤a攻速
7	23151 51533	   	259.61	橙橙1易伤1伤害1暴击	1时间2金币生成3雷电4赏金塔5暴击6易伤7伤害8a核9挖尘
8	33114 51533	   	259.61	橙橙1易伤1伤害1暴击	1雷电2暴击3掉矿4时间5赏金邻近6易伤7伤害8a核9最后敌人
9	33266 11533	   	259.61	橙橙1易伤1伤害1暴击	1雷电2暴击3等级4赏金塔5易伤6时间7伤害8a核9挖尘
10	62436 26444	   	256.98	橙橙1易伤1矿等1攻速	1矿等2加一3随机矿4掉矿5敌人爆炸6时间7攻速89核a易伤
11	62437 26444	   	256.98	橙橙1易伤1矿等1攻速	1矿等2加一3随机矿4掉矿5最后敌人6时间7攻速89核a易伤
12	64321 21216	   	254.48	紫橙2易伤1矿等1暴击	1矿等2最后敌人3暴击4a核5时间68技能79易伤
13	31522 62161	 * 	252.19	橙橙3矿等1全技能1平台1策反	18雷电258矿等3平台458最后敌人58序列升级6全技能7a核9策反
14	31524 62133	 * 	251.91	橙橙2矿等1攻速1全技能1平台	18雷电28矿等3平台48最后敌人5立即金币6全技能7a核8序列升级9攻速
15	31512 34633	   	251.71	橙橙2矿等1攻速1全技能1平台	1雷电26矿等3平台4金币生成5全技能7a核8等级9攻速
16	61342 34233	   	251.71	橙橙2矿等1攻速1全技能1平台	16矿等2等级3平台4雷电5全技能7a核8金币生成9攻速
17	61342 42333	   	251.71	橙橙2矿等1攻速1全技能1平台	18矿等2等级3平台4雷电5全技能6金币生成7a核9攻速
18	61362 34233	   	251.71	橙橙2矿等1攻速1全技能1平台	16矿等2等级3平台4全技能5雷电7a核8金币生成9攻速
19	61362 42333	   	251.71	橙橙2矿等1攻速1全技能1平台	18矿等2等级3平台4全技能5雷电6金币生成7a核9攻速
