0	Index      	 *	Score 	Summary	Detail	
1	24612 42622	 * 	264.85	橙橙1易伤1伤害1矿等1平台	15低血量敌人2平台3加一4基地爆炸68核7矿等9易伤a伤害
2	33631 11354	 * 	263.76	橙橙2易伤1伤害	1等级2双倍秒伤3伤害4喷火对甲59易伤6基地爆炸7a核8散射对甲
3	33631 31354	   	263.66	橙橙2易伤1伤害	1等级2双倍秒伤3伤害4喷火对甲59易伤6挖尘7a核8散射对甲
4	12315 15115	   	258.44	橙橙1易伤1矿等1暴击1平台	1金币生成2技能3易伤4暴击5矿等6挖尘79核8雷电a平台
5	24612 42644	   	258.44	橙橙1易伤1矿等1暴击1平台	15低血量敌人2平台3加一4基地爆炸68核7矿等9暴击a易伤
6	22264 33633	   	252.81	橙橙1易伤1暴击1攻速1策反1卖塔	1低血量敌人2时间3卖塔4策反5暴击6攻速7易伤8a核9赏金邻近
7	53521 26333	 * 	252.34	紫橙2伤害1易伤2攻速	17激光减费27攻速3核弹47伤害5a核6双倍秒伤7序列升级8赏金塔9易伤
8	24612 42624	   	251.72	橙橙1易伤1矿等1平台	15低血量敌人2平台3加一4基地爆炸68核7矿等9易伤a核弹
9	12315 15112	   	248.78	橙橙1易伤1矿等1暴击	1金币生成2技能3易伤4暴击5矿等6挖尘79核8雷电a敌人爆炸
10	12315 15113	   	248.78	橙橙1易伤1矿等1暴击	1金币生成2技能3易伤4暴击5矿等6挖尘79核8雷电a随机矿
11	12315 15114	   	248.78	橙橙1易伤1矿等1暴击	1金币生成2技能3易伤4暴击5矿等6挖尘79核8雷电a赏金邻近
12	12315 15111	   	248.68	橙橙1易伤1矿等1暴击	1金币生成2技能3易伤4暴击5矿等6挖尘79核8雷电a技能点
13	12315 15116	   	248.68	橙橙1易伤1矿等1暴击1策反	1金币生成2技能3易伤4暴击5矿等6挖尘79核8雷电a策反
14	12332 15111	   	248.68	橙橙1易伤1矿等1暴击	1金币生成2技能3易伤4技能点5暴击6挖尘79核8雷电a矿等
15	12342 15111	   	248.68	橙橙1易伤1矿等1暴击	1金币生成2技能3易伤4掉矿5暴击6挖尘79核8雷电a矿等
16	16262 15111	   	248.68	橙橙1易伤1矿等1暴击	1金币生成2易伤3掉矿4技能5暴击6挖尘79核8雷电a矿等
17	13252 52242	 * 	247.99	橙4易伤1伤害1矿等1攻速	1金币生成2双倍秒伤3458易伤6伤害7攻速9核a矿等
18	33252 52242	   	247.99	橙4易伤1伤害1矿等1攻速	1等级2双倍秒伤3458易伤6伤害7攻速9核a矿等
19	16612 31452	 * 	246.95	橙3易伤3矿等1攻速	18金币生成258易伤3时间4加一6攻速78a矿等8序列升级9核
20	51122 53622	   	245.86	橙橙1易伤1伤害	1激光减费2额外掉落3掉矿45低血量敌人6伤害79核8易伤a时间
21	24612 42621	   	244.69	橙橙1易伤1矿等1平台	15低血量敌人2平台3加一4基地爆炸68核7矿等9易伤a狙击对黄
