0	Index      	 *	Score 	Summary	Detail	
1	22532 62263	 * 	272.27	橙橙1易伤2攻速1伤害	15最后敌人2金币生成3伤害45攻速5序列升级6a核7激光对冰8易伤9时间
2	33364 53112	 * 	268.00	紫橙2易伤2矿等3时间	1赏金塔29a时间34挖尘56核7a矿等8a易伤a序列升级
3	63151 31214	 * 	261.23	橙橙2易伤1矿等	1技能点2矿等3雷电45易伤6a核7双倍秒伤8等级9基地爆炸
4	36224 52312	 * 	261.16	紫橙2易伤2攻速3时间	1赏金塔2随机矿37a时间4金币生成56核8a攻速9a易伤a序列升级
5	63151 31224	   	261.13	橙橙2易伤1矿等	1技能点2矿等3雷电45易伤6a核7双倍秒伤8等级9挖青
6	25222 26363	 * 	258.37	紫橙2易伤1伤害1攻速1全技能	1最后敌人2全技能36敌人爆炸4伤害5a核78易伤9攻速
7	25432 11363	   	258.37	紫橙2易伤1伤害1攻速1全技能	15最后敌人2全技能3a核4伤害68易伤7基地爆炸9攻速
8	25433 34321	   	258.27	紫橙2易伤1伤害1攻速1全技能	1最后敌人2全技能3a核4伤害5额外掉落6攻速79易伤8挖尘
9	42532 35213	 * 	256.19	橙橙2伤害2矿等	1技能2双倍秒伤34伤害57矿等6最后敌人8a核9防空对愈
10	13526 26211	 * 	256.14	橙橙3伤害1矿等	1掉矿2矿等3金币生成4喷火对黄5寒冰对黄68a伤害79核
11	43132 32315	   	250.52	橙橙1易伤2平台1全技能	1技能2a平台3时间4易伤5金币生成69核7低血量敌人8全技能
12	44225 12133	   	245.96	橙橙1易伤1伤害	18技能2寒冰对甲3易伤4时间5伤害6金币生成7a核9挖尘
13	44225 12333	   	245.96	橙橙1易伤1伤害	1技能2寒冰对甲3易伤4时间5伤害68金币生成7a核9挖尘
14	43132 32311	   	245.32	橙橙1易伤1全技能1平台	1a技能2平台3时间4易伤5金币生成69核7低血量敌人8全技能
15	43132 32313	   	245.32	橙橙1易伤1全技能1平台	1技能2平台3时间4易伤5金币生成69核7低血量敌人8全技能a赏金塔
16	43132 32316	   	245.32	橙橙1易伤1全技能1平台	1技能2平台3时间4易伤5金币生成69核7低血量敌人8全技能a额外掉落
17	24256 33311	   	245.22	橙橙1易伤1全技能1平台	1最后敌人2时间3a技能4平台5易伤69核7掉矿8全技能
18	24256 33313	   	245.22	橙橙1易伤1全技能1平台	1最后敌人2时间3技能4平台5易伤69核7掉矿8全技能a赏金塔
19	43132 32312	   	245.22	橙橙1易伤1全技能1平台	1技能2平台3时间4易伤5金币生成69核7低血量敌人8全技能a挖青
20	43132 32314	   	245.22	橙橙1易伤1全技能1平台	1技能2平台3时间4易伤5金币生成69核7低血量敌人8全技能a爆破对壮
21	24256 33312	   	245.12	橙橙1易伤1全技能1平台	1最后敌人2时间3技能4平台5易伤69核7掉矿8全技能a挖青
22	43223 62224	   	244.89	橙橙1易伤1矿等1平台	1技能2平台3随机矿4矿等5雷电6a核7赏金邻近8易伤9基地爆炸
23	43223 62253	   	244.89	橙橙1易伤1矿等1平台	1技能2平台3随机矿4矿等5雷电6a核7赏金邻近8易伤9低血量敌人
24	25222 24533	 * 	244.62	紫橙1易伤2攻速1伤害1全技能	1最后敌人2全技能36敌人爆炸4伤害5a核78攻速9易伤
25	26151 31214	   	243.80	橙橙2易伤	12最后敌人3雷电45易伤6a核7双倍秒伤8等级9基地爆炸
26	26151 31224	   	243.70	橙橙2易伤	12最后敌人3雷电45易伤6a核7双倍秒伤8等级9挖青
27	15152 14225	   	243.60	橙橙2易伤	1掉矿2额外掉落35易伤4导弹对毒6加一7a核8赏金邻近9低血量敌人
28	15152 14245	   	243.60	橙橙2易伤	1掉矿2额外掉落35易伤4导弹对毒6加一7a核8赏金邻近9基地爆炸
29	13513 36114	   	243.43	橙橙1易伤1矿等	1掉矿2矿等3金币生成4雷电5时间6易伤7a核8最后敌人9基地爆炸
30	13513 36314	   	243.43	橙橙1易伤1矿等	1掉矿2矿等3金币生成4雷电5时间6易伤7a核8敌人爆炸9基地爆炸
31	33115 12212	   	243.43	橙橙1易伤1矿等	1赏金塔2时间3技能4赏金邻近5矿等6双倍秒伤7a核8易伤9最后敌人
32	33115 12232	   	243.43	橙橙1易伤1矿等	1赏金塔2时间3技能4赏金邻近5矿等6双倍秒伤7a核8易伤9基地爆炸
33	33115 12242	   	243.43	橙橙1易伤1矿等	1赏金塔2时间3技能4赏金邻近5矿等6双倍秒伤7a核8易伤9敌人爆炸
34	33224 51235	   	243.36	紫橙2易伤1伤害	1赏金塔2时间3等级4金币生成56核7低血量敌人8a易伤9伤害
35	21224 52235	   	243.36	紫橙2易伤1伤害	1最后敌人2随机矿3赏金塔4金币生成56核7时间8a易伤9伤害
36	22214 52235	   	243.36	紫橙2易伤1伤害	1最后敌人2金币生成3赏金塔4等级56核7时间8a易伤9伤害
37	23224 52235	   	243.36	紫橙2易伤1伤害	1最后敌人2赏金塔3等级4金币生成56核7时间8a易伤9伤害
38	13513 36324	   	243.33	橙橙1易伤1矿等	1掉矿2矿等3金币生成4雷电5时间6易伤7a核8敌人爆炸9挖青
39	23516 23511	 * 	242.58	橙3易伤1伤害1矿等1暴击1攻速	1最后敌人2赏金塔3暴击489易伤5攻速6矿等7核a伤害
40	31516 23511	   	242.58	橙3易伤1伤害1矿等1暴击1攻速	1赏金塔2低血量敌人3暴击489易伤5攻速6矿等7核a伤害
