0	Index      	 *	Score 	Summary	Detail	
1	26132 71622	 * 	301.37	橙橙3矿等1易伤1伤害1攻速	147矿等2伤害3易伤5加一6赏金塔8攻速9a核
2	31523 53222	 * 	292.14	橙橙4易伤	1挖青279a易伤3雷电49加农对甲59基地爆炸68核9序列升级
3	53633 23143	 * 	290.03	橙橙1易伤2攻速1伤害1暴击	1赏金塔2a攻速3平台4伤害5技能6易伤78核9暴击
4	53633 23131	   	289.76	橙橙1易伤1伤害1矿等1攻速	1赏金塔2攻速3平台4伤害5技能6易伤78核9时间a矿等
5	25132 73122	   	287.72	橙橙3矿等1易伤1伤害	148矿等2技能3易伤5加一6赏金塔7伤害9a核
6	26132 76122	   	287.72	橙橙3矿等1易伤1伤害	148矿等2伤害3易伤5加一6赏金塔7技能9a核
7	26132 86122	   	287.48	橙橙3矿等1易伤1伤害1策反	148矿等2伤害3易伤5加一6策反7赏金塔9a核
8	31523 53263	   	285.54	橙橙3易伤1暴击	1挖青27a易伤3雷电4加农对甲5基地爆炸68核9暴击
9	31523 53225	   	281.65	橙橙3易伤	1挖青279易伤3雷电49加农对甲59基地爆炸68核9序列升级a全技能
10	53633 23151	   	281.46	橙橙1易伤1伤害1矿等1攻速	1赏金塔2攻速3平台4伤害5技能6易伤78核9敌人爆炸a矿等
11	53633 23161	   	281.36	橙橙1易伤1伤害1矿等1攻速	1赏金塔2攻速3平台4伤害5技能6易伤78核9挖尘a矿等
12	25132 71622	   	281.31	橙橙3矿等1易伤1攻速	147矿等2技能3易伤5加一6赏金塔8攻速9a核
13	12162 62464	   	280.04	橙橙2易伤1攻速	1攻速2掉矿38易伤4全技能5加一6a核7随机矿9时间
14	31365 23253	   	279.41	橙橙2易伤2全技能1暴击	1挖青23易伤49全技能5暴击6a核7挖尘8导弹对绿
15	53633 23141	   	277.57	橙橙1易伤1伤害1攻速1暴击	1赏金塔2攻速3平台4伤害5技能6易伤78核9暴击a赏金邻近
16	53633 23142	   	277.57	橙橙1易伤1伤害1攻速1暴击	1赏金塔2攻速3平台4伤害5技能6易伤78核9暴击a金币生成
17	12132 42522	   	274.74	橙橙1易伤1矿等1攻速1暴击	1攻速257掉矿3易伤4矿等6暴击8平台9a核
18	53633 33113	 * 	274.07	橙橙2伤害2攻速2时间	1赏金塔2a攻速3平台4a伤害5技能6a时间78核9立即金币a序列升级
19	53633 33123	   	274.07	橙橙2伤害2攻速2时间	1赏金塔2a攻速3平台4a伤害5技能6a时间78核9双倍矿a序列升级
20	53633 23122	   	273.59	橙橙1易伤1伤害1攻速	1赏金塔2攻速3平台4伤害5a技能6易伤78核9全技能
21	53633 23125	   	273.59	橙橙1易伤1伤害1攻速	1赏金塔2攻速3平台4伤害5技能6易伤78核9全技能a低血量敌人
22	53633 23126	   	273.59	橙橙1易伤1伤害1攻速	1赏金塔2攻速3平台4伤害5技能6易伤78核9全技能a激光对冰
23	53633 23121	   	273.49	橙橙1易伤1伤害1攻速	1赏金塔2攻速3平台4伤害5技能6易伤78核9全技能a基础对愈
24	53633 23123	   	273.49	橙橙1易伤1伤害1攻速	1赏金塔2攻速3平台4伤害5技能6易伤78核9全技能a掉矿
25	53633 23124	   	273.49	橙橙1易伤1伤害1攻速	1赏金塔2攻速3平台4伤害5技能6易伤78核9全技能a挖尘
26	53633 23132	   	272.23	橙橙1易伤1伤害1攻速	1赏金塔2攻速3平台4伤害5技能6易伤78核9时间a金币生成
27	53633 23134	   	272.23	橙橙1易伤1伤害1攻速	1赏金塔2攻速3平台4伤害5技能6易伤78核9时间a随机矿
28	53633 23136	   	272.23	橙橙1易伤1伤害1攻速	1赏金塔2攻速3平台4伤害5技能6易伤78核9时间a敌人爆炸
29	53633 23133	   	272.13	橙橙1易伤1伤害1攻速	1赏金塔2攻速3平台4伤害5技能6易伤78核9时间a掉矿
30	31523 51224	   	271.99	橙橙3易伤	1挖青29a易伤3雷电49加农对甲579基地爆炸68核9序列升级
31	31523 53223	   	271.99	橙橙3易伤	1挖青279易伤3雷电49加农对甲59基地爆炸68核9序列升级a等级
32	31523 53226	   	271.99	橙橙3易伤	1挖青279易伤3雷电49加农对甲59基地爆炸68核9序列升级a最后敌人
33	31523 53221	   	271.89	橙橙3易伤	1挖青279易伤3雷电49加农对甲59基地爆炸68核9序列升级a激光减费
34	31523 53224	   	271.89	橙橙3易伤	1挖青279易伤3雷电49加农对甲59基地爆炸68核9序列升级a挖尘
35	31523 53242	   	271.89	橙橙3易伤	1挖青27a易伤3雷电4加农对甲59基地爆炸68核
36	31523 53252	   	271.89	橙橙3易伤	1挖青27a易伤39雷电4加农对甲5基地爆炸68核
37	31365 23213	   	271.64	橙橙2易伤1暴击	1挖青23易伤4全技能5暴击6a核7挖尘8导弹对绿9立即金币
38	26146 33222	   	271.60	橙橙1易伤1伤害1矿等1攻速	1矿等2伤害3易伤4敌人爆炸5加一6赏金塔7挖尘8攻速9a核
39	31366 12613	   	271.54	橙橙3易伤1卖塔	1挖青238易伤4全技能5电塔对甲6a核7卖塔9最后敌人
40	26136 13211	 * 	271.44	橙2易伤3矿等2伤害2攻速	145矿等2a伤害3a易伤6核7随机矿8赏金邻近9a攻速a序列升级
