0	Index      	 *	Score 	Summary	Detail	
1	12562 43741	 * 	276.90	橙橙1易伤2矿等1暴击1平台	1金币生成2a矿等3暴击4平台5加一6基地爆炸7易伤89核
2	24153 11141	 * 	274.27	紫橙3易伤1矿等1暴击	1防空对愈248易伤3金币生成59核6矿等7低血量敌人a暴击
3	26532 24222	 * 	267.81	橙橙1易伤1伤害1攻速1暴击	1防空对愈2伤害3最后敌人4暴击5攻速68核7技能9低血量敌人a易伤
4	26532 24233	   	267.81	橙橙1易伤1伤害1攻速1暴击	1防空对愈2伤害3最后敌人4暴击5攻速68核7技能9雷电a易伤
5	51131 13323	   	263.35	橙橙1易伤2矿等1全技能	1易伤24矿等3全技能5额外掉落6a核7低血量敌人8金币生成9赏金塔
6	51131 15423	   	263.25	橙橙1易伤2矿等1全技能	1易伤24矿等3全技能5额外掉落6a核7掉矿8敌人爆炸9赏金塔
7	51131 15223	   	263.15	橙橙1易伤2矿等1全技能	1易伤24矿等3全技能5额外掉落6a核7掉矿8挖尘9赏金塔
8	51132 62235	   	263.15	橙橙1易伤2矿等1全技能	1易伤24矿等3全技能5加一6基地爆炸7a核8双倍秒伤9随机矿
9	51132 72235	   	263.05	橙橙1易伤2矿等1全技能	1易伤24矿等3全技能5加一6挖尘7a核8双倍秒伤9随机矿
10	51132 62215	   	263.05	橙橙1易伤2矿等1全技能	1易伤24矿等3全技能5加一6基地爆炸7a核8双倍秒伤9掉矿
11	51132 72215	   	262.95	橙橙1易伤2矿等1全技能	1易伤24矿等3全技能5加一6挖尘7a核8双倍秒伤9掉矿
12	12562 43742	   	261.29	橙橙1易伤1矿等1暴击1平台	1金币生成2矿等3暴击4平台5加一6a基地爆炸7易伤89核
13	12562 43743	   	261.29	橙橙1易伤1矿等1暴击1平台	1金币生成2矿等3暴击4平台5加一6基地爆炸7易伤89核a赏金塔
14	12562 43744	   	261.19	橙橙1易伤1矿等1暴击1平台1挖怪	1金币生成2矿等3暴击4平台5加一6基地爆炸7易伤89核a挖怪
15	24153 11143	   	260.62	紫橙3易伤1矿等	1防空对愈248易伤3金币生成59核6矿等7低血量敌人a敌人爆炸
16	24153 11142	   	260.52	紫橙3易伤1矿等1策反	1防空对愈248易伤3金币生成59核6矿等7低血量敌人a策反
17	31253 32133	 * 	260.47	橙2易伤3伤害2矿等1暴击	1赏金塔2a易伤3赏金邻近467伤害56矿等6序列升级8核9暴击
18	51421 16333	   	260.04	橙橙1易伤1矿等1暴击	1易伤2矿等3暴击4低血量敌人5额外掉落6赏金邻近7时间8最后敌人9a核
19	51431 11333	   	260.04	橙橙1易伤1矿等1暴击	1易伤2矿等3暴击4时间5额外掉落6赏金邻近7低血量敌人8最后敌人9a核
20	51431 21633	   	260.04	橙橙1易伤1矿等1暴击	1易伤2矿等3暴击4时间5额外掉落6最后敌人7敌人爆炸8赏金邻近9a核
