0	Index      	 *	Score 	Summary	Detail	
1	12152 13531	 * 	272.13	橙橙1易伤1伤害1暴击1平台	1最后敌人2伤害3易伤4暴击5挖尘6赏金塔7a核8平台9时间
2	42421 12631	 * 	266.59	橙橙2易伤1平台	1时间24易伤3额外掉落5赏金塔6最后敌人7随机矿8平台9a核
3	22412 63316	   	266.49	橙橙2易伤1全技能	1等级2激光对愈3最后敌人4时间5赏金塔6全技能78易伤9a核
4	42421 11631	   	266.49	橙橙2易伤1平台	1时间24易伤3额外掉落5赏金塔6最后敌人7掉矿8平台9a核
5	42221 52123	 * 	265.75	橙3易伤3伤害2时间1暴击	19时间259易伤3暴击4随机矿6基地爆炸789伤害9序列升级a核
6	42251 42123	   	265.75	橙3易伤3伤害2时间1暴击	19时间249易伤3暴击5基地爆炸6随机矿789伤害9序列升级a核
7	42252 52123	   	265.75	橙3易伤3伤害2时间1暴击	19时间249易伤3暴击5随机矿6基地爆炸789伤害9序列升级a核
8	23615 26131	   	258.19	橙橙2易伤1平台	1等级2立即金币38易伤4额外掉落5双倍秒伤6赏金塔7平台9a核
9	26111 65231	   	256.05	橙橙1易伤1矿等1平台	1等级2矿等3金币生成4额外掉落5平台6易伤7赏金塔8时间9a核
10	26311 65231	   	255.95	橙橙1易伤1矿等1平台	1等级2矿等3掉矿4额外掉落5平台6易伤7赏金塔8时间9a核
11	32522 61423	 * 	255.13	橙4易伤1伤害1矿等1攻速	12技能3伤害4矿等5689易伤7攻速a核
12	32522 61623	   	252.57	橙3易伤2伤害1矿等1攻速	12技能38伤害4矿等569易伤7攻速a核
13	31563 13613	 * 	252.31	橙橙3伤害1攻速1策反	1技能2策反347伤害5金币生成6攻速8a核9随机矿
14	31563 13623	 * 	252.31	橙橙3伤害1攻速1策反	1技能2策反347伤害5金币生成6攻速8a核9赏金邻近
15	61261 13531	   	251.82	橙橙1易伤1暴击1平台1策反	1挖尘2最后敌人3暴击4策反5易伤6赏金塔7a核8平台9时间
16	12133 78128	 * 	251.18	橙2易伤3伤害2暴击1矿等	19最后敌人289伤害37易伤4加一5矿等69暴击9序列升级a核
17	42221 42226	   	250.09	橙3易伤2伤害2时间1暴击	19时间259易伤3暴击4随机矿68低血量敌人79伤害9序列升级a核
18	34533 44243	   	248.72	橙橙1易伤1伤害	1技能2掉矿3伤害4加一5易伤6a核7时间8赏金塔9金币生成
19	12135 13731	   	248.72	橙橙1易伤1伤害	1最后敌人2伤害3易伤4加一5赏金邻近6技能7挖尘8a核9时间
20	24226 21131	   	247.74	橙橙1易伤1矿等1平台	1等级2赏金邻近3矿等4平台5金币生成6额外掉落7敌人爆炸8易伤9a核
