0	Index      	 *	Score 	Summary	Detail	
1	47133 46241	 * 	303.97	橙橙3易伤1伤害	1加一245易伤3时间6平台79核8金币生成a伤害
2	47133 46143	   	283.90	橙橙3易伤	1加一245易伤3时间6平台79核8赏金邻近a随机矿
3	47133 46242	   	283.90	橙橙3易伤	1加一245易伤3时间6平台79核8金币生成a最后敌人
4	47133 46244	   	283.90	橙橙3易伤	1加一245易伤3时间6平台79核8金币生成a赏金塔
5	47133 46141	   	283.80	橙橙3易伤	1加一245易伤3时间6平台79核8赏金邻近a掉矿
6	47133 46142	   	283.80	橙橙3易伤	1加一245易伤3时间6平台79核8赏金邻近a挖尘
7	47133 46144	   	283.80	橙橙3易伤	1加一245易伤3时间6平台79核8赏金邻近a技能点
8	47133 46243	   	283.80	橙橙3易伤	1加一245易伤3时间6平台79核8金币生成a加农对毒
9	22343 15136	   	277.14	橙橙1易伤1伤害1矿等1暴击	1易伤2金币生成3双倍秒伤4伤害5低血量敌人69核7暴击8时间a矿等
10	43181 51224	 * 	277.04	橙橙2易伤2矿等	1加一2寒冰对甲36易伤4赏金邻近56矿等6序列升级7a核8金币生成9立即金币
11	43181 51234	   	277.04	橙橙2易伤2矿等	1加一2寒冰对甲36易伤4赏金邻近56矿等6序列升级7a核89金币生成
12	43181 51134	   	276.94	橙橙2易伤2矿等	1加一2寒冰对甲36易伤4赏金邻近56矿等6序列升级7a核8立即金币9掉矿
13	43181 51334	   	276.94	橙橙2易伤2矿等	1加一2寒冰对甲36易伤4赏金邻近56矿等6序列升级7a核8双倍矿9掉矿
14	42138 15441	   	275.41	橙橙2易伤1暴击	1加一2敌人爆炸3时间4a易伤5暴击6等级7平台89核
15	44181 22441	   	275.41	橙橙2易伤1暴击	1加一2平台3低血量敌人4a易伤5等级6暴击7时间89核
16	44183 12441	   	275.41	橙橙2易伤1暴击	1加一2平台3低血量敌人4a易伤5暴击6随机矿7时间89核
17	44183 52441	   	275.41	橙橙2易伤1暴击	1加一2平台3低血量敌人4a易伤5暴击6金币生成7时间89核
18	44333 27441	   	275.41	橙橙2易伤1暴击	1加一2平台3金币生成4最后敌人5时间6暴击7a易伤89核
19	44361 27441	   	275.41	橙橙2易伤1暴击	1加一2平台3金币生成4基地爆炸5时间6暴击7a易伤89核
20	44371 27441	   	275.41	橙橙2易伤1暴击	1加一2平台3金币生成4敌人爆炸5时间6暴击7a易伤89核
21	42113 45441	   	275.31	橙橙2易伤1暴击	1加一2敌人爆炸3时间4技能点5暴击6a易伤7平台89核
22	42743 45441	   	275.31	橙橙2易伤1暴击	1加一2敌人爆炸3掉矿4时间5暴击6a易伤7平台89核
23	44185 22441	   	275.31	橙橙2易伤1暴击	1加一2平台3低血量敌人4a易伤5掉矿6暴击7时间89核
24	44311 27441	   	275.31	橙橙2易伤1暴击	1加一2平台3金币生成4挖尘5时间6暴击7a易伤89核
25	47113 51441	   	275.21	橙橙2易伤1暴击	1加一2a易伤3时间4技能点5暴击6平台7挖尘89核
26	44454 26241	 * 	275.06	紫橙3易伤1伤害	1加一2平台39核467易伤5时间8金币生成a伤害
27	26111 23441	   	274.44	橙橙3易伤	169易伤289敌人爆炸3时间4技能点59金币生成7a核9序列升级
28	22263 42235	   	274.15	橙橙2矿等1易伤1攻速	1易伤2金币生成3敌人爆炸4全技能5a矿等6随机矿79核8攻速
29	22163 42235	   	274.05	橙橙2矿等1易伤1攻速	1易伤2金币生成3挖尘4全技能5a矿等6随机矿79核8攻速
