0	Index      	 *	Score 	Summary	Detail	
1	52112 23516	 * 	306.24	橙橙2易伤2伤害2暴击	18暴击23易伤4赏金塔5敌人爆炸67伤害9a核
2	63133 63313	 * 	296.81	橙橙3易伤2时间	167易伤2低血量敌人3平台47敌人爆炸57时间7序列升级8等级9a核
3	63133 63613	   	296.71	橙橙3易伤2时间	167易伤2低血量敌人3平台47敌人爆炸57时间7序列升级8掉矿9a核
4	33123 63313	   	296.61	橙橙3易伤2时间	17挖尘2低血量敌人3平台467易伤57时间7序列升级8等级9a核
5	63163 63313	   	296.61	橙橙3易伤2时间	167易伤2低血量敌人3平台47挖尘57时间7序列升级8等级9a核
6	61542 11313	 * 	291.43	橙橙2易伤2矿等	13易伤23敌人爆炸3序列升级45矿等6挖尘7低血量敌人8平台9a核
7	52332 23216	   	286.61	橙橙2伤害1易伤2时间1暴击	1暴击2易伤3双倍秒伤4敌人爆炸58时间67伤害9a核
8	26162 23216	   	286.51	橙橙2伤害1易伤2时间1暴击	1双倍秒伤2易伤3挖尘48时间5暴击67伤害9a核
9	52362 23216	   	286.51	橙橙2伤害1易伤2时间1暴击	1暴击2易伤3双倍秒伤4挖尘58时间67伤害9a核
10	22254 22316	   	286.37	橙橙2伤害1易伤2暴击	1双倍秒伤2敌人爆炸37伤害45暴击6易伤8时间9a核
11	52332 23516	   	286.37	橙橙2伤害1易伤2暴击	18暴击2易伤3双倍秒伤4敌人爆炸5时间67伤害9a核
12	52111 51115	   	285.64	橙橙3易伤1暴击	1暴击236易伤4赏金塔56技能点6序列升级7双倍矿8a核9等级
13	52111 61115	   	285.64	橙橙3易伤1暴击	1暴击236易伤4赏金塔5技能点7双倍矿8a核9等级
14	25212 12123	   	285.35	橙橙1易伤1伤害1矿等1攻速1暴击	1双倍秒伤2矿等3暴击4赏金塔5伤害6最后敌人7a核8攻速9易伤
15	61522 24313	   	284.13	橙橙2易伤1矿等	13易伤23敌人爆炸3序列升级4掉矿5矿等6等级7时间8平台9a核
16	61522 53313	   	284.13	橙橙2易伤1矿等	13易伤23敌人爆炸3序列升级4掉矿5矿等6平台7时间8等级9a核
17	63522 53313	   	284.13	橙橙2易伤1矿等	13易伤23低血量敌人3序列升级4掉矿5矿等6平台7时间8等级9a核
18	52332 63316	   	283.45	橙橙2易伤2暴击2时间	17暴击26易伤3双倍秒伤47敌人爆炸57时间7序列升级8核弹9a核
19	52332 63216	   	283.30	橙橙2易伤2暴击2时间1策反	17暴击26易伤3双倍秒伤47敌人爆炸57时间7序列升级8策反9a核
20	61613 16313	   	281.65	橙橙3易伤	167易伤2敌人爆炸3金币生成4挖尘5低血量敌人8平台9a核
21	22252 22316	   	280.06	橙橙2伤害1易伤1暴击	1双倍秒伤25敌人爆炸37伤害4暴击6易伤8时间9a核
22	26252 32316	   	280.06	橙橙2伤害1易伤1暴击	1双倍秒伤2易伤37伤害4暴击5敌人爆炸6立即金币8时间9a核
23	52326 12316	   	279.96	橙橙2伤害1易伤1暴击	1暴击2易伤3双倍秒伤4激光减费57伤害6敌人爆炸8时间9a核
24	22254 22136	   	278.06	橙橙2伤害1易伤2暴击	1双倍秒伤2敌人爆炸37伤害45暴击6易伤8a核9低血量敌人
25	26122 23516	   	277.96	橙橙2伤害1易伤2暴击	1双倍秒伤2易伤3挖尘4低血量敌人58暴击67伤害9a核
26	52322 13316	   	276.60	橙橙2易伤2暴击	17暴击27易伤3双倍秒伤4激光减费5时间67挖尘7序列升级8核弹9a核
27	52322 13216	   	276.45	橙橙2易伤2暴击1策反	17暴击27易伤3双倍秒伤4激光减费5时间67挖尘7序列升级8策反9a核
