0	Index      	 *	Score 	Summary	Detail	
1	65614 34221	 * 	312.71	橙4易伤3等级3雷电	178等级279雷电3加一479a易伤5双倍秒伤6核79序列升级
2	65614 34223	   	307.20	橙3易伤3等级3雷电1暴击	178等级279雷电3加一479易伤5双倍秒伤6核79序列升级a暴击
3	61115 24322	 * 	300.39	橙橙2等级1雷电2时间	19等级2全技能3赏金邻近49时间5双倍矿68核7赏金塔9序列升级a雷电
4	61215 24322	   	300.39	橙橙2等级1雷电2时间	19等级2全技能3赏金塔49时间5双倍矿68核7赏金邻近9序列升级a雷电
5	61114 24322	 * 	299.83	橙橙3等级1易伤2时间	159等级2全技能3赏金邻近49时间68核7赏金塔9序列升级a易伤
6	61214 24322	   	299.83	橙橙3等级1易伤2时间	159等级2全技能3赏金塔49时间68核7赏金邻近9序列升级a易伤
7	33242 41213	 * 	295.06	橙橙2矿等1等级1易伤1平台	1毒液对黄2等级3平台45矿等6a核7低血量敌人8易伤9时间
8	33242 42213	   	295.06	橙橙2矿等1等级1易伤1平台	1毒液对黄2等级3平台45矿等6a核7最后敌人8易伤9时间
9	33242 43313	   	294.96	橙橙2矿等1等级1易伤1平台	1毒液对黄2等级3平台45矿等6a核7易伤8挖尘9时间
10	65614 34142	 * 	294.48	橙2易伤2等级2雷电1矿等	17等级27雷电3加一47易伤5双倍秒伤6核7序列升级8加农对直升9矿等a平台
11	34315 21532	 * 	293.82	橙橙2易伤1等级1矿等1暴击	1毒液对黄29易伤3毒液对毒4矿等5最后敌人6暴击7a核8等级
12	65614 34222	   	293.55	橙3易伤3等级3雷电	178等级279雷电3加一479易伤5双倍秒伤6核79序列升级a基地爆炸
13	65614 34224	   	293.55	橙3易伤3等级3雷电	178等级279雷电3加一479易伤5双倍秒伤6核79序列升级a策反
14	33263 45313	   	292.86	橙橙2易伤1等级1平台	1毒液对黄2等级3平台4时间5最后敌人6a核7随机矿89易伤
15	33263 43313	   	292.76	橙橙2易伤1等级1平台	1毒液对黄2等级3平台4时间5最后敌人6a核7掉矿89易伤
16	33265 43313	   	292.66	橙橙2易伤1等级1平台	1毒液对黄2等级3平台4时间5挖尘6a核7掉矿89易伤
17	61155 22321	   	290.37	橙橙1等级1雷电1伤害1攻速	1等级2全技能3赏金邻近4攻速5雷电69核7双倍物品8伤害a技能
18	61155 22322	   	290.37	橙橙1等级1雷电1伤害1攻速	1等级2全技能3赏金邻近4攻速5雷电69核7双倍物品8伤害a低血量敌人
19	61155 22323	   	290.27	橙橙1等级1雷电1伤害1攻速	1等级2全技能3赏金邻近4攻速5雷电69核7双倍物品8伤害a掉矿
20	33632 65233	   	289.83	橙橙2易伤1等级1矿等	1毒液对黄2等级35易伤4压碎对壮6挖青79核8时间a矿等
21	33112 65233	   	289.73	橙橙2易伤1等级1矿等	1毒液对黄2等级3防空对直升45易伤6挖青79核8时间a矿等
22	33225 26163	 * 	288.97	橙3等级2矿等1易伤1伤害1平台1暴击	19毒液对黄249等级3平台5伤害6暴击7核89矿等9序列升级a易伤
23	61114 24321	   	287.80	橙橙3等级1伤害2时间	159等级2全技能3赏金邻近49时间68核7赏金塔9序列升级a伤害
24	61214 24321	   	287.80	橙橙3等级1伤害2时间	159等级2全技能3赏金塔49时间68核7赏金邻近9序列升级a伤害
25	61155 21231	   	287.31	橙3易伤2雷电1等级1攻速	1等级2全技能3赏金邻近4攻速5a雷电6核789易伤
26	33263 41153	 * 	287.30	橙橙2等级1矿等1平台	1毒液对黄27等级3平台4时间5最后敌人6a核8矿等9敌人爆炸
27	33242 43252	 * 	287.25	橙3易伤2等级2矿等1平台	1毒液对黄2a等级3平台45矿等6核789易伤
28	33221 41213	   	287.10	橙橙2等级1易伤1平台	1毒液对黄24等级3平台5掉矿6a核7低血量敌人8易伤9时间
29	33221 42213	   	287.10	橙橙2等级1易伤1平台	1毒液对黄24等级3平台5掉矿6a核7最后敌人8易伤9时间
30	33221 43313	   	287.00	橙橙2等级1易伤1平台	1毒液对黄24等级3平台5掉矿6a核7易伤8挖尘9时间
31	61111 21352	   	286.96	橙橙2等级1雷电	19等级2全技能3赏金邻近4时间5金币生成68核7立即金币a雷电
32	61114 22322	   	286.96	橙橙2等级1雷电	15等级2全技能3赏金邻近4时间68核7金币生成9双倍矿a雷电
33	61115 22352	   	286.96	橙橙2等级1雷电	19等级2全技能3赏金邻近4时间5双倍矿68核7金币生成a雷电
34	61111 25352	   	286.86	橙橙2等级1雷电	19等级2全技能3赏金邻近4时间5金币生成68核7火球减费a雷电
35	61114 22332	   	286.86	橙橙2等级1雷电	15等级2全技能3赏金邻近4时间68核7金币生成9多重对愈a雷电
36	61114 22352	   	286.40	橙橙3等级1易伤	159等级2全技能3赏金邻近4时间68核7金币生成a易伤
37	61255 22321	   	286.27	橙橙1等级1雷电1伤害1攻速	1等级2全技能3赏金塔4攻速5雷电69核7双倍物品8伤害a技能
38	61255 22322	   	286.27	橙橙1等级1雷电1伤害1攻速	1等级2全技能3赏金塔4攻速5雷电69核7双倍物品8伤害a低血量敌人
39	65614 34141	   	286.18	橙2易伤2等级2雷电1矿等	17等级27雷电3加一47易伤5双倍秒伤6核7序列升级8加农对直升9矿等a基地爆炸
40	65614 34144	   	286.18	橙2易伤2等级2雷电1矿等	17等级27雷电3加一47易伤5双倍秒伤6核7序列升级8加农对直升9矿等a立即金币
41	61255 22323	   	286.17	橙橙1等级1雷电1伤害1攻速	1等级2全技能3赏金塔4攻速5雷电69核7双倍物品8伤害a掉矿
42	65614 34143	   	286.08	橙2易伤2等级2雷电1矿等	17等级27雷电3加一47易伤5双倍秒伤6核7序列升级8加农对直升9矿等a掉矿
43	33242 41253	   	285.40	橙橙2矿等1等级1易伤1平台	1毒液对黄2等级3平台45矿等6a核7低血量敌人8易伤9敌人爆炸
44	33242 42253	   	285.40	橙橙2矿等1等级1易伤1平台	1毒液对黄2等级3平台45矿等6a核7最后敌人8易伤9敌人爆炸
45	61124 18373	   	285.03	橙橙1等级1雷电1伤害	1等级2全技能3赏金邻近4加一5伤害6金币生成7a核8雷电9平台
46	25614 34253	 * 	284.33	橙橙1等级1雷电1易伤1暴击	1策反2雷电3加一4易伤5随机矿6技能点7等级8暴击9a核
47	61255 21231	   	283.20	橙3易伤2雷电1等级1攻速	1等级2全技能3赏金塔4攻速5a雷电6核789易伤
48	33624 33613	   	282.86	橙橙2易伤1等级	1毒液对黄2等级39易伤4最后敌人5平台6时间7金币生成8a核
49	61211 21352	   	282.86	橙橙2等级1雷电	19等级2全技能3赏金塔4时间5金币生成68核7立即金币a雷电
50	61214 22322	   	282.86	橙橙2等级1雷电	15等级2全技能3赏金塔4时间68核7金币生成9双倍矿a雷电
51	61215 22352	   	282.86	橙橙2等级1雷电	19等级2全技能3赏金塔4时间5双倍矿68核7金币生成a雷电
52	61214 22332	   	282.76	橙橙2等级1雷电	15等级2全技能3赏金塔4时间68核7金币生成9多重对愈a雷电
53	32364 41313	   	282.76	橙橙2易伤1等级	1毒液对黄2基地爆炸3掉矿4时间5平台6a核7等级89易伤
54	33424 43313	   	282.76	橙橙2易伤1等级	1毒液对黄2等级3时间4最后敌人5平台6a核7掉矿89易伤
55	33463 43313	   	282.76	橙橙2易伤1等级	1毒液对黄2等级3时间4平台5最后敌人6a核7掉矿89易伤
56	33562 43313	   	282.76	橙橙2易伤1等级	1毒液对黄2等级3基地爆炸4平台5时间6a核7掉矿89易伤
57	33624 41213	   	282.76	橙橙2易伤1等级	1毒液对黄2等级39易伤4最后敌人5平台6a核7技能点8时间
58	33624 43313	   	282.76	橙橙2易伤1等级	1毒液对黄2等级37易伤4最后敌人5平台6a核8技能点9时间
59	61211 25352	   	282.76	橙橙2等级1雷电	19等级2全技能3赏金塔4时间5金币生成68核7火球减费a雷电
