0	Index      	 *	Score 	Summary	Detail	
1	23213 24133	 * 	327.37	DCR|DCR|2VULN|1TLV|2ASPD|1RPLT	1RPLT|27ASPD|3AART|4TLV|5DUR|6aVULN|89RCR
2	23213 25133	   	322.76	DCR|DCR|2VULN|1TLV|1RPLT|2AART|1ASPD	1RPLT|2ASPD|37AART|4TLV|5DUR|6aVULN|89RCR
3	23213 24136	 * 	321.71	DCR|DCR|2TLV|1VULN|2ASPD|1RPLT	1RPLT|27ASPD|3AART|4aTLV|5DUR|6VULN|89RCR
4	23213 25136	   	317.10	DCR|DCR|2TLV|1VULN|1RPLT|2AART|1ASPD	1RPLT|2ASPD|37AART|4aTLV|5DUR|6VULN|89RCR
5	23213 21133	   	314.82	DCR|DCR|2VULN|1TLV|1RPLT|1ASPD	1RPLT|2ASPD|3AART|4TLV|5DUR|6aVULN|7AEFBLL|89RCR
6	23213 21136	   	309.16	DCR|DCR|2TLV|1VULN|1RPLT|1ASPD	1RPLT|2ASPD|3AART|4aTLV|5DUR|6VULN|7AEFBLL|89RCR
7	23216 23133	   	305.26	DCR|DCR|2VULN|1TLV|1RPLT|1ASPD	1RPLT|2ASPD|3AART|4TLV|5DMSP|6LWND|7aVULN|89RCR
8	23254 23133	   	305.26	DCR|DCR|2VULN|1TLV|1RPLT|1ASPD	1RPLT|2ASPD|3AART|4DMSP|5TLV|6LWND|7aVULN|89RCR
9	23422 63162	 * 	302.74	DCR|DCR|1TLV|1LIT|1VULN|1RPLT|1ASPD	1RPLT|2ASPD|3LHND|4VULN|5ZMB|6aRCR|7TLV|8LIT|9MDPS
10	23213 24132	   	301.17	DCR|DCR|1TLV|1VULN|2ASPD|1RPLT	1RPLT|27ASPD|3AART|4TLV|5DUR|6VULN|89RCR|aFEWX
11	23213 54133	   	301.17	DCR|DCR|1TLV|1VULN|2ASPD|1RPLT	1RPLT|27ASPD|3AART|4TLV|5DUR|6LWND|89RCR|aVULN
12	23213 64133	   	301.17	DCR|DCR|1TLV|1VULN|2ASPD|1RPLT	1RPLT|27ASPD|3AART|4TLV|5DUR|6LHND|89RCR|aVULN
13	23213 24131	   	301.07	DCR|DCR|1TLV|1VULN|2ASPD|1RPLT	1RPLT|27ASPD|3AART|4TLV|5DUR|6VULN|89RCR|aDUST
14	23213 24134	   	301.07	DCR|DCR|1TLV|1VULN|2ASPD|1RPLT	1RPLT|27ASPD|3AART|4TLV|5DUR|6VULN|89RCR|aNUKE
15	23213 24135	   	301.07	DCR|DCR|1TLV|1VULN|2ASPD|1RPLT	1RPLT|27ASPD|3AART|4TLV|5DUR|6VULN|89RCR|aAME
16	23216 23136	   	299.60	DCR|DCR|2TLV|1VULN|1RPLT|1ASPD	1RPLT|2ASPD|3AART|4aTLV|5DMSP|6LWND|7VULN|89RCR
17	23254 23136	   	299.60	DCR|DCR|2TLV|1VULN|1RPLT|1ASPD	1RPLT|2ASPD|3AART|4DMSP|5aTLV|6LWND|7VULN|89RCR
