0	Index      	 *	Score 	Summary	Detail	
1	21221 26334	 * 	313.01	DCR|4VULN|3TLV|3LIT	18aLIT|2LHND|38aTLV|4CGEN|5BEXP|689aVULN|7RCR|8aBPWR
2	13315 31346	 * 	295.66	DCR|DCR|1TLV|2DMG|1VULN	1BEXP|24DMG|3BBNT|5DUR|6aRCR|7BASHEA|8VULN|9TLV
3	33315 31346	   	295.56	DCR|DCR|1TLV|2DMG|1VULN	1DUST|24DMG|3BBNT|5DUR|6aRCR|7BASHEA|8VULN|9TLV
4	24261 26213	 * 	294.20	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	1LIT|2BEXP|3CGEN|4TLV|5FEWX|6VULN|7aRCR|8DUR|9ASPD
5	11134 36213	   	294.10	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	1BEXP|2VULN|3FEWX|4LIT|5ERES|6TLV|7aRCR|8DUR|9ASPD
6	23214 36213	   	294.10	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	1LIT|2VULN|3CGEN|4FEWX|5LEGI|6TLV|7aRCR|8DUR|9ASPD
7	23524 36313	   	294.10	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	1LIT|2VULN|3DUR|4LWND|5ERES|6TLV|7aRCR|8FEWX|9ASPD
8	21221 26314	   	293.85	DCR|3VULN|3TLV|3LIT	18aLIT|2LHND|38aTLV|4CGEN|59BEXP|68aVULN|7RCR|8aBPWR
9	11213 34243	 * 	288.67	ACR|DCR|2VULN|2LIT|1TLV	1BEXP|28VULN|3aRCR|4AART|59LIT|6BELT|7TLV
10	31213 34243	   	288.57	ACR|DCR|2VULN|2LIT|1TLV	1DUST|28VULN|3aRCR|4AART|59LIT|6BELT|7TLV
11	23214 36315	 * 	286.38	DCR|2VULN|2TLV|2LIT|1MLV	18LIT|28VULN|3CGEN|4FEWX|5LEGI|68TLV|7RCR|8BPWR|9BEXP|aMLV
12	21221 26321	   	286.09	DCR|3VULN|2TLV|2LIT	18LIT|2LHND|38TLV|4CGEN|5BEXP|68aVULN|7RCR|8BPWR|9DUR
13	21221 26335	   	286.09	DCR|3VULN|2TLV|2LIT	18LIT|2LHND|38TLV|4CGEN|5BEXP|689VULN|7RCR|8BPWR|aDUR
14	23251 37644	 * 	286.06	DCR|DCR|1TLV|1LIT|1VULN|1MLV	1LIT|2VULN|3CGEN|4MBVNT|5MDPS|6FEWX|7MLV|8TLV|9aRCR
15	13314 31346	   	286.00	DCR|DCR|1TLV|2DMG|1VULN	1BEXP|24DMG|3BBNT|5LWND|6aRCR|7BASHEA|8VULN|9TLV
16	33314 31346	   	285.90	DCR|DCR|1TLV|2DMG|1VULN	1DUST|24DMG|3BBNT|5LWND|6aRCR|7BASHEA|8VULN|9TLV
17	23214 36613	   	284.43	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	1LIT|2VULN|3CGEN|4FEWX|5LEGI|6TLV|7aRCR|8BEXP|9ASPD
