0	Index      	 *	Score 	Summary	Detail	
1	33115 21254	 * 	300.57	橙橙2易伤1矿等1攻速1暴击	1敌人爆炸29易伤3赏金邻近4矿等5攻速6加农对壮7a核8暴击
2	15122 22153	 * 	291.02	橙橙2等级1易伤1伤害	1烈焰减费26等级3敌人爆炸4伤害5双倍矿7时间8易伤9a核
3	55122 22153	   	291.02	橙橙2等级1易伤1伤害	1火球减费26等级3敌人爆炸4伤害5双倍矿7时间8易伤9a核
4	15522 22153	   	290.92	橙橙2等级1易伤1伤害	1烈焰减费26等级3伤害4挖尘5双倍矿7时间8易伤9a核
5	33143 36423	 * 	288.19	橙橙1易伤1等级1矿等1暴击1卖塔	1敌人爆炸2易伤3赏金邻近4等级5暴击6矿等7双倍矿8a核9卖塔
6	33632 26253	 * 	287.89	橙橙3易伤1伤害	1敌人爆炸278易伤36掉矿4低血量敌人5伤害9a核
7	31134 25153	   	287.85	橙橙2等级1易伤1技能	12敌人爆炸2序列升级3烈焰减费46等级5技能7时间8易伤9a核
8	11134 25153	   	287.75	橙橙2等级1易伤1技能	13烈焰减费2低血量敌人46等级5技能7时间8易伤9a核
9	12134 25153	   	287.75	橙橙2等级1易伤1技能	13烈焰减费2敌人爆炸46等级5技能7时间8易伤9a核
10	43213 15153	 * 	287.72	橙橙1易伤1等级2攻速	12攻速2序列升级34立即金币5敌人爆炸6等级7时间8易伤9a核
11	43313 15153	   	287.72	橙橙1易伤1等级2攻速	12攻速2序列升级3双倍矿4立即金币5敌人爆炸6等级7时间8易伤9a核
12	13134 25153	   	287.65	橙橙2等级1易伤1技能	13烈焰减费2挖青46等级5技能7时间8易伤9a核
13	43212 15153	   	287.62	橙橙1易伤1等级2攻速	12攻速2序列升级34立即金币5基地爆炸6等级7时间8易伤9a核
14	43312 15153	   	287.62	橙橙1易伤1等级2攻速	12攻速2序列升级3双倍矿4立即金币5基地爆炸6等级7时间8易伤9a核
15	15122 13153	 * 	286.13	橙橙2伤害1易伤1等级	1烈焰减费2等级3敌人爆炸47伤害5双倍矿6最后敌人8易伤9a核
16	55122 13153	   	286.13	橙橙2伤害1易伤1等级	1火球减费2等级3敌人爆炸47伤害5双倍矿6最后敌人8易伤9a核
17	15522 13153	   	286.03	橙橙2伤害1易伤1等级	1烈焰减费2等级37伤害4挖尘5双倍矿6最后敌人8易伤9a核
18	14352 12363	 * 	284.49	紫橙2矿等2伤害1等级3时间	1烈焰减费256时间3a核46矿等6序列升级78伤害9等级
19	15122 26353	   	282.72	橙橙2等级1易伤1伤害	1烈焰减费26等级3敌人爆炸4伤害5双倍矿7易伤8最后敌人9a核
