0	Index      	 *	Score 	Summary	Detail	
1	51311 31142	 * 	333.41	紫橙3易伤1等级1伤害1攻速1卖塔	179易伤28核3伤害4攻速5挖尘6卖塔a等级
2	51223 25422	 * 	326.81	紫4易伤2等级2伤害1攻速	169a易伤2核3a加农对直升4攻速56等级6a序列升级7a伤害8额外掉落
3	51311 33142	 * 	321.17	紫橙2易伤1等级2攻速1伤害1卖塔	19易伤28核3伤害47攻速5挖尘6卖塔a等级
4	62134 11142	 * 	319.90	橙橙3易伤1等级1毒气减费	15挖尘279易伤3毒气减费4平台68核a等级
5	62135 11142	   	319.90	橙橙3易伤1等级1毒气减费	1挖尘279易伤3毒气减费4平台5风暴减费68核a等级
6	51233 25113	 * 	318.86	紫3易伤2等级3伤害1全技能	179易伤2核39加农对直升47金币生成57等级6全技能79序列升级89a伤害
7	51311 31116	 * 	318.38	紫橙2易伤1等级1伤害1攻速1卖塔	17易伤28核3伤害4攻速5挖尘6卖塔9时间a等级
8	51233 25112	   	316.86	紫3易伤2等级2伤害1暴击1全技能	179易伤2核39加农对直升47金币生成57等级6全技能79序列升级89伤害a暴击
9	51223 26422	 * 	315.36	紫4易伤3等级2攻速	169a易伤2核3加农对直升4a攻速56a等级6a序列升级7技能8额外掉落
10	51511 31142	 * 	313.24	紫橙3易伤1等级1攻速1卖塔	179易伤28核3核弹4攻速5挖尘6卖塔a等级
11	51223 25116	 * 	311.97	紫3易伤2等级3攻速1伤害	16a易伤2核3加农对直升49a攻速56等级6a序列升级7伤害8a掉矿
12	51233 25313	   	311.72	紫3易伤2等级2攻速1伤害1全技能	179易伤2核39加农对直升47金币生成57等级6全技能79序列升级89攻速a伤害
13	51233 25116	   	310.15	紫3易伤2等级2伤害1全技能	179易伤2核39加农对直升47金币生成57等级6全技能79序列升级89伤害a随机技能
14	51233 25226	   	309.58	紫3等级3易伤2全技能1烈焰减费	178易伤2核3加农对直升478金币生成578等级69全技能78序列升级a烈焰减费
15	51223 25352	   	309.12	紫4易伤2等级1伤害1攻速	169a易伤2核3加农对直升4攻速56等级6序列升级7伤害8立即金币
16	51223 25252	   	309.02	紫4易伤2等级1伤害1攻速	169a易伤2核3加农对直升4攻速56等级6序列升级7伤害8风暴减费
17	51311 31162	 * 	308.62	紫橙2易伤1等级1伤害1攻速1卖塔	17易伤28核3伤害4攻速5挖尘6卖塔9暴雪减费a等级
18	51233 25312	   	305.31	紫3易伤2等级2攻速1暴击1全技能	179易伤2核39加农对直升47金币生成57等级6全技能79序列升级89攻速a暴击
19	62134 11116	   	304.87	橙橙2易伤1等级1毒气减费	15挖尘27易伤3毒气减费4平台68核9时间a等级
20	62135 11116	   	304.87	橙橙2易伤1等级1毒气减费	1挖尘27易伤3毒气减费4平台5风暴减费68核9时间a等级
