0	Index      	 *	Score 	Summary	Detail	
1	23434 11522	 * 	274.95	橙2易伤2等级2伤害1矿等	18挖尘28伤害3最后敌人47等级5全技能68易伤8序列升级9矿等a核
2	33412 32433	 * 	271.46	橙橙2易伤1伤害	1技能点2金币生成3伤害4多重对甲56易伤79核8赏金邻近a随机技能
3	33412 32431	   	264.53	橙橙2易伤1伤害	1技能点2金币生成3伤害4多重对甲56易伤79核8赏金邻近a雷电
4	33412 32432	   	264.53	橙橙2易伤1伤害	1技能点2金币生成3伤害4多重对甲56易伤79核8赏金邻近a敌人爆炸
5	33412 32435	   	264.43	橙橙2易伤1伤害	1技能点2金币生成3伤害4多重对甲56易伤79核8赏金邻近a掉矿
6	53533 21632	 * 	262.52	橙3攻速2伤害1易伤1等级3时间	19a敌人爆炸2a伤害369时间4等级5易伤79a攻速8核9a序列升级
7	23434 12522	   	260.78	橙2易伤2伤害1等级1矿等	18挖尘28伤害37最后敌人4等级5全技能68易伤8序列升级9矿等a核
8	23253 52433	 * 	258.02	橙橙2伤害1等级	1挖尘25伤害3狙击对黄4金币生成6等级79核8赏金邻近a随机技能
9	23134 54233	 * 	257.60	紫橙1易伤1等级1矿等1伤害	1挖尘2伤害3技能点4等级59核6雷电7易伤8散射对绿a矿等
10	51312 32221	   	254.61	紫橙1易伤1矿等1伤害1暴击	1敌人爆炸2最后敌人3a核4易伤5随机技能6暴击7矿等8全技能9伤害
11	21312 32221	   	254.51	紫橙1易伤1矿等1伤害1暴击	1挖尘2最后敌人3a核4易伤5随机技能6暴击7矿等8全技能9伤害
12	41112 13336	   	252.28	橙橙1等级1技能1暴击	1雷电2低血量敌人3双倍秒伤4等级5暴击6挖尘79核8时间a技能
13	46112 23136	   	252.28	橙橙1等级1技能1暴击	1雷电2时间3双倍秒伤4等级5暴击6最后敌人79核8挖尘a技能
14	46112 23431	   	251.73	橙橙1等级1攻速1暴击	1雷电2时间3双倍秒伤4等级5暴击6最后敌人79核8敌人爆炸a攻速
15	46112 23531	   	251.73	橙橙1等级1攻速1暴击	1雷电2时间3双倍秒伤4等级5暴击6最后敌人79核8低血量敌人a攻速
16	41112 13331	   	251.63	橙橙1等级1攻速1暴击	1雷电2低血量敌人3双倍秒伤4等级5暴击6挖尘79核8时间a攻速
17	42112 13331	   	251.63	橙橙1等级1攻速1暴击	1雷电2敌人爆炸3双倍秒伤4等级5暴击6挖尘79核8时间a攻速
18	46112 13431	   	251.63	橙橙1等级1攻速1暴击	1雷电2时间3双倍秒伤4等级5暴击6挖尘79核8敌人爆炸a攻速
19	46112 13531	   	251.63	橙橙1等级1攻速1暴击	1雷电2时间3双倍秒伤4等级5暴击6挖尘79核8低血量敌人a攻速
20	46112 23131	   	251.63	橙橙1等级1攻速1暴击	1雷电2时间3双倍秒伤4等级5暴击6最后敌人79核8挖尘a攻速
21	46112 13231	   	251.53	橙橙1等级1攻速1暴击	1雷电2时间3双倍秒伤4等级5暴击6挖尘79核8基地爆炸a攻速
22	23253 52431	   	251.08	橙橙2伤害1等级	1挖尘25伤害3狙击对黄4金币生成6等级79核8赏金邻近a雷电
23	23253 52432	   	251.08	橙橙2伤害1等级	1挖尘25伤害3狙击对黄4金币生成6等级79核8赏金邻近a额外掉落
24	22441 43234	   	249.90	橙橙1易伤1伤害1暴击	1挖尘2立即金币3伤害4雷电5暴击69核7加一8多重对甲a易伤
25	23231 53345	 * 	247.26	橙橙2伤害3时间	1a挖尘2a伤害3狙击对黄4敌人爆炸57a时间69核8全技能a序列升级
26	23434 11422	   	246.78	橙2等级2伤害1易伤1矿等	1挖尘28伤害3最后敌人47等级5全技能6易伤9矿等a核
27	15633 53323	 * 	246.51	橙4易伤2等级	1a金币生成2a等级38敌人爆炸4基地爆炸567a易伤9核a序列升级
28	23342 62432	 * 	246.05	橙3矿等2等级1伤害1暴击1卖塔	19挖尘2伤害3卖塔489矿等59等级6立即金币7核9序列升级a暴击
