0	Index      	Bounty	 *	Score 	Summary	Detail	
1	31241 31526	5	 * 	300.01	橙4易伤2等级2伤害1暴击	1双倍矿239a易伤4a伤害5雷电6暴击7核8a等级a序列升级
2	11425 12133	2	 * 	293.81	橙4易伤3伤害2等级	1平台2478易伤348伤害48序列升级5额外掉落68等级9基地爆炸a核
3	11425 12163	2	   	293.81	橙4易伤3伤害2等级	1平台2478易伤348伤害48序列升级5额外掉落68等级9最后敌人a核
4	11425 12113	2	   	293.71	橙4易伤3伤害2等级	1平台2478易伤348伤害48序列升级5额外掉落68等级9挖青a核
5	51156 33131	1	 * 	291.81	橙3易伤3时间2伤害1等级	138时间238易伤38序列升级48伤害5平台6全技能7核9等级a低血量敌人
6	51156 33132	1	   	291.81	橙3易伤3时间2伤害1等级	138时间238易伤38序列升级48伤害5平台6全技能7核9等级a额外掉落
7	51156 33133	1	   	291.81	橙3易伤3时间2伤害1等级	138时间238易伤38序列升级48伤害5平台6全技能7核9等级a最后敌人
8	52344 21112	3	 * 	289.58	橙5易伤2等级2时间	18时间28等级34568易伤7随机矿8序列升级9敌人爆炸a核
9	52344 21122	3	   	289.58	橙5易伤2等级2时间	18时间28等级34568易伤7随机矿8序列升级9低血量敌人a核
10	52364 21112	4	   	289.58	橙5易伤2等级2时间	18时间28等级34568易伤7随机矿8序列升级9敌人爆炸a核
11	52364 21122	4	   	289.58	橙5易伤2等级2时间	18时间28等级34568易伤7随机矿8序列升级9低血量敌人a核
12	15351 37344	8	 * 	288.81	橙3易伤3伤害3等级1时间	1平台257等级3加一457伤害579序列升级679易伤8核a时间
13	51316 41112	1	 * 	284.46	橙4易伤2等级3时间	138时间2458易伤68等级7随机矿8序列升级9敌人爆炸a核
14	51316 41122	1	   	284.46	橙4易伤2等级3时间	138时间2458易伤68等级7随机矿8序列升级9低血量敌人a核
15	52124 21112	2	   	284.46	橙4易伤2等级3时间	138时间28等级4568易伤7随机矿8序列升级9敌人爆炸a核
16	52124 21122	2	   	284.46	橙4易伤2等级3时间	138时间28等级4568易伤7随机矿8序列升级9低血量敌人a核
17	52124 21162	2	   	284.46	橙4易伤2等级3时间	138时间28等级4568易伤7随机矿8序列升级9最后敌人a核
18	52314 21112	3	   	284.46	橙4易伤2等级3时间	148时间28等级3568易伤7随机矿8序列升级9敌人爆炸a核
19	52314 21122	3	   	284.46	橙4易伤2等级3时间	148时间28等级3568易伤7随机矿8序列升级9低血量敌人a核
20	52314 21162	3	   	284.46	橙4易伤2等级3时间	148时间28等级3568易伤7随机矿8序列升级9最后敌人a核
21	52343 21112	3	   	284.46	橙4易伤2等级3时间	158时间28等级3468易伤7随机矿8序列升级9敌人爆炸a核
22	52343 21122	3	   	284.46	橙4易伤2等级3时间	158时间28等级3468易伤7随机矿8序列升级9低血量敌人a核
23	52343 21162	3	   	284.46	橙4易伤2等级3时间	158时间28等级3468易伤7随机矿8序列升级9最后敌人a核
24	52344 21112	4	   	284.46	橙4易伤2等级3时间	148时间28等级3568易伤7随机矿8序列升级9敌人爆炸a核
25	52344 21122	4	   	284.46	橙4易伤2等级3时间	148时间28等级3568易伤7随机矿8序列升级9低血量敌人a核
26	52363 21112	4	   	284.46	橙4易伤2等级3时间	158时间28等级3468易伤7随机矿8序列升级9敌人爆炸a核
27	52363 21122	4	   	284.46	橙4易伤2等级3时间	158时间28等级3468易伤7随机矿8序列升级9低血量敌人a核
28	52363 21162	4	   	284.46	橙4易伤2等级3时间	158时间28等级3468易伤7随机矿8序列升级9最后敌人a核
29	53124 21112	1	   	284.46	橙4易伤2等级3时间	138时间28等级4568易伤7随机矿8序列升级9敌人爆炸a核
30	53124 21122	1	   	284.46	橙4易伤2等级3时间	138时间28等级4568易伤7随机矿8序列升级9低血量敌人a核
31	53124 21162	1	   	284.46	橙4易伤2等级3时间	138时间28等级4568易伤7随机矿8序列升级9最后敌人a核
32	53216 41112	3	   	284.46	橙4易伤2等级3时间	128时间3458易伤68等级7随机矿8序列升级9敌人爆炸a核
33	53216 41122	3	   	284.46	橙4易伤2等级3时间	128时间3458易伤68等级7随机矿8序列升级9低血量敌人a核
34	53424 21112	2	   	284.46	橙4易伤2等级3时间	128时间38等级4568易伤7随机矿8序列升级9敌人爆炸a核
35	53424 21122	2	   	284.46	橙4易伤2等级3时间	128时间38等级4568易伤7随机矿8序列升级9低血量敌人a核
36	51125 32423	1	   	282.05	橙3易伤3时间2伤害1等级	139时间239易伤39序列升级4敌人爆炸5低血量敌人6核7赏金塔89伤害a等级
