0	Index      	Bounty	 *	Score 	Summary	Detail	
1	41235 21331	7	 * 	308.89	橙4易伤2等级2伤害2时间	1267易伤27序列升级37等级4随机矿57伤害89时间a核
2	41223 43216	7	 * 	302.71	橙5易伤2等级3时间	1249a易伤29a序列升级35等级69a掉矿79a时间8核
3	41222 21327	8	   	297.79	橙5易伤2等级2时间	12467易伤27序列升级37等级57时间8加一9雷电a核
4	41222 21327	7	   	297.79	橙5易伤2等级2时间	12467易伤27序列升级37等级57时间8加一9雷电a核
5	41235 21311	7	   	294.30	橙4易伤2等级2伤害1时间	1267易伤27序列升级37等级49随机矿57伤害8时间a核
6	41413 21532	9	   	291.57	橙5易伤2等级2雷电	12489易伤28序列升级3全技能5攻速68雷电78等级a核
7	42222 21311	9	   	291.30	橙4易伤2等级2时间1伤害	1467易伤2立即金币37等级57时间7序列升级8矿等9伤害a核
8	41221 35151	10	   	291.30	橙4易伤2等级2时间1伤害	1249易伤29序列升级39等级5a金币生成6核7伤害89时间
9	41221 35152	9	   	291.30	橙4易伤2等级2时间1伤害	1249易伤29序列升级39等级5金币生成6核7伤害89时间a敌人爆炸
10	41221 35152	10	   	291.30	橙4易伤2等级2时间1伤害	1249易伤29序列升级39等级5金币生成6核7伤害89时间a最后敌人
11	41221 35153	9	   	291.30	橙4易伤2等级2时间1伤害	1249易伤29序列升级39等级5金币生成6核7伤害89时间a立即金币
12	41221 35153	10	   	291.30	橙4易伤2等级2时间1伤害	1249易伤29序列升级39等级5金币生成6核7伤害89时间a敌人爆炸
13	41221 35151	9	   	291.20	橙4易伤2等级2时间1伤害	1249易伤29序列升级39等级5金币生成6核7伤害89时间a掉矿
14	41222 21534	10	   	289.58	橙5易伤2等级2时间	12467易伤27序列升级37等级57时间8随机矿9平台a核
15	41215 26123	10	   	289.58	橙5易伤2等级2时间	12679易伤29序列升级39等级4敌人爆炸5基地爆炸89时间a核
16	41221 32216	7	   	289.58	橙5易伤2等级2时间	1248a易伤2a序列升级37等级5a金币生成6核9a时间
17	41211 36123	10	   	289.48	橙5易伤2等级2时间	12679易伤29序列升级39等级4敌人爆炸5挖尘89时间a核
18	41222 21154	10	   	289.48	橙5易伤2等级2时间	12467易伤27序列升级37等级57时间8掉矿9平台a核
19	41224 22123	10	   	289.48	橙5易伤2等级2时间	12469易伤29序列升级39等级5挖尘7基地爆炸89时间a核
20	41261 26123	10	   	289.48	橙5易伤2等级2时间	12679易伤29序列升级39等级4基地爆炸5挖尘89时间a核
21	41224 16123	10	   	289.48	橙5易伤2等级2时间	12479易伤29序列升级39等级5挖尘6基地爆炸89时间a核
22	41223 11251	10	 * 	289.24	橙5易伤3等级2时间1卖塔	12478易伤27序列升级357等级67时间9卖塔a核
23	24322 33211	9	 * 	287.85	橙3易伤3伤害3时间2攻速	1双倍矿279时间3策反479易伤567伤害79序列升级89攻速a核
24	42235 21331	7	   	287.84	橙3易伤2等级2伤害2时间	167易伤2立即金币37等级4随机矿57伤害7序列升级89时间a核
25	41222 26131	10	   	285.74	橙4易伤2时间1等级1伤害1暴击	1246易伤2序列升级3等级5a时间7暴击8伤害9核
26	41222 35333	7	   	284.82	橙4易伤2等级1伤害1时间	1249易伤2序列升级38等级5时间6雷电7核a伤害
27	24223 21364	9	   	284.46	橙4易伤2等级3时间	1双倍矿257时间37等级4678易伤7序列升级9立即金币a核
28	42223 43216	7	   	284.36	橙4易伤2等级3时间	149a易伤2立即金币35等级69a掉矿79a时间8核9a序列升级
29	41223 11151	10	 * 	284.12	橙4易伤3等级3时间1卖塔	1247易伤27序列升级357等级678时间9卖塔a核
30	41221 13216	7	   	283.99	橙5易伤3时间1等级	1249a易伤29a序列升级3等级59a金币生成6立即金币79a时间8核
31	41223 16131	10	   	283.70	橙3易伤2等级2时间1伤害1暴击	124易伤2序列升级35等级6a时间7暴击8伤害9核
32	41323 51226	7	   	281.11	橙4易伤2等级2攻速1时间	1247易伤27序列升级3策反57等级67攻速8雷电9时间a核
33	41222 35151	10	   	280.49	橙4易伤2时间1等级2暴击	124a易伤2a序列升级3等级5a时间6雷电7核8金币生成9a暴击
34	41222 35433	7	   	280.39	橙4易伤2时间1等级1伤害	1249易伤2序列升级3等级58时间6雷电7核a伤害
35	41323 51351	7	 * 	280.23	橙4易伤2等级3攻速1时间	1247易伤27序列升级3策反57等级679攻速8时间a核
36	42222 21116	8	   	279.54	橙4易伤2等级2时间	1467易伤2立即金币37等级57时间7序列升级8敌人爆炸9核a雷电
37	42222 21116	7	   	279.54	橙4易伤2等级2时间	1467易伤2立即金币37等级57时间7序列升级8敌人爆炸9核a雷电
38	42222 21216	8	   	279.54	橙4易伤2等级2时间	1467易伤2立即金币37等级57时间7序列升级8低血量敌人9核a雷电
39	42222 21232	7	   	279.54	橙4易伤2等级2时间	1467易伤2立即金币37等级57时间7序列升级8雷电9平台a核
40	42222 21361	9	   	279.54	橙4易伤2等级2时间	1467易伤2立即金币37等级57时间7序列升级8矿等9攻速a核
41	42222 21416	7	   	279.54	橙4易伤2等级2时间	1467易伤2立即金币37等级57时间7序列升级8最后敌人9核a雷电
42	42222 21616	7	   	279.54	橙4易伤2等级2时间	1467易伤2立即金币37等级57时间7序列升级8基地爆炸9核a雷电
43	41222 26133	10	   	279.46	橙4易伤1等级1伤害1时间1暴击	1246易伤2序列升级3等级5时间7暴击8伤害9核a雷电
44	42222 21416	8	   	279.44	橙4易伤2等级2时间	1467易伤2立即金币37等级57时间7序列升级8挖尘9核a雷电
45	41222 35431	7	   	279.34	橙4易伤2等级2时间	1249易伤2序列升级3a等级58时间6雷电7核
46	41223 43214	7	   	279.34	橙4易伤2等级2时间	1249易伤29序列升级35等级69掉矿79时间8核a攻速
