0	Index      	 *	Score 	Summary	Detail	Bounty	
1	42224 36331	 * 	297.60	橙3易伤3伤害3时间1等级	178伤害2掉矿347易伤567时间7序列升级9核a等级	7
2	42263 25323	 * 	289.92	橙2易伤2等级3时间2伤害1暴击	17伤害2掉矿37易伤4暴击589时间67等级7序列升级a核	10
3	41211 24511	 * 	273.90	橙4易伤2伤害1等级2雷电	17伤害2金币生成357a易伤47雷电6随机矿7序列升级8核9等级	3
4	42211 24511	   	273.80	橙4易伤2伤害1等级2雷电	17伤害2掉矿357a易伤47雷电6随机矿7序列升级8核9等级	3
5	42214 36331	   	272.91	橙2易伤3伤害3时间1等级	178伤害2掉矿37易伤4双倍矿567时间7序列升级9核a等级	7
6	42234 36331	   	272.91	橙2易伤3伤害3时间1等级	178伤害2掉矿37易伤4立即金币567时间7序列升级9核a等级	7
7	42224 36332	   	271.40	橙3易伤3伤害3时间	178伤害2掉矿347易伤567时间7序列升级9核a策反	7
8	42224 36333	   	271.40	橙3易伤3伤害3时间	178伤害2掉矿347易伤567时间7序列升级9核a最后敌人	7
9	42224 36142	   	271.30	橙3易伤3伤害3时间	179伤害2掉矿347易伤567时间7序列升级8加一a核	9
10	46311 42222	   	270.42	橙2易伤2等级2伤害1时间1暴击	16伤害2暴击3平台4雷电56易伤6序列升级7核8时间9a等级	1
11	41211 24513	   	269.10	橙3易伤2伤害1等级1时间2雷电	17伤害2金币生成357易伤47雷电6随机矿7序列升级8核9等级a时间	3
12	42211 24513	   	269.00	橙3易伤2伤害1等级1时间2雷电	17伤害2掉矿357易伤47雷电6随机矿7序列升级8核9等级a时间	3
