0	Index      	 *	Score 	Summary	Detail	
1	35115 32512	 * 	299.38	DCR|2LIT|2VULN|1FLTARM|1MLV|1DMG	15VULN|24LIT|3BELT|6DMG|7FLTARM|8RCR|9BEXP|aMLV
2	31644 31232	 * 	290.93	DCR|3LIT|2MLV|2VULN|1AART	18VULN|2LHND|348LIT|5LWND|6ERES|78MLV|8BPWR|9RCR|aAART
3	31653 61232	   	290.93	DCR|3LIT|2MLV|2VULN|1AART	18VULN|2LHND|368LIT|4ERES|5BEXP|78MLV|8BPWR|9RCR|aAART
4	32611 61232	   	290.93	DCR|3LIT|2MLV|2VULN|1AART	18VULN|2FEWX|368LIT|4LHND|5ERES|78MLV|8BPWR|9RCR|aAART
5	33633 31232	   	290.78	DCR|3LIT|2MLV|2VULN|1AART	18VULN|2DUR|348LIT|5LHND|6ERES|78MLV|8BPWR|9RCR|aAART
6	33634 31232	   	290.78	DCR|3LIT|2MLV|2VULN|1AART	18VULN|2DUR|348LIT|5LWND|6ERES|78MLV|8BPWR|9RCR|aAART
7	35115 32532	 * 	289.43	DCR|2LIT|3VULN|1FLTARM|1DMG	15aVULN|24LIT|3BELT|6DMG|7FLTARM|8RCR|9RPLT
8	43632 21212	 * 	281.99	ACR|3LIT|2MLV|3VULN	18LHND|2RCR|38aLIT|4TLV|569VULN|78MLV|8BPWR
9	43652 21222	   	281.84	ACR|3LIT|2MLV|3VULN	18LHND|2RCR|38aLIT|4ERES|569VULN|78MLV|8BPWR
10	35115 32611	 * 	281.27	DCR|2LIT|2VULN|1FLTARM|2DMG	15VULN|24LIT|3BELT|69DMG|7FLTARM|8VENTOX|aRCR
11	35111 53351	   	281.12	DCR|2LIT|2VULN|1FLTARM|1MLV	19VULN|24LIT|3BELT|5MLV|6DMSP|7RCR|8RCVC|aFLTARM
12	35111 53325	   	280.28	DCR|3LIT|2MLV|2VULN	1aVULN|24aLIT|39BELT|5aMLV|6DMSP|7RCR|8RCVC|aBPWR
13	35663 11321	 * 	280.07	DCR|3LIT|2VULN|1FLTARM|1CDMG	14VULN|234LIT|4BPWR|5RPLT|6CDMG|7RCR|8RCVC|9BELT|aFLTARM
14	35115 63321	   	279.97	DCR|3LIT|2VULN|1FLTARM|1ASPD	15VULN|248LIT|3BELT|6LWND|7RCR|9ASPD|aFLTARM
15	35221 32426	   	276.12	DCR|3LIT|2VULN|1FLTARM|1CDMG|1SELL	15VULN|28aLIT|3CDMG|4BELT|6SELL|7FLTARM|9RCR
16	36633 42133	 * 	276.10	DCR|4VULN|3DMG|1MLV	1378VULN|238LWND|378BPWR|478DMG|567DUST|9MLV|aRCR
17	31644 31231	   	274.73	DCR|3LIT|2MLV|2VULN	18VULN|2LHND|348LIT|5LWND|6ERES|78MLV|8BPWR|9RCR|aRMIN
18	31644 31233	   	274.73	DCR|3LIT|2MLV|2VULN	18VULN|2LHND|348LIT|5LWND|6ERES|78MLV|8BPWR|9RCR|aFEWX
19	31653 61231	   	274.73	DCR|3LIT|2MLV|2VULN	18VULN|2LHND|368LIT|4ERES|5BEXP|78MLV|8BPWR|9RCR|aRMIN
20	31653 61233	   	274.73	DCR|3LIT|2MLV|2VULN	18VULN|2LHND|368LIT|4ERES|5BEXP|78MLV|8BPWR|9RCR|aFEWX
21	32611 61231	   	274.73	DCR|3LIT|2MLV|2VULN	18VULN|2FEWX|368LIT|4LHND|5ERES|78MLV|8BPWR|9RCR|aRMIN
