0	Index      	 *	Score 	Summary	Detail	
1	33228 62361	 * 	270.36	DCR|2LIT|2DMG|1VULN|1MLV|1ASPD	19LWND|2LHND|39DMG|4MBVNT|5ASPD|6RCR|7MLV|89LIT|9BPWR|aVULN
2	33227 44335	 * 	262.60	DCR|3VULN|1LIT|1MLV|1DMG	1LWND|2LHND|3DMG|4MBVNT|56aVULN|7RCR|8LIT|9MLV
3	31264 13313	   	259.25	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1LWND|2CDMG|3MBVNT|4aVULN|5MLV|6ZMB|7DMG|8RCR|9LIT
4	34131 11636	 * 	258.73	DCR|2MLV|1LIT|1FLTARM|1VULN|1DMG|1CDMG	1LWND|2TLV|3CDMG|4FLTARM|5LIT|6aMLV|7DMG|8VULN|9RCR
5	34131 11631	   	258.21	DCR|1LIT|1FLTARM|1VULN|1MLV|1DMG|1CDMG	1LWND|2TLV|3CDMG|4FLTARM|5LIT|6MLV|7DMG|8VULN|9RCR|aCGEN
6	34131 11632	   	258.21	DCR|1LIT|1FLTARM|1VULN|1MLV|1DMG|1CDMG	1LWND|2TLV|3CDMG|4FLTARM|5LIT|6MLV|7DMG|8VULN|9RCR|aBEXP
7	34131 11633	   	258.11	DCR|1LIT|1FLTARM|1VULN|1MLV|1DMG|1CDMG	1LWND|2TLV|3CDMG|4FLTARM|5LIT|6MLV|7DMG|8VULN|9RCR|aDUST
8	34131 11634	   	258.11	DCR|1LIT|1FLTARM|1VULN|1MLV|1DMG|1CDMG	1LWND|2TLV|3CDMG|4FLTARM|5LIT|6MLV|7DMG|8VULN|9RCR|aBLAICY
9	31523 14533	   	257.55	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1LWND|2CDMG|3ZMB|4LIT|5MLV|6BEXP|7DMG|8aVULN|9RCR
10	22531 54332	 * 	257.01	DCR|2LIT|2VULN|1MLV|1ASPD	1DMSP|2BEXP|3ASPD|4MLV|58VULN|6aLIT|7RCR|9LHND
11	22531 54312	   	256.91	DCR|2LIT|2VULN|1MLV|1ASPD	1DMSP|2BEXP|3ASPD|4MLV|58VULN|6aLIT|7RCR|9LEGI
12	34131 11615	   	256.41	DCR|1LIT|1FLTARM|1VULN|1MLV|1DMG|1CDMG	1LWND|2TLV|3CDMG|4FLTARM|5LIT|6MLV|7DMG|8VULN|9BELT|aRCR
13	33228 62363	 * 	253.92	DCR|2LIT|3DMG|1MLV|1ASPD	19LWND|2LHND|39aDMG|4MBVNT|5ASPD|6RCR|7MLV|89LIT|9BPWR
14	31264 67233	   	252.58	DCR|3VULN|1LIT|1MLV|1CDMG	1LWND|2CDMG|3MBVNT|46aVULN|5MLV|7BEXP|8LIT|9RCR
15	31266 22233	   	252.58	DCR|3VULN|1LIT|1MLV|1CDMG	1LWND|2CDMG|3MBVNT|46aVULN|5BEXP|7MLV|8LIT|9RCR
16	31283 22233	   	252.58	DCR|3VULN|1LIT|1MLV|1CDMG	1LWND|2CDMG|3MBVNT|4BEXP|56aVULN|7MLV|8LIT|9RCR
17	31261 22233	   	252.48	DCR|3VULN|1LIT|1MLV|1CDMG	1LWND|2CDMG|3MBVNT|46aVULN|5DUST|7MLV|8LIT|9RCR
18	31264 65233	   	252.48	DCR|3VULN|1LIT|1MLV|1CDMG	1LWND|2CDMG|3MBVNT|46aVULN|5MLV|7DUST|8LIT|9RCR
19	61253 62212	 * 	251.67	DCR|2LIT|3VULN|2CDMG	1FEWX|26CDMG|3BELT|456VULN|6BPWR|7FRZARM|8RCR|9aLIT
20	61116 33633	   	251.61	DCR|2LIT|2VULN|1MLV|1CDMG	1FEWX|2CDMG|3AART|45VULN|68LIT|7MLV|9RPLT|aRCR
21	32151 61316	 * 	251.31	DCR|2LIT|1FLTARM|1VULN|1MLV	1LWND|2GSSTOX|37LIT|4MLV|5RCVC|6RMIN|8VULN|9RCR|aFLTARM
22	31523 11133	   	251.13	DCR|1LIT|2VULN|1MLV|1CDMG|1ASPD	1LWND|2CDMG|3ZMB|4LIT|5MLV|6BEXP|7aVULN|8ASPD|9RCR
23	31423 14533	   	250.61	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1LWND|2CDMG|3RMIN|4LIT|5MLV|6BEXP|7DMG|8aVULN|9RCR
24	32333 61636	   	250.61	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1LWND|2GSSTOX|3LHND|46VULN|5CDMG|7LIT|8DMG|9RCR|aMLV
25	31264 13312	   	249.29	DCR|1LIT|1VULN|1MLV|1DMG|1AART|1CDMG	1LWND|2CDMG|3MBVNT|4VULN|5MLV|6ZMB|7DMG|8RCR|9LIT|aAART
26	33227 44326	 * 	249.02	DCR|2LIT|2VULN|2DMG	1aLWND|2aLHND|39DMG|4MBVNT|56VULN|7RCR|8aLIT|aBPWR
27	62122 23233	   	248.50	DCR|2LIT|2VULN|1MLV	1FEWX|2GSSTOX|36LIT|4RCVC|5ZMB|79VULN|8RCR|aMLV
