0	Index      	 *	Score 	Summary	Detail	
1	52512 21324	 * 	315.94	DCR|3LIT|3VULN|1MLV|2ASPD	139VULN|2ERES|49aLIT|5ZMB|6MLV|7RCR|89ASPD|9BPWR
2	52533 21224	 * 	313.19	DCR|3LIT|2MLV|3VULN	139VULN|2ERES|4NUKE|59aLIT|69MLV|7RCR|8RMIN|9BPWR
3	52343 21324	 * 	307.22	DCR|2LIT|2VULN|2DMG|1MLV|2ASPD	19VULN|2ERES|39DMG|4RCVC|5aLIT|6MLV|7RCR|89ASPD|9BPWR
4	52512 21325	   	298.65	DCR|2LIT|3VULN|1MLV|2ASPD	139VULN|2ERES|49LIT|5ZMB|6MLV|7RCR|89ASPD|9BPWR|aFEWX
5	52512 21326	   	298.65	DCR|2LIT|3VULN|1MLV|2ASPD	139VULN|2ERES|49LIT|5ZMB|6MLV|7RCR|89ASPD|9BPWR|aBEXP
6	52512 21321	   	298.55	DCR|2LIT|3VULN|1MLV|2ASPD	139VULN|2aERES|49LIT|5ZMB|6MLV|7RCR|89ASPD|9BPWR
7	52512 21322	   	298.55	DCR|2LIT|3VULN|1MLV|2ASPD	139VULN|2ERES|49LIT|5ZMB|6MLV|7RCR|89ASPD|9BPWR|aCANSTR
8	52512 21323	   	298.55	DCR|2LIT|3VULN|1MLV|2ASPD	139VULN|2ERES|49LIT|5ZMB|6MLV|7RCR|89ASPD|9BPWR|aDUST
9	52512 21224	   	297.65	DCR|2LIT|2MLV|3VULN	139VULN|29ERES|4aLIT|5ZMB|69MLV|7RCR|8RMIN|9BPWR
10	52512 21114	   	294.39	DCR|2LIT|2MLV|2VULN|1DMG	13VULN|2ERES|48LIT|5ZMB|69MLV|7RCR|aDMG
11	52212 21324	   	293.70	DCR|3LIT|2VULN|1MLV|2ASPD	19VULN|23ERES|49aLIT|5ZMB|6MLV|7RCR|89ASPD|9BPWR
12	52533 21324	   	291.51	DCR|2LIT|3VULN|1MLV|2ASPD	139VULN|29ERES|4NUKE|5aLIT|6MLV|7RCR|89ASPD|9BPWR
13	52533 21225	   	287.25	DCR|2LIT|2MLV|3VULN	139VULN|2ERES|4NUKE|59LIT|69MLV|7RCR|8RMIN|9BPWR|aFEWX
14	52533 21226	   	287.25	DCR|2LIT|2MLV|3VULN	139VULN|2ERES|4NUKE|59LIT|69MLV|7RCR|8RMIN|9BPWR|aBEXP
15	52533 21221	   	287.10	DCR|2LIT|2MLV|3VULN	139VULN|2aERES|4NUKE|59LIT|69MLV|7RCR|8RMIN|9BPWR
16	52533 21222	   	287.10	DCR|2LIT|2MLV|3VULN	139VULN|2ERES|4NUKE|59LIT|69MLV|7RCR|8RMIN|9BPWR|aCANSTR
17	52533 21223	   	287.10	DCR|2LIT|2MLV|3VULN	139VULN|2ERES|4NUKE|59LIT|69MLV|7RCR|8RMIN|9BPWR|aDUST
