0	Index      	 *	Score 	Summary	Detail	
1	13324 31362	 * 	275.22	DCR|3VULN|2TLV|1AART|1DUR	169FEWX|249VULN|3CGEN|5AART|7DUR|89TLV|9BPWR|aRCR
2	22313 65321	 * 	274.89	ACR|DCR|2TLV|3DUR|1CDMG	169DUR|29LIT|3CDMG|4FEWX|5aRCR|79TLV|8AETHUN|9BPWR
3	22313 25125	 * 	273.24	ACR|2TLV|2VULN|1DMG|1CDMG|1DUR	1DUR|29LIT|3CDMG|4FEWX|5RCR|69TLV|7LWND|89VULN|9BPWR|aDMG
4	24535 13232	 * 	272.84	DCR|2VULN|1TLV|2ASPD|1DMG|1CDMG|1DUR	1DUR|2aASPD|3TLV|4LEGI|58VULN|6DMG|7RCR|9CDMG
5	13115 12321	 * 	270.71	DCR|2TLV|2VULN|3DUR|1CDMG	19FEWX|25VULN|3RPLT|459DUR|59BPWR|6CDMG|7AEFRZ|89TLV|aRCR
6	25513 32141	 * 	268.93	DCR|DCR|1TLV|1VULN|1DUR	1DUR|2ERES|3TLV|4RAT|5LIT|6VULN|79RCR|8LHND|aZMB
7	24535 13231	   	267.32	DCR|2VULN|1TLV|1DMG|1ASPD|1CDMG|1DUR	1DUR|2ASPD|3TLV|4LEGI|58VULN|6DMG|7RCR|9CDMG|aRAT
8	22313 25126	 * 	266.82	ACR|3TLV|2VULN|1CDMG|1DUR	1DUR|29LIT|3CDMG|4FEWX|5RCR|69aTLV|7LWND|89VULN|9BPWR
9	22313 23126	   	266.72	ACR|3TLV|2VULN|1CDMG|1DUR	1DUR|29LIT|3CDMG|4FEWX|5RCR|69aTLV|7DUST|89VULN|9BPWR
10	25513 32142	   	261.99	DCR|DCR|1TLV|1VULN|1DUR	1DUR|2ERES|3TLV|4RAT|5LIT|6VULN|79RCR|8LHND|aLWND
11	25513 32143	   	261.99	DCR|DCR|1TLV|1VULN|1DUR	1DUR|2ERES|3TLV|4RAT|5LIT|6VULN|79RCR|8LHND|aFEWX
12	13631 61263	 * 	261.91	DCR|DCR|3VULN|1AEPOI	167FEWX|247VULN|37LIT|5DMSP|7BPWR|8AEPOI|9aRCR
13	13631 61363	 * 	261.91	DCR|DCR|3VULN|1AEBURN	167FEWX|247VULN|37LIT|5DMSP|7BPWR|8AEBURN|9aRCR
14	13153 12536	   	261.49	DCR|3VULN|2TLV	18FEWX|28aVULN|3RPLT|4BELT|5LHND|6ZMB|78TLV|8BPWR|9RCR
15	13242 41241	 * 	261.27	DCR|2VULN|1TLV|2DMG|1AEBURN	17FEWX|27VULN|3LHND|4MDPS|5AEBURN|67DMG|7BPWR|8LWND|9TLV|aRCR
16	12548 13446	 * 	260.84	DCR|DCR|2TLV|1AEFBLL	1FEWX|2AEFBLL|3MBVNT|4RMIN|58TLV|6ZMB|7BELT|9aRCR
17	13613 12326	 * 	260.63	ACR|2TLV|2VULN|2CDMG|1AART	1FEWX|29VULN|3LIT|4RCR|5DUST|69CDMG|7AEFRZ|89TLV|9BPWR|aAART
18	24535 13233	   	260.38	DCR|2VULN|1TLV|1DMG|1ASPD|1CDMG|1DUR	1DUR|2ASPD|3TLV|4LEGI|58VULN|6DMG|7RCR|9CDMG|aLWND
19	22333 65321	   	259.59	ACR|DCR|2TLV|3DUR|1CDMG|1MSE	169DUR|29LIT|3CDMG|4MSE|5aRCR|79TLV|8AETHUN|9BPWR
20	22313 25122	   	259.48	ACR|2TLV|2VULN|2CDMG|1DUR	1DUR|29LIT|3aCDMG|4FEWX|5RCR|69TLV|7LWND|89VULN|9BPWR
21	22313 23122	   	259.38	ACR|2TLV|2VULN|2CDMG|1DUR	1DUR|29LIT|3aCDMG|4FEWX|5RCR|69TLV|7DUST|89VULN|9BPWR
22	15513 32141	   	259.27	DCR|DCR|1TLV|1VULN	1FEWX|2ERES|3TLV|4RAT|5LIT|6VULN|79RCR|8LHND|aZMB
23	35513 32341	   	259.17	DCR|DCR|1TLV|1VULN	1LHND|2ERES|3TLV|4RAT|5LIT|6VULN|79RCR|8DUST|aZMB
