0	Index      	 *	Score 	Summary	Detail	
1	23168 53344	 * 	303.13	DCR|2TLV|2VULN|3DUR|2ASPD|1AEPOI	149DUR|28TLV|3MBVNT|59ASPD|6RCR|79VULN|9BPWR|aAEPOI
2	24341 31351	 * 	301.32	DCR|DCR|2TLV|1VULN|1DMG	1DUR|2LHND|3BEXP|4DMG|5DLOT|69TLV|7aRCR|8VULN
3	31341 31351	   	301.32	DCR|DCR|2TLV|1VULN|1DMG	1LWND|2DUR|3BEXP|4DMG|5DLOT|69TLV|7aRCR|8VULN
4	23431 61412	 * 	300.26	DCR|3VULN|2TLV|1DMG|2DUR	17DUR|27TLV|3RAT|4FEWX|567VULN|7BPWR|8RCR|9DMG|aLHND
5	23431 61421	   	300.26	DCR|3VULN|2TLV|1AEPOI|2DUR	17DUR|27TLV|3RAT|4FEWX|567VULN|7BPWR|8RCR|9AEPOI|aLHND
6	23431 61422	   	300.26	DCR|3VULN|2TLV|1AEFBLL|1AEPOI|2DUR	17DUR|27TLV|3RAT|4FEWX|567VULN|7BPWR|8RCR|9AEPOI|aAEFBLL
7	23431 61411	   	300.16	DCR|3VULN|2TLV|1DMG|2DUR	17DUR|27TLV|3RAT|4FEWX|567VULN|7BPWR|8RCR|9DMG|aLSRHEA
8	23431 61413	   	300.16	DCR|3VULN|2TLV|1DMG|2DUR	17DUR|27TLV|3RAT|4FEWX|567VULN|7BPWR|8RCR|9DMG|aERES
9	23431 61423	   	300.16	DCR|3VULN|2TLV|1AEPOI|2DUR	17DUR|27TLV|3RAT|4FEWX|567VULN|7BPWR|8RCR|9AEPOI|aERES
10	23431 61432	   	300.16	DCR|3VULN|2TLV|1AEPOI|2DUR|1MSE	17DUR|27TLV|3RAT|4FEWX|567VULN|7BPWR|8RCR|9MSE|aAEPOI
11	23241 11351	   	294.91	DCR|DCR|2TLV|1VULN|1ASPD	1DUR|29TLV|3LWND|4BEXP|5DLOT|6ASPD|7aRCR|8VULN
12	23241 26351	   	294.91	DCR|DCR|2TLV|1VULN|1ASPD	1DUR|29TLV|3LWND|4BEXP|5DLOT|6aRCR|7ASPD|8VULN
13	23231 11551	   	294.81	DCR|DCR|2TLV|1VULN|1ASPD	1DUR|29TLV|3LWND|4DUST|5DLOT|6ASPD|7aRCR|8VULN
14	34341 31351	   	291.66	DCR|DCR|2TLV|1VULN|1DMG	1LWND|2LHND|3BEXP|4DMG|5DLOT|69TLV|7aRCR|8VULN
15	23163 53345	 * 	290.67	DCR|3TLV|2VULN|3DUR|1AEPOI	149DUR|289TLV|3MBVNT|5AAC|6RCR|79VULN|9BPWR|aAEPOI
16	23168 53342	   	290.00	DCR|2TLV|2VULN|3DUR|2ASPD	149DUR|28TLV|3MBVNT|59ASPD|6RCR|79VULN|9BPWR|aFLTHEA
17	23431 11453	   	286.81	DCR|3VULN|2TLV|2DUR|2RAT	17DUR|27TLV|36RAT|4FEWX|57aVULN|7BPWR|8RCR|9BELT
18	23431 11461	   	286.81	DCR|3VULN|2TLV|2DUR|2RAT	17DUR|27TLV|36RAT|4FEWX|57aVULN|7BPWR|8RCR|9BEXP
19	23431 11441	   	286.71	DCR|3VULN|2TLV|2DUR|2RAT	17DUR|27TLV|36RAT|4FEWX|57aVULN|7BPWR|8RCR|9DUST
20	23431 61431	 * 	285.95	DCR|4VULN|2TLV|2DUR|1MSE	17DUR|27TLV|3RAT|4FEWX|567aVULN|7BPWR|8RCR|9MSE
21	23115 24674	 * 	284.96	DCR|4VULN|2TLV	1DUR|27TLV|3MBVNT|4MLV|5689VULN|aRCR
22	11174 45613	   	284.65	DCR|3VULN|2TLV|1DMG|2ZMB	1RMIN|26aVULN|3MBVNT|4aTLV|5CANSTR|7RCR|8DMG|9aZMB|aBPWR
23	23163 53344	   	284.26	DCR|3TLV|2VULN|3DUR|1CDMG	149DUR|289TLV|3MBVNT|5AAC|6RCR|79VULN|9BPWR|aCDMG
24	23214 26322	   	284.26	DCR|3VULN|2TLV|2DUR|1AART	18DUR|28TLV|3LWND|4MLV|568VULN|7AART|8BPWR|9FEWX|aRCR
25	23214 26334	   	284.26	DCR|3VULN|2TLV|2DUR|1AART	18DUR|28TLV|3LWND|4MLV|568VULN|7AART|8BPWR|9CGEN|aRCR
26	23115 24474	   	283.98	DCR|3VULN|2TLV|1AEPOI	1DUR|27TLV|3MBVNT|4MLV|569VULN|8AEPOI|aRCR
27	23115 24774	   	283.98	DCR|3VULN|2TLV|1AEFBLL	1DUR|27TLV|3MBVNT|4MLV|569VULN|8AEFBLL|aRCR
28	23185 24474	   	283.88	DCR|3VULN|2TLV|1AEPOI	1DUR|27TLV|3MBVNT|4ERES|569VULN|8AEPOI|aRCR
29	23168 53341	   	282.96	DCR|2TLV|2VULN|3DUR|2ASPD	149DUR|28TLV|3MBVNT|59ASPD|6RCR|79VULN|9BPWR|aDUST
30	23168 53343	   	282.96	DCR|2TLV|2VULN|3DUR|2ASPD|1MSE	149DUR|28TLV|3MBVNT|59ASPD|6RCR|79VULN|9BPWR|aMSE
31	23431 11412	   	282.18	DCR|2TLV|2VULN|1DMG|2DUR|2RAT	17DUR|27TLV|36RAT|4FEWX|57VULN|7BPWR|8RCR|9DMG|aLHND
32	23431 11414	   	282.18	DCR|2TLV|2VULN|1DMG|2DUR|2RAT	17DUR|27TLV|36RAT|4FEWX|57VULN|7BPWR|8RCR|9DMG|aRCVC
33	23431 11415	   	282.18	DCR|2TLV|2VULN|1DMG|2DUR|2RAT	17DUR|27TLV|36RAT|4FEWX|57VULN|7BPWR|8RCR|9DMG|aCGEN
34	23431 11416	   	282.18	DCR|2TLV|2VULN|1DMG|2DUR|2RAT	17DUR|27TLV|36RAT|4FEWX|57VULN|7BPWR|8RCR|9DMG|aBEXP
35	23431 11421	   	282.18	DCR|2TLV|2VULN|1AEPOI|2DUR|2RAT	17DUR|27TLV|36RAT|4FEWX|57VULN|7BPWR|8RCR|9AEPOI|aLHND
36	23431 11422	   	282.18	DCR|2TLV|2VULN|1AEFBLL|1AEPOI|2DUR|2RAT	17DUR|27TLV|36RAT|4FEWX|57VULN|7BPWR|8RCR|9AEPOI|aAEFBLL
37	23431 11424	   	282.18	DCR|2TLV|2VULN|1AEPOI|2DUR|2RAT	17DUR|27TLV|36RAT|4FEWX|57VULN|7BPWR|8RCR|9AEPOI|aRMIN
38	23431 11462	   	282.18	DCR|2TLV|2VULN|1AEPOI|2DUR|2RAT	17DUR|27TLV|36RAT|4FEWX|57VULN|7BPWR|8RCR|9BEXP|aAEPOI
39	23431 11411	   	282.08	DCR|2TLV|2VULN|1DMG|2DUR|2RAT	17DUR|27TLV|36RAT|4FEWX|57VULN|7BPWR|8RCR|9DMG|aLSRHEA
40	23431 11413	   	282.08	DCR|2TLV|2VULN|1DMG|2DUR|2RAT	17DUR|27TLV|36RAT|4FEWX|57VULN|7BPWR|8RCR|9DMG|aERES
41	23431 11423	   	282.08	DCR|2TLV|2VULN|1AEPOI|2DUR|2RAT	17DUR|27TLV|36RAT|4FEWX|57VULN|7BPWR|8RCR|9AEPOI|aERES
42	23431 11432	   	282.08	DCR|2TLV|2VULN|1AEPOI|2DUR|2RAT|1MSE	17DUR|27TLV|36RAT|4FEWX|57VULN|7BPWR|8RCR|9MSE|aAEPOI
43	23431 11442	   	282.08	DCR|2TLV|2VULN|1AEPOI|2DUR|2RAT	17DUR|27TLV|36RAT|4FEWX|57VULN|7BPWR|8RCR|9DUST|aAEPOI
44	23451 11412	   	282.08	DCR|2TLV|2VULN|1DMG|2DUR|2RAT	17DUR|27TLV|36RAT|4DUST|57VULN|7BPWR|8RCR|9DMG|aLHND
45	23451 11421	   	282.08	DCR|2TLV|2VULN|1AEPOI|2DUR|2RAT	17DUR|27TLV|36RAT|4DUST|57VULN|7BPWR|8RCR|9AEPOI|aLHND
46	23451 11422	   	282.08	DCR|2TLV|2VULN|1AEFBLL|1AEPOI|2DUR|2RAT	17DUR|27TLV|36RAT|4DUST|57VULN|7BPWR|8RCR|9AEPOI|aAEFBLL
47	23168 53312	   	281.98	DCR|2TLV|2VULN|1DMG|2DUR|1ASPD	14DUR|28TLV|3MBVNT|5ASPD|6RCR|7aVULN|9DMG
48	23451 11411	   	281.98	DCR|2TLV|2VULN|1DMG|2DUR|2RAT	17DUR|27TLV|36RAT|4DUST|57VULN|7BPWR|8RCR|9DMG|aLSRHEA
49	23451 11413	   	281.98	DCR|2TLV|2VULN|1DMG|2DUR|2RAT	17DUR|27TLV|36RAT|4DUST|57VULN|7BPWR|8RCR|9DMG|aERES
50	23451 11423	   	281.98	DCR|2TLV|2VULN|1AEPOI|2DUR|2RAT	17DUR|27TLV|36RAT|4DUST|57VULN|7BPWR|8RCR|9AEPOI|aERES
51	23451 11432	   	281.98	DCR|2TLV|2VULN|1AEPOI|2DUR|2RAT|1MSE	17DUR|27TLV|36RAT|4DUST|57VULN|7BPWR|8RCR|9MSE|aAEPOI
