0	Index      	 *	Score 	Summary	Detail	
1	56113 53313	 * 	274.38	ACR|DCR|3VULN|2CDMG|1MLV|1SELL	14CDMG|26aVULN|37RCR|5SELL|8MLV|9CGEN
2	56113 53112	 * 	271.20	ACR|DCR|3VULN|3CDMG|1SELL	148CDMG|269VULN|37RCR|5SELL|aDUR
3	35356 11333	 * 	263.86	DCR|DCR|2VULN|1DMG	12aLHND|2BPWR|34VULN|5DMG|69RCR|7LIT|8AME
4	35356 11331	   	263.76	DCR|DCR|2VULN|1DMG|1MSE	12LHND|2BPWR|34VULN|5DMG|69RCR|7LIT|8AME|aMSE
5	35356 11332	   	263.76	DCR|DCR|2VULN|1DMG	12LHND|2BPWR|34VULN|5DMG|69RCR|7LIT|8AME|aERES
6	56113 53111	 * 	262.89	ACR|DCR|3VULN|3CDMG|1SELL	148CDMG|269VULN|37RCR|5SELL|aCGEN
7	56113 53113	 * 	262.79	ACR|DCR|3VULN|3CDMG|1SELL	148CDMG|269VULN|37RCR|5SELL|aERES
8	21425 32221	   	261.86	DCR|DCR|2VULN|1AART	1BEXP|2AART|3LIT|4LWND|5DUR|67RCR|8aVULN|9RMIN
9	21454 32221	   	261.86	DCR|DCR|2VULN|1AART	1BEXP|2AART|3LIT|4DUR|5LHND|67RCR|8aVULN|9RMIN
10	36435 32221	   	261.86	DCR|DCR|2VULN|1AART	1LHND|2AART|3LIT|4FEWX|5DUR|67RCR|8aVULN|9RMIN
11	21425 32211	   	261.76	DCR|DCR|2VULN|1AART	1BEXP|2AART|3LIT|4LWND|5DUR|67RCR|8aVULN|9ERES
12	21454 32211	   	261.76	DCR|DCR|2VULN|1AART	1BEXP|2AART|3LIT|4DUR|5LHND|67RCR|8aVULN|9ERES
13	36435 32211	   	261.76	DCR|DCR|2VULN|1AART	1LHND|2AART|3LIT|4FEWX|5DUR|67RCR|8aVULN|9ERES
14	61425 32221	   	261.76	DCR|DCR|2VULN|1AART	1DUST|2AART|3LIT|4LWND|5DUR|67RCR|8aVULN|9RMIN
15	61425 32211	   	261.66	DCR|DCR|2VULN|1AART	1DUST|2AART|3LIT|4LWND|5DUR|67RCR|8aVULN|9ERES
16	21425 32241	   	261.62	DCR|DCR|2VULN|1AART|1ZMB	1BEXP|2AART|3LIT|4LWND|5DUR|67RCR|8aVULN|9ZMB
17	22532 16523	   	261.33	DCR|DCR|2VULN|1MLV	1BEXP|2MDPS|34VULN|5LWND|6LHND|7BBNT|8MLV|9aRCR
18	12423 11333	   	261.23	DCR|DCR|2VULN|1MLV	1MLV|2AAC|3ERES|45VULN|69RCR|7LIT|8AME|aTLV
19	12423 11334	   	261.23	DCR|DCR|2VULN|1MLV	1MLV|2AAC|3ERES|45VULN|69RCR|7LIT|8AME|aRCVC
20	12423 11335	   	261.23	DCR|DCR|2VULN|1MLV	1MLV|2AAC|3ERES|45VULN|69RCR|7LIT|8AME|aFEWX
21	12423 11336	   	261.23	DCR|DCR|2VULN|1MLV	1MLV|2AAC|3ERES|45VULN|69RCR|7LIT|8AME|aLWND
