0	Index      	 *	Score 	Summary	Detail	
1	23631 33234	 * 	301.51	DCR|DCR|3VULN|1DMG	1RPLT|2DUST|359VULN|456AME|5BPWR|78RCR|aDMG
2	24154 33221	 * 	296.62	DCR|DCR|2VULN|2MLV|2RPLT	12RPLT|39VULN|49MLV|59AELOIC|6BBNT|78RCR|9BPWR|aCGEN
3	24154 33222	   	296.52	DCR|DCR|2VULN|2MLV|2RPLT	12RPLT|39VULN|49MLV|59aAELOIC|6BBNT|78RCR|9BPWR
4	24154 33223	   	296.52	DCR|DCR|2VULN|2MLV|2RPLT	12RPLT|39VULN|49MLV|59AELOIC|6BBNT|78RCR|9BPWR|aMDPS
5	23631 33216	   	286.36	DCR|DCR|2VULN|1DMG	1RPLT|2DUST|35VULN|456AME|5BPWR|78RCR|9DUR|aDMG
6	22231 36133	   	284.03	DCR|DCR|2VULN|1MLV	1RPLT|2MLV|3AAC|4CANARM|59VULN|6LHND|7DUR|8aRCR
7	22231 66133	   	284.03	DCR|DCR|2VULN|1MLV	1RPLT|2MLV|3AAC|4CANARM|59VULN|6LWND|7DUR|8aRCR
8	22235 16133	   	284.03	DCR|DCR|2VULN|1MLV	1RPLT|2MLV|3AAC|4CANARM|5LHND|69VULN|7DUR|8aRCR
9	33511 22153	   	283.32	DCR|DCR|1VULN|2MLV|1DMG	1LWND|2DMG|3RPLT|4LHND|5TSLARM|6VULN|79MLV|8aRCR
10	33521 22153	   	283.32	DCR|DCR|1VULN|2MLV|1DMG	1LWND|2DMG|3RPLT|4FEWX|5TSLARM|6VULN|79MLV|8aRCR
11	33521 24353	   	283.32	DCR|DCR|1VULN|2MLV|1DMG	1LWND|2DMG|3RPLT|4FEWX|5TSLARM|6VULN|7aRCR|89MLV
12	53522 22153	   	283.32	DCR|DCR|1VULN|2MLV|1DMG	1LHND|2DMG|3RPLT|4SPLJET|5BEXP|6VULN|79MLV|8aRCR
13	23311 22153	   	283.22	DCR|DCR|1VULN|2MLV|1DMG	1RPLT|2DUST|3DMG|4LHND|5TSLARM|6VULN|79MLV|8aRCR
14	23321 24353	   	283.22	DCR|DCR|1VULN|2MLV|1DMG	1RPLT|2DUST|3DMG|4FEWX|5TSLARM|6VULN|7aRCR|89MLV
15	23341 22153	   	283.22	DCR|DCR|1VULN|2MLV|1DMG	1RPLT|2DUST|3DMG|4LWND|5TSLARM|6VULN|79MLV|8aRCR
16	23341 24353	   	283.22	DCR|DCR|1VULN|2MLV|1DMG	1RPLT|2DUST|3DMG|4LWND|5TSLARM|6VULN|7aRCR|89MLV
17	23352 24353	   	283.22	DCR|DCR|1VULN|2MLV|1DMG	1RPLT|2DUST|3DMG|4TSLARM|5FEWX|6VULN|7aRCR|89MLV
18	23355 22153	   	283.22	DCR|DCR|1VULN|2MLV|1DMG	1RPLT|2DUST|3DMG|4TSLARM|5LWND|6VULN|79MLV|8aRCR
19	23631 33231	   	281.45	DCR|DCR|3VULN	1RPLT|2DUST|359VULN|456AME|5BPWR|78RCR|aCGEN
20	23631 33235	   	281.45	DCR|DCR|3VULN	1RPLT|2DUST|359VULN|456AME|5BPWR|78RCR|aTLV
21	25443 14458	   	281.36	DCR|DCR|1VULN|1DMG|1MLV|1ASPD	1RPLT|2MBVNT|3BEXP|4MLV|5ASPD|6LHND|79RCR|8VULN|aDMG
22	23631 33232	   	281.35	DCR|DCR|3VULN	1RPLT|2DUST|359VULN|456AME|5BPWR|78RCR|aAELOIC
23	23631 33233	   	281.35	DCR|DCR|3VULN	1RPLT|2DUST|359VULN|456AME|5BPWR|78RCR|aMDPS
24	23631 33236	   	281.35	DCR|DCR|3VULN|1MSE	1RPLT|2DUST|359VULN|456AME|5BPWR|78RCR|aMSE
25	23241 53216	   	281.22	DCR|DCR|1VULN|2MLV	1RPLT|2DUST|3BEXP|4DUR|5aMLV|6VULN|78RCR|9AART
26	23241 53213	   	279.26	DCR|DCR|1VULN|1MLV|1ASPD	1RPLT|2DUST|3BEXP|4DUR|5MLV|6VULN|78RCR|9AART|aASPD
27	23631 33256	   	278.05	DCR|DCR|2VULN|1DMG	1RPLT|2DUST|35VULN|456AME|5BPWR|78RCR|9BEXP|aDMG
28	23631 33266	   	278.05	DCR|DCR|2VULN|1DMG	1RPLT|2DUST|35VULN|456AME|5BPWR|78RCR|9LHND|aDMG
29	22443 43231	 * 	277.42	DCR|DCR|3MLV|1VULN	1RPLT|235MLV|45FEWX|5BPWR|6LEGI|78RCR|9VULN|aLIT
30	22443 43232	   	277.32	DCR|DCR|3MLV|1VULN	1RPLT|235MLV|45FEWX|5BPWR|6LEGI|78RCR|9VULN|aERES
31	22443 43233	   	277.32	DCR|DCR|3MLV|1VULN	1RPLT|235MLV|45FEWX|5BPWR|6LEGI|78RCR|9VULN|aDUST
32	23511 22153	   	276.80	DCR|DCR|1VULN|2MLV|1ASPD	1RPLT|2DUST|3ASPD|4LHND|5TSLARM|6VULN|79MLV|8aRCR
33	23521 24353	   	276.80	DCR|DCR|1VULN|2MLV|1ASPD	1RPLT|2DUST|3ASPD|4FEWX|5TSLARM|6VULN|7aRCR|89MLV
34	23541 22153	   	276.80	DCR|DCR|1VULN|2MLV|1ASPD	1RPLT|2DUST|3ASPD|4LWND|5TSLARM|6VULN|79MLV|8aRCR
35	25444 61451	   	276.01	DCR|DCR|1VULN|1DMG|1MLV	1RPLT|2MBVNT|3aBEXP|4MLV|5DUR|6VULN|7DMG|89RCR
36	25444 61454	   	276.01	DCR|DCR|1VULN|1DMG|1MLV	1RPLT|2MBVNT|3BEXP|4MLV|5DUR|6VULN|7DMG|89RCR|aDMSP
37	23241 53224	   	275.91	DCR|DCR|1VULN|1DMG|1MLV	1RPLT|29DUST|3BEXP|4DUR|5MLV|6VULN|78RCR|aDMG
38	25444 61452	   	275.91	DCR|DCR|1VULN|1DMG|1MLV	1RPLT|2MBVNT|3BEXP|4MLV|5DUR|6VULN|7DMG|89RCR|aERES
39	25444 61453	   	275.91	DCR|DCR|1VULN|1DMG|1MLV	1RPLT|2MBVNT|3BEXP|4MLV|5DUR|6VULN|7DMG|89RCR|aDUST
40	22512 63216	   	272.91	DCR|DCR|1VULN|2MLV	1RPLT|2aMLV|3DUST|4LHND|5FEWX|6VULN|78RCR|9AART
41	23511 24633	   	271.64	DCR|DCR|2VULN|1ASPD	1RPLT|2DUST|3ASPD|4LHND|5TSLARM|68VULN|7aRCR|9ERES
42	23631 33246	   	271.64	DCR|DCR|2VULN|1CDMG	1RPLT|2DUST|35VULN|456AME|5BPWR|78RCR|9RMIN|aCDMG
43	23241 53261	   	271.56	DCR|DCR|1VULN|2MLV	1RPLT|2DUST|3BEXP|4DUR|59MLV|6VULN|78RCR|aCGEN
44	22231 25153	   	271.56	DCR|DCR|1VULN|2MLV	1RPLT|29MLV|3AAC|4CANARM|5VULN|6FEWX|7DUR|8aRCR
45	22231 36153	   	271.56	DCR|DCR|1VULN|2MLV	1RPLT|29MLV|3AAC|4CANARM|5VULN|6LHND|7DUR|8aRCR
46	22231 66153	   	271.56	DCR|DCR|1VULN|2MLV	1RPLT|29MLV|3AAC|4CANARM|5VULN|6LWND|7DUR|8aRCR
47	22235 16153	   	271.56	DCR|DCR|1VULN|2MLV	1RPLT|29MLV|3AAC|4CANARM|5LHND|6VULN|7DUR|8aRCR
