0	Index      	 *	Score 	Summary	Detail	
1	21321 76483	 * 	248.33	DCR|DCR|2VULN	1LHND|2AAC|3AELOIC|4MBVNT|5VENICY|6BELT|7aVULN|89RCR
2	36312 41512	   	244.82	DCR|DCR|1VULN|2DUR|1RPLT|1SELL	1FRZICY|2RPLT|3TBNT|4aDUR|5SELL|6BELT|78RCR|9VULN
3	21631 55132	   	243.76	DCR|DCR|1VULN|1CDMG|1AART	16LHND|2AAC|3AART|4MSLTOX|5TBNT|79RCR|8CDMG|aVULN
4	21633 35132	   	243.66	DCR|DCR|1VULN|1CDMG|1AART	1LHND|2AAC|3AART|4MSLTOX|5AELOIC|6BBNT|79RCR|8CDMG|aVULN
5	32361 84444	   	243.66	DCR|DCR|1VULN|1ASPD|1AART	1FRZICY|2ERES|3LHND|4MBVNT|5TLV|6aRCR|7AART|8VULN|9ASPD
6	23524 81424	   	243.66	DCR|DCR|1VULN|1ASPD|1AART	12LHND|3ASPD|4MBVNT|5FEWX|6aRCR|7VULN|8CANSTR|9AART
7	24161 84444	   	243.56	DCR|DCR|1VULN|1ASPD|1AART	1LHND|2ERES|3BASICY|4MBVNT|5TLV|6aRCR|7AART|8VULN|9ASPD
8	31233 12654	 * 	243.39	ACR|DCR|3VULN	18FRZICY|29RCR|36CGEN|48aVULN|5BELT|78BEXP|8BPWR
9	31126 52533	   	243.09	ACR|DCR|3VULN	1FRZICY|2aRCR|3LHND|4FEWX|589VULN|6SPLJET|7LIT
10	31351 23354	   	243.09	ACR|DCR|3VULN	1FRZICY|29RCR|3DUST|46BELT|57aVULN|8CGEN
11	31363 52533	   	242.99	ACR|DCR|3VULN	1FRZICY|2aRCR|3DUST|4SNIFST|589VULN|6LWND|7LIT
12	31243 34216	 * 	242.15	ACR|DCR|1VULN|1MLV|1ASPD|1AART|1RPLT	1FRZICY|29RCR|3CGEN|4AART|5BBNT|6ASPD|7RPLT|8MLV|aVULN
13	24363 12611	 * 	240.17	DCR|DCR|1VULN|1DMG|1SELL	1LHND|27ERES|3BBNT|4VULN|5SELL|6TBNT|89RCR|aDMG
14	31643 81312	 * 	239.69	ACR|DCR|2VULN|1DMG	1FRZICY|26RCR|3BBNT|4BELT|5MBVNT|7BEXP|89VULN|aDMG
15	31643 84312	   	239.69	ACR|DCR|2VULN|1DMG	1FRZICY|26RCR|3BBNT|4BELT|5MBVNT|7LWND|89VULN|aDMG
16	33664 52233	   	238.32	DCR|DCR|1VULN|1AART|1DUR	1FRZICY|2CGEN|3DUR|4MBVNT|5LIT|6VULN|79RCR|8DUST|aAART
17	34164 52233	   	238.32	DCR|DCR|1VULN|1AART|1DUR	1FRZICY|2DUR|3CGEN|4MBVNT|5LIT|6VULN|79RCR|8DUST|aAART
18	36312 41511	   	238.27	DCR|DCR|1VULN|1RPLT|1DUR|1SELL	1FRZICY|2RPLT|3TBNT|4DUR|5SELL|6BELT|78RCR|9VULN|aBEXP
19	36312 41513	   	238.17	DCR|DCR|1VULN|1RPLT|1DUR|1SELL	1FRZICY|2RPLT|3TBNT|4DUR|5SELL|6BELT|78RCR|9VULN|aDUST
20	24363 12613	 * 	237.64	DCR|DCR|1VULN|1MLV|1SELL	1LHND|27ERES|3BBNT|4VULN|5SELL|6TBNT|89RCR|aMLV
21	31233 12655	 * 	237.45	ACR|DCR|2VULN|1MLV	18FRZICY|29RCR|36CGEN|48VULN|5BELT|78BEXP|8BPWR|aMLV
22	31144 21131	   	237.25	ACR|DCR|2VULN|1MLV	1FRZICY|2aRCR|3LHND|4MLV|57VULN|69RCVC|8LIT
23	31144 21161	   	237.25	ACR|DCR|2VULN|1MLV	1FRZICY|2aRCR|39LHND|4MLV|57VULN|6RCVC|8LIT
