0	Index      	 *	Score 	Summary	Detail	
1	35421 11633	 * 	289.52	DCR|DCR|3VULN|1MLV	124VULN|2BPWR|3MDPS|5LIT|6TBNT|7aRCR|8MLV|9LHND
2	25261 11134	   	288.02	DCR|DCR|2VULN|1MLV|1ASPD	1LIT|2MLV|3ASPD|4DUR|5TBNT|68VULN|7aRCR|9MDPS
3	25262 11134	   	288.02	DCR|DCR|2VULN|1MLV|1ASPD	1LIT|2MLV|3ASPD|4DUR|5BBNT|68VULN|7aRCR|9MDPS
4	35332 26125	   	281.40	DCR|DCR|2VULN|1CDMG|1AART|1RPLT	12VULN|2BPWR|3BASHEA|4DUST|5RPLT|6aRCR|7RMIN|8CDMG|9AART
5	35134 22428	   	280.20	DCR|DCR|3VULN	123VULN|2BPWR|4DUST|5MBVNT|6DUR|7aRCR|8BELT|9LHND
6	35134 22448	   	280.20	DCR|DCR|3VULN	123VULN|2BPWR|4DUST|5MBVNT|6DUR|7aRCR|8BELT|9BEXP
7	32413 26342	 * 	278.68	DCR|DCR|1VULN|1DMG|2DUR|1CDMG|1RPLT	1VULN|2BBNT|34DUR|5CDMG|6DMG|7MDPS|8aRCR|9RPLT
8	33235 26342	 * 	277.91	DCR|DCR|2VULN|1DMG|1RPLT|1SELL	14VULN|2SELL|3DUST|5BBNT|6DMG|7MDPS|8aRCR|9RPLT
9	35211 22651	 * 	277.00	DCR|DCR|2VULN|1DMG	12VULN|2BPWR|3DMG|4FEWX|5RMIN|6DUR|79RCR|8LHND|aTLV
10	35211 22652	   	277.00	DCR|DCR|2VULN|1DMG	12VULN|2BPWR|3DMG|4FEWX|5RMIN|6DUR|79RCR|8LHND|aLIT
11	35211 22653	   	277.00	DCR|DCR|2VULN|1DMG	12VULN|2BPWR|3DMG|4aFEWX|5RMIN|6DUR|79RCR|8LHND
12	32425 21134	   	276.80	DCR|DCR|2VULN|1DMG	18VULN|2BBNT|3DUR|4LIT|5DMG|6AME|7aRCR|9MDPS
13	32441 11134	   	276.80	DCR|DCR|2VULN|1DMG	18VULN|2BBNT|3DUR|4AME|5DMG|6LIT|7aRCR|9MDPS
14	35531 62133	 * 	272.75	DCR|5VULN|2MLV|1RPLT	12468VULN|26BPWR|3RPLT|56MLV|7DUR|9LHND|aRCR
15	31613 25324	   	272.13	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1VULN|2DUST|3DMG|4DUR|5ASPD|6LHND|7RPLT|8aRCR|9TBNT
16	31613 35324	   	272.13	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1VULN|2DUST|3DMG|4DUR|5ASPD|6BEXP|7RPLT|8aRCR|9TBNT
17	22232 24356	   	271.84	DCR|DCR|2VULN|1CDMG|1RPLT	1LIT|2BEXP|38VULN|4LWND|5RPLT|6DUST|79RCR|aCDMG
18	52523 14332	   	270.95	DCR|DCR|1VULN|1MLV|1ASPD|1AART|1RPLT	1BEXP|2AELOIC|3RPLT|4VULN|5MLV|6ASPD|7AART|89RCR|aLHND
