0	Index      	 *	Score 	Summary	Detail	
1	21562 13234	 * 	298.09	DCR|DCR|3VULN|2ASPD	1AAC|2BBNT|35aVULN|45ASPD|5BPWR|68ERES|79RCR
2	21562 13235	   	284.29	DCR|DCR|2VULN|2ASPD	1AAC|2BBNT|35VULN|45ASPD|5BPWR|68ERES|79RCR|aAART
3	52183 13335	   	280.20	DCR|DCR|3VULN	18aVULN|2MBVNT|38FEWX|4DUST|5DUR|68ERES|79RCR|8BPWR
4	25124 62233	 * 	276.38	ACR|DCR|2VULN|2MLV|1ASPD	1AAC|28VULN|39RCR|4ASPD|58MLV|678BEXP|8BPWR|aRPLT
5	25134 22352	 * 	274.81	ACR|DCR|2VULN|1DMG|2CDMG|2DUR	1AAC|2aVULN|38RCR|4aDUR|5DMG|6RMIN|7BEXP|9aCDMG|aBPWR
6	21562 13231	   	274.63	DCR|DCR|2VULN|2ASPD	1AAC|2BBNT|35VULN|45ASPD|5BPWR|68ERES|79RCR|aLIT
7	21562 13232	   	274.63	DCR|DCR|2VULN|2ASPD	1AAC|2BBNT|35VULN|45ASPD|5BPWR|68ERES|79RCR|aFEWX
8	26562 13231	   	274.63	DCR|DCR|2VULN|2ASPD	1AAC|2TBNT|35VULN|45ASPD|5BPWR|68ERES|79RCR|aLIT
9	26562 13232	   	274.63	DCR|DCR|2VULN|2ASPD	1AAC|2TBNT|35VULN|45ASPD|5BPWR|68ERES|79RCR|aFEWX
10	21562 13233	   	274.53	DCR|DCR|2VULN|2ASPD|1MSE	1AAC|2BBNT|35VULN|45ASPD|5BPWR|68ERES|79RCR|aMSE
11	21562 13236	   	274.53	DCR|DCR|2VULN|2ASPD|1ZMB	1AAC|2BBNT|35VULN|45ASPD|5BPWR|68ERES|79RCR|aZMB
12	21563 13234	   	274.53	DCR|DCR|2VULN|2ASPD	1AAC|2BBNT|3aVULN|45ASPD|68ERES|79RCR
13	26562 13233	   	274.53	DCR|DCR|2VULN|2ASPD|1MSE	1AAC|2TBNT|35VULN|45ASPD|5BPWR|68ERES|79RCR|aMSE
14	51211 21256	   	271.84	DCR|DCR|2VULN|1CDMG	19VULN|2ERES|34LHND|5AART|6CDMG|7AAC|8aRCR
15	52153 13634	   	270.38	DCR|DCR|2VULN|1ASPD	18VULN|2MBVNT|3FEWX|4LHND|5DUR|6ERES|79RCR|aASPD
16	52183 13337	   	270.38	DCR|DCR|2VULN|1ASPD	18VULN|2MBVNT|38FEWX|4DUST|5DUR|68ERES|79RCR|8BPWR|aASPD
17	25123 36234	 * 	269.19	ACR|DCR|3VULN|2ASPD	1AAC|26aVULN|39RCR|47ASPD|5BBNT|8ERES
18	55111 52231	   	269.12	DCR|DCR|2VULN|1ASPD	12VULN|3FEWX|4DUST|5BEXP|69RCR|7AAC|8ASPD|aNUKE
19	23212 53534	 * 	268.49	DCR|DCR|2VULN|1DMG	1AAC|2BEXP|3ERES|4DUST|5aVULN|69RCR|7LHND|8DMG
20	25242 13234	   	268.49	DCR|DCR|2VULN|1DMG	1AAC|2aVULN|38ERES|4DMG|5TBNT|6RCVC|79RCR
21	51142 13234	   	268.49	DCR|DCR|2VULN|1DMG	1aVULN|28ERES|3AAC|4DMG|5TBNT|6RCVC|79RCR
22	52531 83334	   	268.39	DCR|DCR|2VULN|1DMG	18VULN|2MBVNT|368AME|48FEWX|5MDPS|79RCR|8BPWR|aDMG
23	52582 13334	   	268.39	DCR|DCR|2VULN|1DMG	14VULN|2MBVNT|348AME|4BPWR|5TBNT|6RCVC|79RCR|aDMG
