0	Index      	 *	Score 	Summary	Detail	
1	33634 82711	 * 	269.43	DCR|DCR|2VULN|1MLV	18VULN|2LHND|3MBVNT|4BASARM|5DUR|6MLV|7aRCR|9SNITOX
2	25232 45211	 * 	268.74	DCR|DCR|1VULN|1DMG|1MLV|1ASPD	1DUST|2BASHEA|3ASPD|4AAC|5VULN|6MLV|78RCR|9LIT|aDMG
3	33648 16434	   	268.74	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	1VULN|2LHND|3MBVNT|4LWND|5MLV|6CDMG|79RCR|8TSLARM|aDMG
4	34262 36312	   	261.66	DCR|DCR|2VULN|1AART	14VULN|2AART|3DUR|5TSLARM|6aRCR|7FEWX|8BBNT|9SPLJET
5	14616 13211	 * 	259.82	ACR|DCR|2VULN|1MLV|1ASPD|1CDMG	16LIT|2CGEN|3CDMG|4aVULN|58RCR|7ASPD|9MLV
6	43616 13211	   	259.82	ACR|DCR|2VULN|1MLV|1ASPD|1CDMG	1TLV|26LIT|3CDMG|4aVULN|58RCR|7ASPD|9MLV
7	53616 13211	   	259.82	ACR|DCR|2VULN|1MLV|1ASPD|1CDMG	1CGEN|26LIT|3CDMG|4aVULN|58RCR|7ASPD|9MLV
8	14616 33211	   	259.72	ACR|DCR|2VULN|1MLV|1ASPD|1CDMG	1LIT|2CGEN|3CDMG|4aVULN|58RCR|6AELOIC|7ASPD|9MLV
9	43616 33211	   	259.72	ACR|DCR|2VULN|1MLV|1CDMG|1ASPD	1TLV|2LIT|3CDMG|4aVULN|58RCR|6AELOIC|7ASPD|9MLV
10	53616 33211	   	259.72	ACR|DCR|2VULN|1MLV|1ASPD|1CDMG	1CGEN|2LIT|3CDMG|4aVULN|58RCR|6AELOIC|7ASPD|9MLV
11	25232 45233	   	258.34	DCR|DCR|1VULN|1MLV|1ASPD|1RPLT	1DUST|2BASHEA|3ASPD|4AAC|5VULN|6MLV|78RCR|9RPLT|aBEXP
12	25232 45231	   	258.24	DCR|DCR|1VULN|1MLV|1ASPD|1RPLT	1DUST|2BASHEA|3ASPD|4AAC|5VULN|6MLV|78RCR|9RPLT|aMDPS
13	25232 45232	   	258.24	DCR|DCR|1VULN|1MLV|1ASPD|1RPLT	1DUST|2BASHEA|3ASPD|4AAC|5VULN|6MLV|78RCR|9RPLT|aAELOIC
14	35512 34233	 * 	254.58	DCR|3VULN|2DMG|1MLV|1CDMG|1SELL	135VULN|2DUR|4MLV|6CDMG|78DMG|9SELL|aRCR
15	33637 23342	   	253.11	DCR|DCR|2VULN|1AART|1SELL	1aVULN|2LHND|3MBVNT|4BASARM|5LIT|68RCR|7SELL|9AART
16	33633 12711	   	251.90	DCR|DCR|2VULN	18VULN|2LHND|3MBVNT|4BASARM|5TLV|6DUR|7aRCR|9SNITOX
17	33633 12751	   	251.90	DCR|DCR|2VULN	18VULN|2LHND|3MBVNT|4BASARM|5TLV|6DUR|7aRCR|9LSRREG
