0	Index      	 *	Score 	Summary	Detail	
1	13524 33253	 * 	289.32	DCR|DCR|3VULN|1MLV	14aVULN|2DUST|3ERES|5MLV|68RCR|7CGEN|9AME
2	13524 33235	   	289.27	DCR|DCR|2VULN|1MLV|1CDMG|1RPLT	14VULN|2DUST|3ERES|5MLV|68RCR|7CGEN|9RPLT|aCDMG
3	13524 33213	   	289.18	DCR|DCR|3VULN|1MLV|1ZMB	14aVULN|2DUST|3ERES|5MLV|68RCR|7CGEN|9ZMB
4	13524 33225	   	289.18	DCR|DCR|3VULN|1MLV|1SELL	14aVULN|2DUST|3ERES|5MLV|68RCR|7CGEN|9SELL
5	15623 36222	 * 	286.65	ACR|DCR|4VULN|1CDMG|1RPLT	137aVULN|28RCR|4TBNT|5RPLT|6LWND|9CDMG
6	15623 26223	   	286.55	ACR|DCR|4VULN|1CDMG|1RPLT	137aVULN|28RCR|4TBNT|5RPLT|6DUST|9CDMG
7	15623 26222	   	283.93	ACR|DCR|3VULN|1MLV|1CDMG|1RPLT	137VULN|28RCR|4TBNT|5RPLT|6DUST|9CDMG|aMLV
8	63461 51133	   	280.10	DCR|DCR|3VULN	1TLV|2MBVNT|3MDPS|4AIRHEA|589VULN|6DUR|7aRCR
9	63482 11133	   	280.10	DCR|DCR|3VULN	1TLV|2MBVNT|3MDPS|4DUR|5SPLARM|689VULN|7aRCR
10	63762 11133	   	280.10	DCR|DCR|3VULN	1TLV|2MBVNT|3DUR|4MDPS|5SPLARM|689VULN|7aRCR
11	13524 33262	   	279.61	DCR|DCR|2VULN|1MLV|1CDMG	14VULN|2DUST|3ERES|5MLV|68RCR|7CGEN|9FEWX|aCDMG
12	53345 38414	   	275.73	DCR|DCR|2VULN|1ASPD|1CDMG	1CGEN|2MBVNT|3TLV|49VULN|5ASPD|6aRCR|7MDPS|8CDMG
13	13524 33231	   	275.62	DCR|DCR|2VULN|1MLV|1RPLT	14VULN|2DUST|3ERES|5MLV|68RCR|7CGEN|9RPLT|aTLV
14	13524 33232	   	275.62	DCR|DCR|2VULN|1MLV|1RPLT	14VULN|2DUST|3ERES|5MLV|68RCR|7CGEN|9RPLT|aFEWX
15	13524 33233	   	275.62	DCR|DCR|2VULN|1MLV|1RPLT	14VULN|2DUST|3ERES|5MLV|68RCR|7CGEN|9RPLT|aBEXP
16	13524 33234	   	275.62	DCR|DCR|2VULN|1MLV|1RPLT	14VULN|2DUST|3ERES|5MLV|68RCR|7CGEN|9RPLT|aAAC
