0	Index      	 *	Score 	Summary	Detail	
1	22323 63553	 * 	268.89	DCR|DCR|2DMG|1VULN|1ASPD	14CGEN|2ASPD|3DUST|5LWND|6aRCR|78DMG|9VULN
2	13222 33346	   	264.95	DCR|DCR|1VULN|1DMG|1MLV|1AART	1BBNT|2AART|3BEXP|4TLV|5MLV|6DMG|7CGEN|8aRCR|9VULN
3	22314 63353	 * 	263.76	DCR|DCR|1VULN|2ASPD|1DMG	1CGEN|28ASPD|3DUST|4LWND|5RCVC|6aRCR|7DMG|9VULN
4	22323 63353	   	263.76	DCR|DCR|1VULN|2ASPD|1DMG	14CGEN|28ASPD|3DUST|5LWND|6aRCR|7DMG|9VULN
5	23242 57462	   	260.97	DCR|DCR|1VULN|1DMG|1ASPD|1AART	1CGEN|2LHND|3MBVNT|4AART|5DMG|6ASPD|7VULN|8aRCR|9AAC
6	22613 65331	   	258.44	DCR|DCR|1VULN|1MLV|1ASPD|1RPLT	17CGEN|2ASPD|3AELOIC|4VULN|5LWND|6aRCR|8RPLT|9MLV
7	26411 21363	   	251.41	DCR|DCR|1VULN|1DMG|1ASPD	1CGEN|24LWND|37BEXP|5VULN|6aRCR|8ASPD|9DMG
8	22314 63253	   	251.31	DCR|DCR|1VULN|1DMG|1ASPD	1CGEN|2ASPD|3DUST|4LWND|58RCVC|6aRCR|7DMG|9VULN
9	22323 63253	   	251.31	DCR|DCR|1VULN|1DMG|1ASPD	14CGEN|2ASPD|3DUST|5LWND|6aRCR|7DMG|8RCVC|9VULN
10	22323 63653	   	251.31	DCR|DCR|1VULN|1DMG|1ASPD	14CGEN|2ASPD|3DUST|58LWND|6aRCR|7DMG|9VULN
11	22631 21653	   	251.31	DCR|DCR|1VULN|1DMG|1ASPD	14CGEN|2ASPD|3AELOIC|5DMG|6BEXP|7aRCR|8LHND|9VULN
12	22323 62663	   	251.21	DCR|DCR|1VULN|1DMG|1ASPD	14CGEN|2ASPD|37DUST|5LWND|6aRCR|8VULN|9DMG
13	22161 21346	   	249.21	DCR|DCR|1VULN|1ASPD|1AART	16CGEN|2ASPD|3DUR|4AART|5DUST|7BBNT|8aRCR|9VULN
14	13641 24223	 * 	248.24	DCR|2VULN|2MLV|1DMG|2CDMG|1AART|1RPLT	1BBNT|2AART|3RPLT|49CDMG|59VULN|69MLV|7BELT|8RCR|9BPWR|aDMG
15	13131 11356	   	247.42	DCR|DCR|1VULN|1DMG|1AART	1BBNT|2AART|37CGEN|4BEXP|5VULN|6DMG|8aRCR|9LHND
16	13131 15356	   	247.42	DCR|DCR|1VULN|1DMG|1AART	1BBNT|2AART|3CGEN|47BEXP|5VULN|6DMG|8aRCR|9LHND
17	13151 11356	   	247.42	DCR|DCR|1VULN|1DMG|1AART	1BBNT|2AART|37CGEN|4FEWX|5VULN|6DMG|8aRCR|9LHND
18	13236 11356	   	247.42	DCR|DCR|1VULN|1DMG|1AART	1BBNT|2AART|3BEXP|4VULN|57CGEN|6DMG|8aRCR|9LHND
19	13133 11346	   	247.32	DCR|DCR|1VULN|1DMG|1AART	1BBNT|2AART|37CGEN|4BEXP|5LEGI|6DMG|8aRCR|9VULN
