0	Index      	 *	Score 	Summary	Detail	
1	44432 43283	 * 	292.47	DCR|DCR|2VULN|2CDMG|2DUR|1ASPD	1MBVNT|25RMIN|39DUR|4ASPD|6aRCR|79CDMG|89VULN|9BPWR
2	43531 34712	 * 	290.95	DCR|DCR|2VULN|1DMG|1MLV|1AART	1MBVNT|24DUST|34VULN|4BPWR|5DMG|6AART|7aRCR|8MLV|9FEWX
3	43531 34722	   	290.95	DCR|DCR|2VULN|1DMG|1MLV|1AART	1MBVNT|24DUST|34VULN|4BPWR|5DMG|6AART|7aRCR|8MLV|9LHND
4	42531 34442	   	273.62	DCR|DCR|2VULN|1DMG|1AART	1MBVNT|24BEXP|34VULN|4BPWR|5DMG|6AART|7aRCR|8LHND|9TLV
5	47531 34212	   	273.62	DCR|DCR|2VULN|1DMG|1AART	1MBVNT|24LHND|34VULN|4BPWR|5DMG|6AART|7aRCR|8RMIN|9FEWX
6	42531 34112	   	273.52	DCR|DCR|2VULN|1DMG|1AART	1MBVNT|24BEXP|34VULN|4BPWR|5DMG|6AART|7aRCR|8ERES|9FEWX
7	42531 34122	   	273.52	DCR|DCR|2VULN|1DMG|1AART	1MBVNT|24BEXP|34VULN|4BPWR|5DMG|6AART|7aRCR|8ERES|9LHND
8	42581 34442	   	273.52	DCR|DCR|2VULN|1DMG|1AART	1MBVNT|2BEXP|34VULN|5DMG|6AART|7aRCR|8LHND|9TLV
9	47531 34112	   	273.52	DCR|DCR|2VULN|1DMG|1AART	1MBVNT|24LHND|34VULN|4BPWR|5DMG|6AART|7aRCR|8ERES|9BEXP
10	42581 34112	   	273.42	DCR|DCR|2VULN|1DMG|1AART	1MBVNT|2BEXP|34VULN|5DMG|6AART|7aRCR|8ERES|9FEWX
11	42581 34122	   	273.42	DCR|DCR|2VULN|1DMG|1AART	1MBVNT|2BEXP|34VULN|5DMG|6AART|7aRCR|8ERES|9LHND
12	43531 34212	   	273.42	DCR|DCR|2VULN|1DMG|1AART	1MBVNT|24DUST|34VULN|4BPWR|5DMG|6AART|7aRCR|8RMIN|9FEWX
13	43531 34222	   	273.42	DCR|DCR|2VULN|1DMG|1AART	1MBVNT|24DUST|34VULN|4BPWR|5DMG|6AART|7aRCR|8RMIN|9LHND
14	43531 34442	   	273.42	DCR|DCR|2VULN|1DMG|1AART	1MBVNT|24DUST|34VULN|4BPWR|5DMG|6AART|7aRCR|8LHND|9TLV
15	43531 34112	   	273.32	DCR|DCR|2VULN|1DMG|1AART	1MBVNT|24DUST|34VULN|4BPWR|5DMG|6AART|7aRCR|8ERES|9FEWX
16	43531 34122	   	273.32	DCR|DCR|2VULN|1DMG|1AART	1MBVNT|24DUST|34VULN|4BPWR|5DMG|6AART|7aRCR|8ERES|9LHND
17	13226 51224	   	267.01	DCR|DCR|2VULN|1CDMG|1RPLT	1SNIFST|2AAC|35VULN|4RPLT|6SNITOX|7aRCR|8CDMG|9BBNT
18	23226 51224	   	267.01	DCR|DCR|2VULN|1CDMG|1RPLT	1SPLARM|2AAC|35VULN|4RPLT|6SNITOX|7aRCR|8CDMG|9BBNT
19	43441 34742	   	264.65	DCR|DCR|1VULN|1DMG|1MLV|1AART	1MBVNT|2DUST|3ERES|4TLV|5DMG|6AART|7aRCR|8MLV|9VULN
20	14122 32225	 * 	264.29	DCR|DCR|2MLV|1VULN|1CDMG	1SNIFST|2FEWX|3BEXP|46MLV|5VULN|7CDMG|8aRCR|9ERES
21	24122 32225	   	264.29	DCR|DCR|2MLV|1VULN|1CDMG	1SPLARM|2FEWX|3BEXP|46MLV|5VULN|7CDMG|8aRCR|9ERES
22	44358 41123	   	263.62	DCR|DCR|2VULN|1DMG|1SELL	1MBVNT|2RMIN|3TBNT|45VULN|5BPWR|6aRCR|7DMG|8SELL|9LHND
23	44358 41143	   	263.52	DCR|DCR|2VULN|1DMG|1SELL	1MBVNT|2RMIN|3TBNT|45VULN|5BPWR|6aRCR|7DMG|8SELL|9LEGI
