0	Index      	 *	Score 	Summary	Detail	
1	13261 22313	 * 	278.65	ACR|DCR|2VULN|2DMG|2ASPD	1AAC|29ASPD|3aRCR|4LEGI|56AME|79VULN|89DMG|9BPWR
2	33251 13611	 * 	264.60	DCR|3VULN|2MLV|1DMG|2CDMG|1ASPD	16aVULN|2BEXP|3aCDMG|4ASPD|5DMG|7aMLV|8RCR|9MDPS|aBPWR
3	32164 32223	 * 	261.76	DCR|DCR|2VULN|1RPLT	19VULN|28CGEN|3RCVC|4DUR|5VENICY|6RPLT|7aRCR
4	32164 32323	   	261.76	DCR|DCR|2VULN|1RPLT	19VULN|2CGEN|38RCVC|4DUR|5VENICY|6RPLT|7aRCR
5	32165 32223	   	261.76	DCR|DCR|2VULN|1RPLT	19VULN|28CGEN|3RCVC|4DUR|5FRZFST|6RPLT|7aRCR
6	32165 32323	   	261.76	DCR|DCR|2VULN|1RPLT	19VULN|2CGEN|38RCVC|4DUR|5FRZFST|6RPLT|7aRCR
7	31244 33523	   	257.25	DCR|DCR|2VULN|1CDMG	16VULN|2LHND|3CDMG|4MDPS|5MSLREG|7aRCR|8FEWX|9MBVNT
8	35321 26421	 * 	254.99	DCR|DCR|1VULN|2CDMG|2AART	1VULN|25CDMG|36AART|4DMSP|7FLTHEA|8aRCR|9BLASTR
9	33251 33611	 * 	254.92	DCR|2VULN|2MLV|2ASPD|1DMG|2CDMG	1aVULN|2BEXP|3aCDMG|46ASPD|5DMG|7aMLV|8RCR|9MDPS|aBPWR
10	32654 32223	   	253.46	DCR|DCR|2VULN|1RPLT	19VULN|28CGEN|3FEWX|4DMSP|5VENICY|6RPLT|7aRCR
11	32654 32323	   	253.46	DCR|DCR|2VULN|1RPLT	19VULN|2CGEN|3FEWX|4DMSP|5VENICY|6RPLT|7aRCR|8RCVC
12	32655 32223	   	253.46	DCR|DCR|2VULN|1RPLT	19VULN|28CGEN|3FEWX|4DMSP|5FRZFST|6RPLT|7aRCR
13	32655 32323	   	253.46	DCR|DCR|2VULN|1RPLT	19VULN|2CGEN|3FEWX|4DMSP|5FRZFST|6RPLT|7aRCR|8RCVC
14	36124 32223	   	253.46	DCR|DCR|2VULN|1RPLT	19VULN|2FEWX|3RCVC|48CGEN|5VENICY|6RPLT|7aRCR
15	36124 32323	   	253.46	DCR|DCR|2VULN|1RPLT	19VULN|2FEWX|38RCVC|4CGEN|5VENICY|6RPLT|7aRCR
16	36125 32223	   	253.46	DCR|DCR|2VULN|1RPLT	19VULN|2FEWX|3RCVC|48CGEN|5FRZFST|6RPLT|7aRCR
17	36125 32323	   	253.46	DCR|DCR|2VULN|1RPLT	19VULN|2FEWX|38RCVC|4CGEN|5FRZFST|6RPLT|7aRCR
18	33251 13631	   	250.89	DCR|3VULN|1DMG|1MLV|1ASPD|1CDMG	16aVULN|2BEXP|3CDMG|4ASPD|5DMG|7MLV|8RCR|9DUR
19	52431 33521	   	248.88	DCR|DCR|1VULN|1MLV|1ASPD	17RCVC|2AAC|3BBNT|4ASPD|5TBNT|6VULN|89RCR|aMLV
20	13312 42526	   	248.78	DCR|DCR|1VULN|1MLV|1ASPD	1AAC|2ASPD|3LHND|4MDPS|5CGEN|6MLV|7TBNT|89RCR|aVULN
21	13312 43526	   	248.78	DCR|DCR|1VULN|1MLV|1ASPD	1AAC|2ASPD|3LHND|4MDPS|5CGEN|6MLV|7BBNT|89RCR|aVULN
22	11624 23531	   	248.68	DCR|DCR|1VULN|1MLV|1ASPD	1AAC|2BBNT|3CGEN|4VENFST|5VULN|6MLV|7aRCR|8CANSTR|9ASPD
23	35323 36421	   	248.68	DCR|DCR|1VULN|2AART|1CDMG	1VULN|2CDMG|35AART|46DMSP|7FLTHEA|8aRCR|9BLASTR
