0	Index      	 *	Score 	Summary	Detail	
1	14226 33423	 * 	279.39	DCR|DCR|3VULN|1CDMG	1FEWX|2ERES|369VULN|4BLAICY|5CDMG|7AIRHEA|8aRCR
2	46213 33221	 * 	273.52	DCR|DCR|2VULN|1DMG|1AART	1DMG|2MDPS|35VULN|4LWND|6BBNT|79RCR|8TBNT|aAART
3	21222 53365	   	265.94	DCR|DCR|3VULN	1MDPS|23aVULN|4BBNT|5LSRICY|6TBNT|79RCR|8LHND
4	45223 33222	   	263.86	DCR|DCR|2VULN|1DMG	1DMG|2TBNT|3LHND|4LEGI|5LWND|6aVULN|79RCR|8BBNT
5	45243 33222	   	263.86	DCR|DCR|2VULN|1DMG	1DMG|2TBNT|3LHND|4DUST|5LWND|6aVULN|79RCR|8BBNT
6	46213 33224	   	263.86	DCR|DCR|2VULN|1DMG	1DMG|2MDPS|35VULN|4LWND|6BBNT|79RCR|8TBNT|aLHND
7	46213 33222	   	263.76	DCR|DCR|2VULN|1DMG	1DMG|2MDPS|35VULN|4LWND|6BBNT|79RCR|8TBNT|aLEGI
8	46213 33223	   	263.76	DCR|DCR|2VULN|1DMG	1DMG|2MDPS|35VULN|4LWND|6BBNT|79RCR|8TBNT|aERES
9	46213 33225	   	263.76	DCR|DCR|2VULN|1DMG|1SELL	1DMG|2MDPS|35VULN|4LWND|6BBNT|79RCR|8TBNT|aSELL
10	15216 12132	   	261.08	DCR|DCR|2VULN|1MLV|1SELL	1FEWX|23VULN|4MLV|5TLV|6aRCR|7MDPS|8SELL|9BELT
11	45632 32312	 * 	258.37	ACR|DCR|2VULN|1DMG|1ASPD|1RPLT	1DMG|2TBNT|37RCR|4LSRICY|5RPLT|6BEXP|89VULN|aASPD
12	15221 14134	   	257.45	DCR|DCR|2VULN|1CDMG	14FEWX|23VULN|57LWND|6aRCR|8AME|9CDMG
13	15222 16134	   	257.25	DCR|DCR|2VULN|1CDMG	14FEWX|23VULN|5DUST|6aRCR|7ERES|8AELOIC|9CDMG
14	14213 33132	   	257.08	DCR|DCR|1VULN|1MLV|1CDMG	1FEWX|2ERES|3VULN|4BELT|5CDMG|6MLV|7aRCR|8DUR|9LWND
15	14213 33222	   	257.08	DCR|DCR|1VULN|1MLV|1CDMG	1FEWX|2ERES|3VULN|4BELT|5CDMG|6MLV|7aRCR|8LHND|9DUR
16	14213 33322	   	257.08	DCR|DCR|1VULN|1MLV|1CDMG	1FEWX|2ERES|3VULN|4BELT|5CDMG|6MLV|7aRCR|8BEXP|9DUR
17	14623 33142	   	257.08	DCR|DCR|1VULN|1MLV|1CDMG	1FEWX|2ERES|3BELT|4LHND|5CDMG|6MLV|7aRCR|8DUR|9VULN
18	34313 33142	   	256.98	DCR|DCR|1VULN|1MLV|1CDMG	1DUST|2ERES|3LHND|4BELT|5CDMG|6MLV|7aRCR|8DUR|9VULN
19	34623 33142	   	256.98	DCR|DCR|1VULN|1MLV|1CDMG	1DUST|2ERES|3BELT|4LHND|5CDMG|6MLV|7aRCR|8DUR|9VULN
20	42412 11413	 * 	256.87	DCR|DCR|3DMG|1AART	145DMG|2DUR|3AART|6LHND|7AAC|8aRCR|9BEXP
21	45112 53221	   	255.62	DCR|DCR|1VULN|1DMG|1AART	1DMG|2TBNT|3VULN|4LWND|5DUST|6DUR|79RCR|8BBNT|aAART
22	23342 42422	   	252.10	DCR|DCR|2VULN	1MDPS|2TBNT|3DUR|4BEXP|56VULN|7aRCR|8BELT|9LWND
23	21222 53462	   	252.10	DCR|DCR|2VULN	1MDPS|23VULN|4BBNT|5LSRICY|6TBNT|79RCR|8DUR|aFEWX
24	23332 42422	   	252.00	DCR|DCR|2VULN	1MDPS|2TBNT|3DUR|4DUST|56VULN|7aRCR|8BELT|9LWND
25	21222 53461	   	252.00	DCR|DCR|2VULN	1MDPS|23VULN|4BBNT|5LSRICY|6TBNT|79RCR|8DUR|aMSLFST
26	21222 53463	   	252.00	DCR|DCR|2VULN	1MDPS|23VULN|4BBNT|5LSRICY|6TBNT|79RCR|8DUR|aERES
