0	Index      	 *	Score 	Summary	Detail	
1	14336 15312	 * 	358.05	DCR|DCR|2VULN|1TLV|1DMG|1DUR	1DMG|2TSLFST|3aVULN|4LWND|5TLV|6MBVNT|78RCR|9DUR
2	15323 32111	 * 	351.21	DCR|2VULN|1MDPS|1DMG|1DUR	1DMG|2AAC|3DUR|4RAT|59VULN|6TBNT|7RMIN|8RCR|aMDPS
3	15323 36111	   	351.21	DCR|2VULN|1MDPS|1DMG|1DUR	1DMG|2AAC|3DUR|4RAT|59VULN|6TBNT|7MLV|8RCR|aMDPS
4	14331 13316	   	351.11	DCR|2VULN|1MDPS|1DMG|1DUR	1DMG|2TSLFST|35VULN|4LWND|6BEXP|7DUR|8BBNT|9RCR|aMDPS
5	15323 31111	   	351.11	DCR|2VULN|1MDPS|1DMG|1DUR	1DMG|2AAC|3DUR|4RAT|59VULN|6TBNT|7ERES|8RCR|aMDPS
6	14351 13316	   	351.01	DCR|2VULN|1MDPS|1DMG|1DUR	1DMG|2TSLFST|35VULN|4DUST|6BEXP|7DUR|8BBNT|9RCR|aMDPS
7	53322 43315	 * 	344.73	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR|1AART	1MLV|2LWND|3AART|4VULN|5CDMG|6DLOT|7DUR|8RCR|9TLV|aMDPS
8	22312 35233	   	344.73	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR|1AART	1AETHUN|2MLV|3AART|4TLV|5BELT|6RCR|7DUR|8CDMG|9VULN|aMDPS
9	25312 35233	   	344.63	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR|1AART	1AETHUN|2AME|3AART|4TLV|5BELT|6RCR|7DUR|8CDMG|9VULN|aMDPS
10	43322 43315	   	344.63	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR|1AART	1AME|2LWND|3AART|4VULN|5CDMG|6DLOT|7DUR|8RCR|9TLV|aMDPS
11	13216 24342	 * 	341.21	ACR|2MDPS|2CDMG|1TLV|1DMG|1DUR	1DMG|2LWND|3RCR|45CDMG|6MSLTOX|7TLV|8DUR|9aMDPS
12	12214 16341	 * 	338.71	ACR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1DMG|2BEXP|3RCR|4CDMG|59VULN|6FEWX|7DUR|8DMSP|aMDPS
13	13214 16341	   	338.71	ACR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1DMG|2LWND|3RCR|4CDMG|59VULN|6FEWX|7DUR|8DMSP|aMDPS
14	12214 25152	   	338.51	ACR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1DMG|2BEXP|3RCR|4CDMG|58VULN|6BBNT|7ASPD|9DUR|aMDPS
15	13214 25152	   	338.51	ACR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1DMG|2LWND|3RCR|4CDMG|58VULN|6BBNT|7ASPD|9DUR|aMDPS
16	13231 25552	 * 	338.08	ACR|DCR|1MDPS|1VULN|1DMG|1DUR	1DMG|2LWND|38RCR|4DUR|5RMIN|6AEWIND|7MBVNT|9VULN|aMDPS
17	13233 25552	   	338.08	ACR|DCR|1MDPS|1VULN|1DMG|1DUR	1DMG|2LWND|38RCR|4DUR|5MLV|6AEWIND|7MBVNT|9VULN|aMDPS
18	13232 25552	   	337.98	ACR|DCR|1MDPS|1VULN|1DMG|1DUR	1DMG|2LWND|38RCR|4DUR|5ERES|6AEWIND|7MBVNT|9VULN|aMDPS
19	36443 32416	   	331.04	DCR|2VULN|1MDPS|1DUR	1BEXP|24VULN|3MBVNT|5FEWX|6DUR|7CGEN|8RCR|9BBNT|aMDPS
20	24121 24263	   	330.94	DCR|2VULN|1MDPS|1DUR	1AETHUN|2AIRBOS|3LHND|4DUR|57VULN|6LWND|8RCR|9ERES|aMDPS
21	64331 13316	   	330.94	DCR|2VULN|1MDPS|1DUR	1ASPD|2TSLFST|35VULN|4LWND|6BEXP|7DUR|8BBNT|9RCR|aMDPS
22	24121 41216	   	330.84	DCR|2VULN|1MDPS|1DUR	1AETHUN|2AIRBOS|3LHND|4DUR|56VULN|7ASPD|8BBNT|9RCR|aMDPS
