0	Index      	 *	Score 	Summary	Detail	
1	43443 23313	 * 	386.50	ACR|4VULN|1MDPS|2DUR	1RCVC|29DUR|3RCR|4569VULN|79AEWIND|8RPLT|9BPWR|aMDPS
2	52242 31322	 * 	367.65	DCR|4VULN|1CDMG|1TLV|1DUR	1BASICY|2TLV|3CDMG|4689VULN|5DUR|7BEXP|aRCR
3	52242 31323	 * 	367.65	4VULN|1MDPS|1CDMG|1TLV|1DUR	1BASICY|2TLV|3CDMG|4689VULN|5DUR|7BEXP|aMDPS
4	52242 33322	   	367.65	DCR|4VULN|1CDMG|1TLV|1DUR	1BASICY|2TLV|3CDMG|4689VULN|5DUR|7LWND|aRCR
5	52242 33323	   	367.65	4VULN|1MDPS|1CDMG|1TLV|1DUR	1BASICY|2TLV|3CDMG|4689VULN|5DUR|7LWND|aMDPS
6	52242 35322	   	367.55	DCR|4VULN|1CDMG|1TLV|1DUR	1BASICY|2TLV|3CDMG|4689VULN|5DUR|7LEGI|aRCR
7	52242 35323	   	367.55	4VULN|1MDPS|1CDMG|1TLV|1DUR	1BASICY|2TLV|3CDMG|4689VULN|5DUR|7LEGI|aMDPS
8	25212 23234	 * 	360.43	DCR|1MDPS|1VULN|2TLV|2CDMG|1DUR	1AEBURN|26CDMG|3SNIFST|4RAT|56TLV|6BPWR|7RCR|8DUR|9VULN|aMDPS
9	25312 23234	   	360.43	DCR|1MDPS|1VULN|2TLV|2CDMG|1DUR	1AEBURN|26CDMG|3FRZFST|4RAT|56TLV|6BPWR|7RCR|8DUR|9VULN|aMDPS
10	35212 23234	   	360.43	DCR|1MDPS|1VULN|2TLV|2CDMG|1DUR	1AEPOI|26CDMG|3SNIFST|4RAT|56TLV|6BPWR|7RCR|8DUR|9VULN|aMDPS
11	35312 23234	   	360.43	DCR|1MDPS|1VULN|2TLV|2CDMG|1DUR	1AEPOI|26CDMG|3FRZFST|4RAT|56TLV|6BPWR|7RCR|8DUR|9VULN|aMDPS
12	53622 23234	   	360.43	DCR|1MDPS|1VULN|2TLV|2CDMG|1DUR	16BASICY|2RAT|34CDMG|56TLV|6BPWR|7RCR|8DUR|9VULN|aMDPS
13	12613 42262	 * 	358.64	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2BEXP|3CGEN|4FEWX|5CDMG|68VULN|7RCR|9LWND|aMDPS
14	12413 42262	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2BEXP|3DUST|4MLV|5CDMG|68VULN|7RCR|9LWND|aMDPS
15	12613 42211	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2BEXP|3CGEN|4FEWX|5CDMG|68VULN|7RCR|9MDPS|aAEWIND
16	12613 42212	 * 	358.54	DCR|2VULN|1MDPS|2CDMG|1DUR	1DUR|2BEXP|3CGEN|4FEWX|5aCDMG|68VULN|7RCR|9MDPS
17	12613 42213	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2BEXP|3CGEN|4FEWX|5CDMG|68VULN|7RCR|9MDPS|aMLV
18	12613 42214	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2BEXP|3CGEN|4FEWX|5CDMG|68VULN|7RCR|9MDPS|aRPLT
19	12613 42215	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2BEXP|3CGEN|4FEWX|5CDMG|68VULN|7RCR|9MDPS|aTBNT
20	12613 42216	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2aBEXP|3CGEN|4FEWX|5CDMG|68VULN|7RCR|9MDPS
21	12613 42232	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR|1MSE	1DUR|2BEXP|3CGEN|4FEWX|5CDMG|68VULN|7RCR|9MSE|aMDPS
22	12663 42211	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2BEXP|3CGEN|4LHND|5CDMG|68VULN|7RCR|9MDPS|aAEWIND
23	12663 42212	   	358.54	DCR|2VULN|1MDPS|2CDMG|1DUR	1DUR|2BEXP|3CGEN|4LHND|5aCDMG|68VULN|7RCR|9MDPS
24	12663 42213	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2BEXP|3CGEN|4LHND|5CDMG|68VULN|7RCR|9MDPS|aMLV
25	12663 42232	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR|1MSE	1DUR|2BEXP|3CGEN|4LHND|5CDMG|68VULN|7RCR|9MSE|aMDPS
26	14213 42232	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2MLV|3DUST|4FEWX|5CDMG|68VULN|7RCR|9BEXP|aMDPS
27	14213 42262	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2MLV|3DUST|4FEWX|5CDMG|68VULN|7RCR|9LWND|aMDPS
28	61322 22262	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	1ASPD|2CDMG|38VULN|4DUR|5LWND|6LHND|7RCR|9BEXP|aMDPS
29	61322 32262	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	1ASPD|2CDMG|38VULN|4DUR|5LWND|6BEXP|7RCR|9FEWX|aMDPS
30	12413 42211	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2BEXP|3DUST|4MLV|5CDMG|68VULN|7RCR|9MDPS|aAEWIND
31	12413 42212	   	358.44	DCR|2VULN|1MDPS|2CDMG|1DUR	1DUR|2BEXP|3DUST|4MLV|5aCDMG|68VULN|7RCR|9MDPS
32	12413 42213	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2BEXP|3DUST|4aMLV|5CDMG|68VULN|7RCR|9MDPS
33	12413 42214	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2BEXP|3DUST|4MLV|5CDMG|68VULN|7RCR|9MDPS|aRPLT
34	12413 42215	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2BEXP|3DUST|4MLV|5CDMG|68VULN|7RCR|9MDPS|aTBNT
35	12413 42216	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2aBEXP|3DUST|4MLV|5CDMG|68VULN|7RCR|9MDPS
36	12453 42211	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2BEXP|3DUST|4CGEN|5CDMG|68VULN|7RCR|9MDPS|aAEWIND
37	12453 42212	   	358.44	DCR|2VULN|1MDPS|2CDMG|1DUR	1DUR|2BEXP|3DUST|4CGEN|5aCDMG|68VULN|7RCR|9MDPS
38	12453 42213	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2BEXP|3DUST|4CGEN|5CDMG|68VULN|7RCR|9MDPS|aMLV
39	14213 42211	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2MLV|3DUST|4FEWX|5CDMG|68VULN|7RCR|9MDPS|aAEWIND
40	14213 42212	   	358.44	DCR|2VULN|1MDPS|2CDMG|1DUR	1DUR|2MLV|3DUST|4FEWX|5aCDMG|68VULN|7RCR|9MDPS
41	14213 42213	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2aMLV|3DUST|4FEWX|5CDMG|68VULN|7RCR|9MDPS
