0	Index      	 *	Score 	Summary	Detail	
1	25222 25161	 * 	407.07	DCR|DCR|3VULN|3DUR|1CDMG	137DUR|234VULN|3BPWR|5RAT|6TBNT|8aRCR|9CDMG
2	25421 14132	 * 	402.13	DCR|3VULN|1MDPS|1CDMG|1DUR	1DUR|268VULN|3MSLREG|4TBNT|5AEWIND|7RCR|9CDMG|aMDPS
3	25222 25135	 * 	398.93	DCR|3VULN|1MDPS|3DUR	137DUR|234VULN|3BPWR|5RAT|6TBNT|8RCR|9AAC|aMDPS
4	33121 11255	 * 	390.63	DCR|2MDPS|1VULN|2DUR|1DMG	1DMG|2AAC|36DUR|4VULN|5LHND|7RCR|8aMDPS|9AIRARM
5	33114 11255	   	390.53	DCR|2MDPS|1VULN|2DUR|1DMG	1DMG|2AAC|36DUR|4AETHUN|5VULN|7RCR|8aMDPS|9MSLTOX
6	25223 11221	 * 	380.30	DCR|5VULN|2DUR|1DMG	13DUR|23468VULN|3BPWR|5LWND|7DMG|9LHND|aRCR
7	25223 11251	   	380.30	DCR|5VULN|2DUR|1DMG	13DUR|23468VULN|3BPWR|5LWND|7DMG|9BEXP|aRCR
8	25244 11221	   	380.30	DCR|5VULN|2DUR|1DMG	13DUR|23568VULN|3BPWR|4BEXP|7DMG|9LWND|aRCR
9	25222 25111	   	379.42	DCR|DCR|3VULN|3DUR|1SELL	137DUR|234VULN|3BPWR|5RAT|6TBNT|8aRCR|9SELL
10	22411 11255	   	378.18	DCR|2MDPS|1VULN|1DMG|1DUR	1DUR|2DMG|35LHND|4ZMB|6VULN|7RCR|8aMDPS|9AIRARM
11	22412 11255	   	378.18	DCR|2MDPS|1VULN|1DMG|1DUR	1DUR|2DMG|3LHND|45ZMB|6VULN|7RCR|8aMDPS|9AIRARM
12	33153 11255	   	378.18	DCR|2MDPS|1VULN|1DMG|1DUR	1DMG|2AAC|3DUR|4RMIN|5MLV|6VULN|7RCR|8aMDPS|9TSLFST
13	34141 22348	   	378.18	DCR|2MDPS|1VULN|1DMG|1DUR	1DMG|2CGEN|3DUR|4BEXP|5LHND|6MBVNT|7VULN|8RCR|9aMDPS
14	22641 22348	   	378.08	DCR|2MDPS|1VULN|1DMG|1DUR	1DUR|2DMG|3AME|4BEXP|5LHND|6MBVNT|7VULN|8RCR|9aMDPS
15	33122 61255	   	378.08	DCR|2MDPS|1VULN|1DMG|1DUR	1DMG|2AAC|3DUR|4VULN|5ERES|6CGEN|7RCR|8aMDPS|9MSLTOX
16	33124 13611	 * 	378.01	4VULN|1MDPS|2DMG|2DUR|1AART	18DMG|2AAC|38DUR|4568VULN|7AART|8BPWR|9DLOT|aMDPS
17	33124 13631	 * 	378.01	4VULN|1MDPS|3DUR|2DMG|1AART	18DMG|2AAC|38aDUR|4568VULN|7AART|8BPWR|9MDPS
18	33124 13632	 * 	378.01	5VULN|1MDPS|2DMG|2DUR|1AART	18DMG|2AAC|38DUR|4568aVULN|7AART|8BPWR|9MDPS
19	33124 13633	   	378.01	4VULN|1MDPS|2DMG|2DUR|1AART	18DMG|2AAC|38DUR|4568VULN|7AART|8BPWR|9MDPS|aBEXP
20	33124 13634	   	378.01	4VULN|1MDPS|2DMG|2DUR|1AART|1SELL	18DMG|2AAC|38DUR|4568VULN|7AART|8BPWR|9MDPS|aSELL
21	33124 13635	   	378.01	4VULN|1MDPS|2DMG|2DUR|1AART	18DMG|2AAC|38DUR|4568VULN|7AART|8BPWR|9MDPS|aAME
22	33124 13636	   	378.01	4VULN|1MDPS|2DMG|2DUR|1AART	18DMG|2AAC|38DUR|4568VULN|7AART|8BPWR|9MDPS|aRPLT
