0	Index      	 *	Score 	Summary	Detail	
1	12364 36311	 * 	374.83	DCR|3VULN|1MDPS|1DUR	1DUR|2CGEN|3LSRHEA|457VULN|6RCR|8AME|9RCVC|aMDPS
2	35643 36443	 * 	369.12	2MDPS|3VULN|1DUR|1AART	1AART|2MBVNT|356VULN|45ERES|5BPWR|7DUR|8aMDPS|9AME
3	31332 54132	 * 	368.73	DCR|1MDPS|1VULN|3AART|1CDMG|1TLV|1DUR	167AART|2BOSS|3CDMG|4TLV|5VULN|8RCR|9DUR|aMDPS
4	21343 41586	 * 	368.55	DCR|2MDPS|1CDMG|1TLV|1DMG|1DUR	1DMG|2MBVNT|3FLTHEA|4CDMG|5TLV|6DUR|7RCR|8RCVC|9aMDPS
5	21343 41186	   	368.45	DCR|2MDPS|1CDMG|1TLV|1DMG|1DUR	1DMG|2MBVNT|3FLTHEA|4CDMG|5TLV|6DUR|7RCR|8AEWIND|9aMDPS
6	21343 41686	   	368.45	DCR|2MDPS|1CDMG|1TLV|1DMG|1DUR	1DMG|2MBVNT|3FLTHEA|4CDMG|5TLV|6DUR|7RCR|8AEFRZ|9aMDPS
7	34342 33336	 * 	357.25	DCR|2VULN|1MDPS|2DUR|1AART	1AART|25DUR|3BASARM|46VULN|7LWND|8BEXP|9RCR|aMDPS
8	35614 51112	 * 	357.15	DCR|2VULN|1MDPS|2AART|1DUR	14AART|2MBVNT|39VULN|5DUR|6RAT|7RCR|8FLTFST|aMDPS
9	11136 43351	 * 	355.04	DCR|2VULN|1MDPS|3DUR|1DMG	146DUR|2AEPOI|3CGEN|56VULN|6BPWR|7FLTARM|8RCR|9MDPS|aDMG
10	11136 43352	   	355.04	DCR|2VULN|1MDPS|3DUR	146DUR|2AEPOI|3aCGEN|56VULN|6BPWR|7FLTARM|8RCR|9MDPS
11	11136 43353	   	355.04	DCR|2VULN|1MDPS|3DUR	146DUR|2AEPOI|3CGEN|56VULN|6BPWR|7FLTARM|8RCR|9MDPS|aBEXP
12	34342 31316	 * 	351.70	4VULN|1MDPS|3DUR|1AART	1AART|257DUR|37BASARM|4679VULN|7BPWR|8RPLT|aMDPS
13	25111 31351	   	351.31	DCR|2VULN|1MDPS|1DMG|1DUR	1DMG|2LWND|3FEWX|4BEXP|5DUR|67VULN|8RAT|9RCR|aMDPS
14	25232 24132	   	351.31	DCR|2VULN|1MDPS|1DMG|1DUR	1DMG|2LWND|34LHND|5BOSS|67VULN|8RCR|9DUR|aMDPS
15	25253 24132	   	351.31	DCR|2VULN|1MDPS|1DMG|1DUR	1DMG|2LWND|35LHND|4BOSS|67VULN|8RCR|9DUR|aMDPS
16	25532 24112	   	351.21	DCR|2VULN|1MDPS|1DMG|1DUR	1DMG|2LWND|3DMSP|4DUR|5BOSS|67VULN|8RCR|9DUST|aMDPS
17	51232 24135	   	351.01	DCR|2VULN|1MDPS|1DMG|1DUR	1DUST|2AEPOI|3DMG|4DUR|5BOSS|67VULN|8RCR|9BBNT|aMDPS
18	21343 51146	   	350.94	DCR|1MDPS|1VULN|1CDMG|1TLV|1DMG|1DUR	1DMG|2MBVNT|3FLTHEA|4CDMG|5TLV|6VULN|7RCR|8AETHUN|9DUR|aMDPS
19	21343 51273	   	350.94	DCR|1MDPS|1VULN|1CDMG|1TLV|1DMG|1DUR	1DMG|2MBVNT|3FLTHEA|4CDMG|5TLV|6VULN|7RCR|8AME|9DUR|aMDPS
20	21343 51346	   	350.94	DCR|1MDPS|1VULN|1CDMG|1TLV|1DMG|1DUR	1DMG|2MBVNT|3FLTHEA|4CDMG|5TLV|6VULN|7RCR|8DUST|9DUR|aMDPS
21	21343 51426	   	350.94	DCR|1MDPS|1VULN|1CDMG|1TLV|1DMG|1DUR	1DMG|2MBVNT|3FLTHEA|4CDMG|5TLV|6VULN|7RCR|8TBNT|9DUR|aMDPS
22	21383 66423	   	350.94	DCR|1MDPS|1VULN|1CDMG|1TLV|1DMG|1DUR	1DMG|2MBVNT|3FLTHEA|4VULN|5ERES|6TLV|7DUR|8RCR|9CDMG|aMDPS
23	35842 61141	   	344.89	DCR|2VULN|1MDPS|1DUR|1AART	1AART|2MBVNT|38CGEN|4ERES|58RAT|68VULN|7RCR|8BPWR|9DUR|aMDPS
