0	Index      	 *	Score 	Summary	Detail	
1	45226 33133	 * 	374.49	DCR|3VULN|1MDPS|1DUR|1SELL	1SELL|258VULN|3DUR|4AME|6RCR|7DUST|9ERES|aMDPS
2	26123 53142	 * 	351.21	DCR|2VULN|1MDPS|1DMG|1DUR	1VENFST|2RPLT|3DMG|45VULN|6LHND|7RCR|8DUR|9RMIN|aMDPS
3	26123 53121	   	351.11	DCR|2VULN|1MDPS|1DMG|1DUR|1MSE	1VENFST|2RPLT|3DMG|45VULN|6LHND|7RCR|8DUR|9MDPS|aMSE
4	26123 53122	   	351.11	DCR|2VULN|1MDPS|1DMG|1DUR	1VENFST|2RPLT|3DMG|45VULN|6LHND|7RCR|8DUR|9MDPS|aBELT
5	26123 53123	 * 	351.11	DCR|2VULN|1MDPS|2DMG|1DUR	1VENFST|2RPLT|3aDMG|45VULN|6LHND|7RCR|8DUR|9MDPS
6	26123 53124	   	351.11	DCR|2VULN|1MDPS|1DMG|1DUR	1VENFST|2RPLT|3DMG|45VULN|6LHND|7RCR|8DUR|9MDPS|aLIT
7	26123 53125	   	351.11	DCR|2VULN|1MDPS|1DMG|1DUR|1AART	1VENFST|2RPLT|3DMG|45VULN|6LHND|7RCR|8DUR|9MDPS|aAART
8	26123 53126	   	351.11	DCR|2VULN|1MDPS|1DMG|1DUR	1VENFST|2RPLT|3DMG|45VULN|6LHND|7RCR|8DUR|9MDPS|aFRZFST
9	26123 53162	   	351.11	DCR|2VULN|1MDPS|1DMG|1DUR	1VENFST|2RPLT|3DMG|45VULN|6LHND|7RCR|8DUR|9AME|aMDPS
10	23523 33231	   	344.59	DCR|2VULN|1MDPS|1DUR|1AART	1VENFST|2ERES|3RPLT|45VULN|6AART|7RCR|8DUR|9BBNT|aMDPS
