0	Index      	 *	Score 	Summary	Detail	
1	12123 13132	 * 	348.80	3VULN|1MDPS|1CDMG|1TLV|1DMG|1DUR	1BEXP|2CDMG|3AAC|4DUR|5DMG|678VULN|9TLV|aMDPS
2	12125 21385	 * 	339.18	2MDPS|2VULN|1CDMG|1DUR	1BEXP|2CDMG|3AAC|4DUR|5BBNT|67VULN|8MBVNT|9aMDPS
3	12125 21535	   	339.18	2MDPS|2VULN|1CDMG|1DUR|1AART	1BEXP|2CDMG|3AAC|4DUR|5BBNT|67VULN|8aMDPS|9AART
4	12211 13132	   	328.74	3VULN|1MDPS|1CDMG|1TLV|1DUR	1BEXP|2CDMG|3DUR|45FEWX|678VULN|9TLV|aMDPS
5	12212 13132	   	328.64	3VULN|1MDPS|1CDMG|1TLV|1DUR	1BEXP|2CDMG|3DUR|4FEWX|5AEWIND|678VULN|9TLV|aMDPS
6	62123 23561	 * 	328.44	3VULN|1MDPS|3DMG|1DUR	1ERES|268DMG|3LHND|4LWND|567VULN|6BPWR|9DUR|aMDPS
7	12123 33384	 * 	324.94	DCR|1MDPS|1VULN|1CDMG|1DMG|1DUR	1BEXP|2CDMG|3AAC|4DUR|5DMG|6MBVNT|7VULN|8LWND|9RCR|aMDPS
8	33523 11362	   	324.94	DCR|1MDPS|1VULN|1CDMG|1DMG|1DUR	1AME|2BEXP|3FEWX|4CDMG|5DMG|6VULN|7DUR|8LWND|9RCR|aMDPS
9	33623 14362	   	324.94	DCR|1MDPS|1VULN|1CDMG|1DMG|1DUR	1AME|2BEXP|3DUR|4CDMG|5DMG|6VULN|7FEWX|8LWND|9RCR|aMDPS
10	53623 33384	   	324.94	DCR|1MDPS|1VULN|1CDMG|1DMG|1DUR	1CGEN|2BEXP|3DUR|4CDMG|5DMG|6MBVNT|7VULN|8LWND|9RCR|aMDPS
11	22232 22561	   	324.84	DCR|1MDPS|1VULN|1CDMG|1DMG|1DUR	1MLV|2DMG|3VENFST|4VULN|5LHND|6CDMG|7DUR|8RCR|9MDPS|aFLTFST
12	22232 22562	   	324.84	DCR|1MDPS|1VULN|1CDMG|1DMG|1DUR	1MLV|2DMG|3VENFST|4VULN|5LHND|6CDMG|7DUR|8RCR|9MDPS|aLWND
13	22232 22563	 * 	324.84	DCR|1MDPS|1VULN|1CDMG|2DUR|1DMG	1MLV|2DMG|3VENFST|4VULN|5LHND|6CDMG|7aDUR|8RCR|9MDPS
14	22232 22564	 * 	324.84	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1MLV|2DMG|3VENFST|4aVULN|5LHND|6CDMG|7DUR|8RCR|9MDPS
