0	Index      	 *	Score 	Summary	Detail	
1	33122 42551	 * 	386.69	DCR|2VULN|1MDPS|2TLV|2DUR	17TLV|2AEWIND|37VULN|47DUR|5AETHUN|6AAC|7BPWR|8RCR|9MDPS|aLSRREG
2	33122 42552	 * 	386.69	DCR|2VULN|1MDPS|2TLV|3DUR	17TLV|2AEWIND|37VULN|47aDUR|5AETHUN|6AAC|7BPWR|8RCR|9MDPS
3	33122 42553	   	386.69	DCR|2VULN|1MDPS|2TLV|2DUR|1DMG	17TLV|2AEWIND|37VULN|47DUR|5AETHUN|6AAC|7BPWR|8RCR|9MDPS|aDMG
4	32421 15422	 * 	384.32	DCR|2MDPS|1VULN|1TLV|1DUR	1TLV|2LWND|3RMIN|4DUST|5VULN|6DUR|7RCR|8ZMB|9aMDPS
5	33121 44162	 * 	381.77	2MDPS|3VULN|1TLV|1DUR	1TLV|2AEWIND|368VULN|4DUR|5CGEN|7DUST|9aMDPS
6	34111 52162	 * 	367.53	2MDPS|2VULN|2TLV|2DUR	17TLV|27DUST|3DMSP|48VULN|5CGEN|67DUR|7BPWR|9aMDPS
7	32163 42512	 * 	358.52	DCR|1MDPS|1VULN|2TLV|2DMG|1DUR	18TLV|248LWND|3DMSP|5DUR|6VULN|78DMG|8BPWR|9RCR|aMDPS
8	36123 42512	   	358.52	DCR|1MDPS|1VULN|2TLV|2DMG|1DUR	18TLV|248FEWX|3DMSP|5DUR|6VULN|78DMG|8BPWR|9RCR|aMDPS
9	33423 42512	   	358.42	DCR|1MDPS|1VULN|2TLV|2DMG|1DUR	18TLV|2AEWIND|348FEWX|5DUR|6VULN|78DMG|8BPWR|9RCR|aMDPS
10	13261 15422	   	358.11	DCR|2MDPS|1VULN|1DUR	12LHND|3DUST|4LWND|5VULN|6DUR|7RCR|8ZMB|9aMDPS
11	13521 15422	   	358.11	DCR|2MDPS|1VULN|1DUR	12LHND|3LWND|4DUST|5VULN|6DUR|7RCR|8ZMB|9aMDPS
12	63212 22323	   	357.45	DCR|2VULN|1MDPS|1TLV|1DUR	1DUR|2LHND|37VULN|4LWND|5FEWX|6LIT|8RCR|9TLV|aMDPS
13	32421 15136	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1TLV|2LWND|3RMIN|4DUST|59VULN|6DUR|7RCR|8FEWX|aMDPS
14	63262 22323	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1DUR|2LHND|37VULN|4AETHUN|5FEWX|6LIT|8RCR|9TLV|aMDPS
15	12425 22322	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1LHND|2TBNT|35VULN|4DUR|6LIT|7TLV|8RCR|9AETHUN|aMDPS
16	14221 56212	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1LHND|2ASPD|3FEWX|4TLV|56VULN|7DUR|8BBNT|9RCR|aMDPS
17	16425 22322	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1LHND|2BBNT|35VULN|4DUR|6LIT|7TLV|8RCR|9AETHUN|aMDPS
18	62415 22322	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1DUR|2TBNT|35VULN|4LHND|6LIT|7TLV|8RCR|9AETHUN|aMDPS
19	62422 83312	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1DUR|2TBNT|36VULN|4CGEN|5MBVNT|7TLV|8BEXP|9RCR|aMDPS
20	62622 83312	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1DUR|2TBNT|3CGEN|46VULN|5MBVNT|7TLV|8BEXP|9RCR|aMDPS
21	64311 36322	   	357.15	DCR|2VULN|1MDPS|1TLV|1DUR	1DUR|2ASPD|3AEBURN|47VULN|5CGEN|6TBNT|8RCR|9TLV|aMDPS
