0	Index      	 *	Score 	Summary	Detail	
1	13644 22133	 * 	298.84	橙橙2伤害1易伤1矿等1暴击	13伤害23毒液对冰3序列升级4易伤5技能点6矿等7暴击8a核9全技能
2	31611 11362	 * 	293.95	橙橙3易伤1攻速	134易伤2时间5基地爆炸6雷电7攻速8a核9爆破对壮
3	32611 11362	   	285.64	橙橙3易伤1攻速	134易伤2低血量敌人5基地爆炸6雷电7攻速8a核9爆破对壮
4	12636 51231	   	285.40	橙橙2伤害1易伤1攻速1暴击	15伤害2雷电3赏金塔4技能点69核7暴击8攻速a易伤
5	16216 21315	   	283.94	橙橙2伤害1易伤1矿等	17伤害2随机矿3时间4易伤5矿等6双倍秒伤8a核9最后敌人
6	16216 21335	   	283.94	橙橙2伤害1易伤1矿等	17伤害2随机矿3时间4易伤5矿等6双倍秒伤8a核9低血量敌人
7	16251 42312	   	283.94	橙橙2伤害1易伤1矿等	18伤害2随机矿3时间4矿等5防空对甲6易伤7a核9雷电
8	16253 42312	   	283.94	橙橙2伤害1易伤1矿等	18伤害2随机矿3时间4矿等5导弹对毒6易伤7a核9雷电
9	13253 22133	   	281.41	橙橙2伤害1易伤1暴击	16伤害2毒液对冰35最后敌人4易伤7暴击8a核9全技能
10	13531 22133	   	281.26	橙橙1易伤1伤害1矿等1暴击	1伤害2毒液对冰3技能点4立即金币5易伤6矿等7暴击8a核9全技能
11	31611 16362	   	280.30	橙橙3易伤	134易伤2时间5基地爆炸6雷电7技能8a核9爆破对壮
12	31264 42133	   	280.14	橙橙2易伤1暴击	15易伤2时间3立即金币4技能6毒液对毒7暴击8a核9全技能
13	31661 42133	   	280.04	橙橙2易伤1暴击	13易伤2时间4技能5电塔对甲6激光减费7暴击8a核9全技能
14	31663 42133	   	280.04	橙橙2易伤1暴击	13易伤2时间4技能5激光对愈6激光减费7暴击8a核9全技能
15	31651 42133	   	279.94	橙橙2易伤1暴击	13易伤2时间4基础对冰5核弹6激光减费7暴击8a核9全技能
16	36631 11362	   	279.71	橙橙2易伤1矿等1攻速	13易伤2矿等4金币生成5基地爆炸6雷电7攻速8a核9电塔对黄
17	31621 11362	   	277.03	橙橙2易伤2时间1攻速	13易伤25时间4基地爆炸6雷电7攻速8a核9爆破对壮
18	31212 56315	 * 	276.80	橙橙2易伤1伤害	14易伤2时间3立即金币5双倍秒伤6伤害7挖尘8a核9最后敌人
19	31212 56335	   	276.80	橙橙2易伤1伤害	14易伤2时间3立即金币5双倍秒伤6伤害7挖尘8a核9低血量敌人
20	16412 21315	   	275.53	橙橙2伤害1易伤1矿等	17伤害2随机矿3挖尘4易伤5矿等6双倍秒伤8a核9最后敌人
21	16412 21335	   	275.53	橙橙2伤害1易伤1矿等	17伤害2随机矿3挖尘4易伤5矿等6双倍秒伤8a核9低血量敌人
22	33652 23213	   	272.13	橙橙1易伤1伤害1暴击	1易伤2额外掉落3敌人爆炸4平台5时间6双倍秒伤7a核8伤害9暴击
23	32611 16362	   	271.99	橙橙3易伤	134易伤2低血量敌人5基地爆炸6雷电7技能8a核9爆破对壮
24	32264 42133	   	271.84	橙橙2易伤1暴击	15易伤2低血量敌人3立即金币4技能6毒液对毒7暴击8a核9全技能
25	32661 42133	   	271.74	橙橙2易伤1暴击	13易伤2低血量敌人4技能5电塔对甲6激光减费7暴击8a核9全技能
26	32651 42133	   	271.64	橙橙2易伤1暴击	13易伤2低血量敌人4基础对冰5核弹6激光减费7暴击8a核9全技能
27	31211 11362	   	270.48	橙橙2易伤1攻速	14易伤2时间3立即金币5基地爆炸6雷电7攻速8a核9爆破对壮
28	31641 11362	   	270.48	橙橙2易伤1攻速	13易伤2时间4最后敌人5立即金币6雷电7攻速8a核9爆破对壮
