0	Index      	 *	Score 	Summary	Detail	
1	22643 13512	 * 	298.32	橙橙3易伤1矿等2时间	19a易伤29时间3掉矿4矿等59挖尘67核8赏金塔9序列升级
2	21343 13351	 * 	294.94	橙橙2易伤1伤害1矿等1暴击	1a易伤2基地爆炸3掉矿4矿等5挖尘67核8暴击9伤害
3	33343 13351	   	294.94	橙橙2易伤1伤害1矿等1暴击	1基地爆炸2a易伤3掉矿4矿等5挖尘67核8暴击9伤害
4	21343 13512	   	283.47	橙橙3易伤1矿等	19a易伤29基地爆炸3掉矿4矿等59挖尘67核8赏金塔9序列升级
5	33343 13512	   	283.47	橙橙3易伤1矿等	19基地爆炸29a易伤3掉矿4矿等59挖尘67核8赏金塔9序列升级
6	22643 13321	   	283.09	橙橙2易伤1矿等1暴击	1a易伤2时间3掉矿4矿等59挖尘67核8暴击
7	21343 13562	   	281.29	橙橙2易伤1伤害1矿等	1a易伤2基地爆炸3掉矿4矿等5挖尘67核8赏金塔9伤害
8	33343 13562	   	281.29	橙橙2易伤1伤害1矿等	1基地爆炸2a易伤3掉矿4矿等5挖尘67核8赏金塔9伤害
9	21343 13353	   	277.04	橙橙1易伤1伤害1矿等1暴击	1易伤2基地爆炸3掉矿4矿等5挖尘67核8暴击9伤害a时间
10	33343 13353	   	277.04	橙橙1易伤1伤害1矿等1暴击	1基地爆炸2易伤3掉矿4矿等5挖尘67核8暴击9伤害a时间
11	22643 13511	   	276.18	橙橙2易伤1矿等2时间	19易伤29时间3掉矿4矿等59挖尘67核8赏金塔9序列升级a赏金邻近
12	22643 13513	   	276.08	橙橙2易伤1矿等2时间1挖怪	19易伤29时间3掉矿4矿等59挖尘67核8赏金塔9序列升级a挖怪
13	61322 14188	   	275.40	橙橙3易伤	1平台2技能3加一48掉矿568易伤78技能点8序列升级9a核
14	61322 14488	   	275.40	橙橙3易伤	1平台2技能3加一4掉矿568易伤7技能点9a核
15	21343 13321	   	274.78	橙橙2易伤1矿等1暴击	1a易伤2基地爆炸3掉矿4矿等59挖尘67核8暴击
16	33343 13321	   	274.78	橙橙2易伤1矿等1暴击	1基地爆炸2a易伤3掉矿4矿等59挖尘67核8暴击
17	21343 13361	 * 	273.95	橙橙2矿等1易伤1暴击	1易伤2基地爆炸3掉矿4a矿等5挖尘67核8暴击9全技能
18	33343 13361	   	273.95	橙橙2矿等1易伤1暴击	1基地爆炸2易伤3掉矿4a矿等5挖尘67核8暴击9全技能
19	22643 13332	   	272.59	橙橙2矿等1易伤1暴击	1易伤2时间3掉矿4a矿等5挖尘67核8暴击9敌人爆炸
20	22643 13362	   	272.59	橙橙2矿等1易伤1暴击	1易伤2时间3掉矿4a矿等5挖尘67核8暴击9最后敌人
21	61322 12388	   	270.79	橙橙2易伤1矿等	1平台2技能3加一47掉矿56易伤8矿等9a核
22	22643 13532	   	269.63	橙橙2易伤1矿等	1a易伤2时间3a掉矿4矿等5挖尘67核8赏金塔9a最后敌人a序列升级
23	21343 13352	   	268.64	橙橙1易伤1伤害1矿等1暴击	1易伤2基地爆炸3掉矿4矿等5挖尘67核8暴击9伤害a技能点
24	21343 13355	   	268.64	橙橙1易伤1伤害1矿等1暴击	1易伤2基地爆炸3掉矿4矿等5a挖尘67核8暴击9伤害
25	21343 13356	   	268.64	橙橙1易伤1伤害1矿等1暴击	1易伤2基地爆炸3掉矿4矿等5挖尘67核8暴击9伤害a挖青
26	33343 13352	   	268.64	橙橙1易伤1伤害1矿等1暴击	1基地爆炸2易伤3掉矿4矿等5挖尘67核8暴击9伤害a技能点
27	33343 13355	   	268.64	橙橙1易伤1伤害1矿等1暴击	1基地爆炸2易伤3掉矿4矿等5a挖尘67核8暴击9伤害
28	33343 13356	   	268.64	橙橙1易伤1伤害1矿等1暴击	1基地爆炸2易伤3掉矿4矿等5挖尘67核8暴击9伤害a挖青
