0	Index      	 *	Score 	Summary	Detail	
1	61251 31326	 * 	305.70	橙橙3易伤1伤害1攻速	1伤害246易伤3金币生成5低血量敌人7攻速8挖尘9a核
2	63513 33236	 * 	289.09	紫橙3易伤1伤害1矿等	1伤害2a核347易伤5矿等6技能8低血量敌人9时间
3	31262 32426	 * 	287.31	橙橙1易伤2矿等1伤害1攻速	1立即金币2攻速37矿等4低血量敌人5挖尘6易伤8伤害9a核
4	31262 32636	   	287.31	橙橙1易伤2矿等1伤害1攻速	1立即金币2攻速37矿等4低血量敌人5挖尘6易伤8a核9伤害
5	11613 21321	   	285.54	橙橙3易伤1攻速	13掉矿234易伤3序列升级5导弹对黄69核7双倍矿8攻速a赏金邻近
6	11613 21323	   	285.54	橙橙3易伤1攻速	13掉矿234易伤3序列升级5导弹对黄69核7双倍矿8攻速a立即金币
7	11613 21325	   	285.54	橙橙3易伤1攻速	13掉矿234易伤3序列升级5导弹对黄69核7双倍矿8攻速a等级
8	11613 21326	   	285.54	橙橙3易伤1攻速	13掉矿234易伤3序列升级5导弹对黄69核7双倍矿8攻速a最后敌人
9	11613 24321	   	285.54	橙橙3易伤1攻速	13掉矿234易伤3序列升级5导弹对黄69核7立即金币8攻速a赏金邻近
10	11613 24323	   	285.54	橙橙3易伤1攻速	13掉矿234易伤3序列升级5导弹对黄69核7a立即金币8攻速
11	11613 24325	   	285.54	橙橙3易伤1攻速	13掉矿234易伤3序列升级5导弹对黄69核7立即金币8攻速a等级
12	11613 24326	   	285.54	橙橙3易伤1攻速	13掉矿234易伤3序列升级5导弹对黄69核7立即金币8攻速a最后敌人
13	11613 21322	   	285.44	橙橙3易伤1攻速	13掉矿234易伤3序列升级5导弹对黄69核7双倍矿8攻速a基础对甲
14	11613 21324	   	285.44	橙橙3易伤1攻速	13掉矿234易伤3序列升级5导弹对黄69核7双倍矿8攻速a双倍物品
15	11613 24322	   	285.44	橙橙3易伤1攻速	13掉矿234易伤3序列升级5导弹对黄69核7立即金币8攻速a基础对甲
16	11613 24324	   	285.44	橙橙3易伤1攻速	13掉矿234易伤3序列升级5导弹对黄69核7立即金币8攻速a双倍物品
17	61226 31326	   	282.24	橙橙2易伤1伤害1攻速	1伤害26易伤3金币生成45低血量敌人7攻速8挖尘9a核
18	22322 34313	   	280.81	橙橙2易伤1矿等2时间	19时间2矿等3敌人爆炸4电塔对黄57易伤6a核8基础对甲
19	22352 34313	   	280.81	橙橙2易伤1矿等2时间	19时间2矿等3敌人爆炸4多重对愈57易伤6a核8基础对甲
20	22652 34313	   	280.81	橙橙2易伤1矿等2时间	19时间2矿等3喷火对黄4敌人爆炸57易伤6a核8基础对甲
21	22612 33313	   	280.71	橙橙2易伤1矿等2时间	19时间2矿等3喷火对黄4挖尘57易伤6a核8基础对甲
22	63513 32122	   	280.39	紫橙2易伤1伤害1矿等1暴击1卖塔	1伤害2a核34易伤5矿等6技能7平台8卖塔9暴击
23	23352 64332	   	280.14	橙橙2易伤1攻速	1时间2平台39易伤4低血量敌人5基地爆炸6a核7加一8攻速
24	63136 21136	 * 	279.33	紫橙2易伤2伤害1攻速	16伤害2a核3金币生成4技能点56易伤6序列升级7攻速8等级9时间
25	63513 21236	   	279.17	紫橙2易伤1伤害1矿等1攻速	1伤害2a核34易伤5矿等6等级7攻速8技能点9时间
26	23531 18382	 * 	275.97	橙橙2伤害1易伤	1时间2平台38伤害4加一5掉矿6敌人爆炸7易伤9a核
27	23531 54382	   	275.97	橙橙2伤害1易伤	1时间2平台38伤害4加一5掉矿6易伤7低血量敌人9a核
