0	Index      	 *	Score 	Summary	Detail	
1	21123 55523	 * 	326.72	DCR|DCR|2LIT|1TLV|1VULN|2ASPD|1SELL	12LIT|2BPWR|3TLV|4BBNT|57ASPD|6aRCR|8SELL|9VULN
2	21151 21151	 * 	314.30	DCR|3LIT|2TLV|2MLV|1VULN|1ASPD	127LIT|27BPWR|37TLV|4ERES|5DUR|67MLV|8VULN|9RCR|aASPD
3	21123 56523	 * 	314.27	DCR|DCR|2LIT|1TLV|1VULN|1ASPD|1SELL	12LIT|2BPWR|3TLV|4BBNT|5ASPD|6aRCR|7DMSP|8SELL|9VULN
4	13224 61241	 * 	314.23	DCR|3VULN|3TLV|3MLV|1SELL	1AAC|278VULN|3SELL|4LHND|578MLV|678TLV|78BPWR|9MSLTOX|aRCR
5	13224 61251	 * 	314.23	DCR|3VULN|3TLV|3MLV|1SELL	1AAC|278VULN|3SELL|4LHND|578MLV|678TLV|78BPWR|9MSLFST|aRCR
6	21321 51353	 * 	305.73	DCR|DCR|2LIT|1TLV|1ASPD|1CDMG	12LIT|2BPWR|3BBNT|4DUR|5DMSP|6aRCR|7CDMG|8TLV|9ASPD
7	21151 21153	   	300.65	DCR|3LIT|2TLV|2MLV|1VULN	127LIT|27BPWR|37TLV|4ERES|5DUR|67MLV|8VULN|9RCR|aCGEN
8	21151 21155	   	300.65	DCR|3LIT|2TLV|2MLV|1VULN	127LIT|27BPWR|37TLV|4ERES|5DUR|67MLV|8VULN|9RCR|aRMIN
9	21151 21156	   	300.65	DCR|3LIT|2TLV|2MLV|1VULN	127LIT|27BPWR|37TLV|4ERES|5DUR|67MLV|8VULN|9RCR|aZMB
10	21151 21223	   	300.65	DCR|3LIT|2TLV|2MLV|1VULN	127LIT|27BPWR|37TLV|4ERES|5DUR|67MLV|8LWND|9VULN|aRCR
11	21151 21152	   	300.55	DCR|3LIT|2TLV|2MLV|1VULN	127LIT|27BPWR|37TLV|4aERES|5DUR|67MLV|8VULN|9RCR
