0	Index      	 *	Score 	Summary	Detail	
1	23621 14531	 * 	316.66	ACR|4VULN|3TLV|3MLV|1DMG	167TLV|2ZMB|3789VULN|4RCR|567MLV|67BPWR|aDMG
2	23621 14335	 * 	305.36	ACR|3TLV|3MLV|2VULN|1LIT	167TLV|2ZMB|37VULN|4RCR|567MLV|67BPWR|8RPLT|9BBNT|aLIT
3	24352 21363	 * 	304.22	ACR|DCR|2VULN|2TLV|3ASPD	19TLV|2BBNT|39VULN|47RCR|5BELT|689ASPD|9BPWR|aRPLT
4	23621 14226	   	301.04	ACR|3TLV|3MLV|2VULN|1LIT|1ASPD	167TLV|2ZMB|37VULN|4RCR|567MLV|67BPWR|8ASPD|9BELT|aLIT
5	22352 21363	   	300.12	ACR|DCR|2VULN|2TLV|3ASPD	19TLV|2TBNT|39VULN|47RCR|5BELT|689ASPD|9BPWR|aRPLT
6	25352 21363	   	300.12	ACR|DCR|2VULN|2TLV|3ASPD	19TLV|29VULN|3TBNT|47RCR|5BELT|689ASPD|9BPWR|aRPLT
7	25121 62163	 * 	297.66	ACR|3VULN|3LIT|2TLV|1MLV	19TLV|279VULN|3CGEN|4RCR|5MLV|6AART|89aLIT|9BPWR
8	23621 14532	   	296.60	ACR|4VULN|3TLV|3MLV	167TLV|2aZMB|3789VULN|4RCR|567MLV|67BPWR
9	23621 14533	   	296.50	ACR|4VULN|3TLV|3MLV	167TLV|2ZMB|3789VULN|4RCR|567MLV|67BPWR|aERES
10	24352 21361	   	295.91	ACR|DCR|2VULN|2TLV|3ASPD	19TLV|2BBNT|39VULN|47RCR|5BELT|689ASPD|9BPWR|aLHND
11	24352 21362	   	295.91	ACR|DCR|2VULN|2TLV|3ASPD	19TLV|2BBNT|39VULN|47RCR|5BELT|689ASPD|9BPWR|aCGEN
12	25522 23351	 * 	295.15	DCR|4VULN|2TLV|1LIT|2CDMG	1aTLV|258aVULN|3RCVC|4LIT|6RCR|7VENFST|9aCDMG|aBPWR
13	25221 62163	   	293.43	ACR|3VULN|2TLV|2LIT|1MLV|1CDMG	19TLV|279VULN|3ERES|4RCR|5MLV|6AART|89LIT|9BPWR|aCDMG
14	22352 21361	   	291.81	ACR|DCR|2VULN|2TLV|3ASPD	19TLV|2TBNT|39VULN|47RCR|5BELT|689ASPD|9BPWR|aLHND
15	22352 21362	   	291.81	ACR|DCR|2VULN|2TLV|3ASPD	19TLV|2TBNT|39VULN|47RCR|5BELT|689ASPD|9BPWR|aCGEN
16	22352 21366	   	291.81	ACR|DCR|2VULN|2TLV|3ASPD	19TLV|2TBNT|39VULN|47RCR|5BELT|689ASPD|9BPWR|aBEXP
17	25352 21361	   	291.81	ACR|DCR|2VULN|2TLV|3ASPD	19TLV|29VULN|3TBNT|47RCR|5BELT|689ASPD|9BPWR|aLHND
18	25352 21362	   	291.81	ACR|DCR|2VULN|2TLV|3ASPD	19TLV|29VULN|3TBNT|47RCR|5BELT|689ASPD|9BPWR|aCGEN
19	22352 21364	   	291.71	ACR|DCR|2VULN|2TLV|3ASPD	19TLV|2TBNT|39VULN|47RCR|5BELT|689ASPD|9BPWR|aDUST
20	22352 21365	   	291.71	ACR|DCR|2VULN|2TLV|3ASPD	19TLV|2TBNT|39VULN|47RCR|5BELT|689ASPD|9BPWR|aFLTHEA
21	22335 56121	 * 	291.38	DCR|3VULN|3TLV|1LIT|1ASPD	167TLV|2TBNT|367VULN|4AART|5RPLT|67BPWR|8LIT|9RCR|aASPD
22	24335 31126	 * 	291.17	DCR|DCR|2VULN|1TLV	1TLV|2BBNT|3aVULN|4AART|5RPLT|6MDPS|79RCR|8ZMB
23	23621 14211	 * 	291.06	ACR|3TLV|3MLV|2VULN|2ASPD	167TLV|2ZMB|37VULN|4RCR|567MLV|67BPWR|89ASPD|aDUR
24	23621 14623	   	288.91	ACR|3TLV|3MLV|2VULN|1DMG|1ASPD	167TLV|2ZMB|37VULN|4RCR|567MLV|67BPWR|8DUST|9DMG|aASPD
25	21521 62362	 * 	288.55	DCR|DCR|1TLV|1LIT|1VULN	1TLV|2FLTHEA|3DUR|4LIT|5ERES|6MDPS|7AART|8aRCR|9VULN
26	62124 15323	 * 	287.87	ACR|DCR|2LIT|1TLV|1VULN|1DMG|1CDMG	1FEWX|2DMG|3CGEN|48RCR|5aLIT|6TLV|7CDMG|9VULN
27	22612 13323	 * 	287.58	DCR|DCR|2TLV|2MLV	13TLV|2TBNT|36BPWR|46ERES|56MLV|7aRCR|8DMSP|9BBNT
28	22632 13323	   	287.58	DCR|DCR|2TLV|2MLV	13TLV|2TBNT|36BPWR|46AME|56MLV|7aRCR|8DMSP|9BBNT
29	24612 13323	   	287.58	DCR|DCR|2TLV|2MLV	13TLV|2BBNT|36BPWR|46ERES|56MLV|7aRCR|8DMSP|9TBNT
30	24632 13323	   	287.58	DCR|DCR|2TLV|2MLV	13TLV|2BBNT|36BPWR|46AME|56MLV|7aRCR|8DMSP|9TBNT
31	24352 21131	   	287.13	ACR|DCR|2LIT|1TLV|1VULN|1ASPD	1TLV|2BBNT|3VULN|47RCR|5BELT|6ASPD|8aLIT|9DUR
32	23621 14161	   	287.10	ACR|3VULN|3TLV|3MLV	167TLV|2ZMB|379VULN|4RCR|567MLV|67BPWR|8CGEN|aDUR
33	22335 31126	   	287.07	DCR|DCR|2VULN|1TLV	1TLV|2TBNT|3aVULN|4AART|5RPLT|6MDPS|79RCR|8ZMB
34	22335 31526	   	287.07	DCR|DCR|2VULN|1TLV	1TLV|2TBNT|3aVULN|4AART|5RPLT|6MDPS|79RCR|8AAC
35	25335 31126	   	287.07	DCR|DCR|2VULN|1TLV	1TLV|2aVULN|3TBNT|4AART|5RPLT|6MDPS|79RCR|8ZMB
36	23621 14523	   	287.00	ACR|3VULN|3TLV|3MLV	167TLV|2ZMB|378VULN|4RCR|567MLV|67BPWR|9MDPS|aDUR
