0	Index      	 *	Score 	Summary	Detail	
1	11163 26422	 * 	327.22	DCR|3TLV|3LIT|3MLV|2DUR	158LIT|2aDUR|38aTLV|4LEGI|68aMLV|7TBNT|8aBPWR|9RCR
2	23121 35331	 * 	313.31	DCR|DCR|2VULN|2TLV|1RPLT	1RPLT|25VULN|3BBNT|48TLV|6MBVNT|7BASARM|9aRCR
3	23321 35331	   	309.20	DCR|DCR|2VULN|2TLV|1RPLT	1RPLT|25VULN|3TBNT|48TLV|6MBVNT|7BASARM|9aRCR
4	11113 12323	 * 	306.32	DCR|DCR|2LIT|1TLV|1VULN	18LIT|2DUR|3TLV|4BASARM|5VULN|6aRCR|7ZMB|9TBNT
5	35113 12323	   	306.32	DCR|DCR|2LIT|1TLV|1VULN	1DUR|28LIT|3TLV|4BASARM|5VULN|6aRCR|7ZMB|9TBNT
6	24232 36363	 * 	306.29	DCR|DCR|2TLV|2DMG|1RPLT|2DUR	1RPLT|27TLV|3MDPS|47DUR|5AAC|67DMG|7BPWR|89RCR|aTBNT
7	24232 36361	   	300.73	DCR|DCR|2TLV|2DMG|1RPLT|2DUR	1RPLT|27TLV|3MDPS|47DUR|5aAAC|67DMG|7BPWR|89RCR
8	24232 36362	   	300.73	DCR|DCR|2TLV|2DMG|1RPLT|2DUR	1RPLT|27TLV|3MDPS|47DUR|5AAC|67DMG|7BPWR|89RCR|aCGEN
9	22331 21663	   	298.41	DCR|DCR|1TLV|1LIT|1VULN|1RPLT|1SELL	1RPLT|2DUR|3MDPS|4LIT|5AME|69RCR|7SELL|8VULN|aTLV
10	34331 21663	   	298.41	DCR|DCR|1TLV|1LIT|1VULN|1RPLT|1SELL	1DUR|2RPLT|3MDPS|4LIT|5AME|69RCR|7SELL|8VULN|aTLV
11	11113 12153	   	297.88	DCR|DCR|1TLV|1LIT|1VULN|2DUR	1LIT|29DUR|3TLV|4BASARM|5VULN|6aRCR|7ZMB|8BBNT
12	35113 12153	   	297.88	DCR|DCR|1TLV|1LIT|1VULN|2DUR	19DUR|2LIT|3TLV|4BASARM|5VULN|6aRCR|7ZMB|8BBNT
13	16233 34211	 * 	297.82	DCR|2VULN|2TLV|1LIT|1MLV|1RPLT|1CDMG	1LIT|2RPLT|35TLV|45DUST|5BPWR|6RCR|7CDMG|8MLV|9aVULN
