0	Index      	 *	Score 	Summary	Detail	
1	33422 22213	 * 	324.52	DCR|DCR|2TLV|2MLV|1VULN|1DMG	1VULN|2aMLV|3DMG|49TLV|5ERES|68RCR|7LHND
2	33425 22223	   	321.25	DCR|DCR|2TLV|1VULN|1MLV|1DMG	1VULN|2MLV|3DMG|4aTLV|5CGEN|68RCR|7LHND|9DUR
3	33422 22223	   	321.15	DCR|DCR|2TLV|1VULN|1MLV|1DMG	1VULN|2MLV|3DMG|4aTLV|5ERES|68RCR|7LHND|9DUR
4	33425 22213	   	319.89	DCR|DCR|2TLV|1VULN|1MLV|1DMG	1VULN|2MLV|3DMG|49TLV|5CGEN|68RCR|7LHND|aAART
5	35324 11115	 * 	317.48	DCR|2VULN|2TLV|2LIT|2MLV	17VULN|27TLV|35LIT|4DUR|67MLV|7BPWR|8RMIN|9RPLT|aRCR
6	35324 11215	   	317.48	DCR|2VULN|2TLV|2LIT|2MLV	17VULN|27TLV|35LIT|4DUR|67MLV|7BPWR|8ZMB|9RPLT|aRCR
7	35324 11334	   	317.48	DCR|2VULN|2TLV|2LIT|2MLV	17VULN|27TLV|35LIT|4DUR|67MLV|7BPWR|8LWND|9RPLT|aRCR
8	33455 22212	 * 	315.65	DCR|DCR|2VULN|1TLV|1MLV|1DMG	15VULN|2MLV|3DMG|4DUR|68RCR|7FEWX|9TBNT|aTLV
9	35313 31115	   	312.22	DCR|2VULN|2TLV|2LIT|1MLV|2DUR	17VULN|27TLV|34LIT|5MLV|67DUR|7BPWR|8RMIN|9RPLT|aRCR
10	35313 31215	   	312.22	DCR|2VULN|2TLV|2LIT|1MLV|2DUR	17VULN|27TLV|34LIT|5MLV|67DUR|7BPWR|8ZMB|9RPLT|aRCR
11	35313 31334	   	312.22	DCR|2VULN|2TLV|2LIT|1MLV|2DUR	17VULN|27TLV|34LIT|5MLV|67DUR|7BPWR|8LWND|9RPLT|aRCR
12	35313 31634	   	312.22	DCR|2VULN|2TLV|2LIT|1MLV|2DUR	17VULN|27TLV|34LIT|5MLV|67DUR|7BPWR|8FEWX|9RPLT|aRCR
13	31455 22211	 * 	312.21	DCR|DCR|2VULN|1TLV|2DMG	15VULN|2ERES|3aDMG|4DUR|68RCR|7FEWX|9TLV
14	33425 22216	   	311.58	DCR|DCR|2TLV|1VULN|1MLV|1DMG	1VULN|2MLV|3DMG|49TLV|5CGEN|68RCR|7LHND|aLWND
15	33422 22212	   	311.48	DCR|DCR|2TLV|1VULN|1MLV|1DMG	1VULN|2MLV|3DMG|49TLV|5ERES|68RCR|7LHND|aFEWX
16	33422 22216	   	311.48	DCR|DCR|2TLV|1VULN|1MLV|1DMG	1VULN|2MLV|3DMG|49TLV|5ERES|68RCR|7LHND|aLWND
17	33425 22211	   	311.48	DCR|DCR|2TLV|1VULN|1MLV|1DMG	1VULN|2MLV|3DMG|49TLV|5CGEN|68RCR|7LHND|aERES
18	33425 22215	   	311.48	DCR|DCR|2TLV|1VULN|1MLV|1DMG	1VULN|2MLV|3DMG|49TLV|5CGEN|68RCR|7LHND|aCRUHEL
19	31423 22213	   	311.38	DCR|DCR|2TLV|1VULN|1MLV|1DMG	1VULN|2ERES|3DMG|4AME|59TLV|68RCR|7LHND|aMLV
20	33422 22211	   	311.38	DCR|DCR|2TLV|1VULN|1MLV|1DMG	1VULN|2MLV|3DMG|49TLV|5aERES|68RCR|7LHND
21	33422 22215	   	311.38	DCR|DCR|2TLV|1VULN|1MLV|1DMG	1VULN|2MLV|3DMG|49TLV|5ERES|68RCR|7LHND|aCRUHEL
22	35422 22213	   	311.38	DCR|DCR|2TLV|1VULN|1MLV|1DMG	1VULN|29TLV|3DMG|4AME|5ERES|68RCR|7LHND|aMLV
23	33425 22226	   	310.09	DCR|DCR|2VULN|1TLV|1MLV|1DMG	1aVULN|2MLV|3DMG|4TLV|5CGEN|68RCR|7LHND|9DUR
24	33422 22226	   	309.99	DCR|DCR|2VULN|1TLV|1MLV|1DMG	1aVULN|2MLV|3DMG|4TLV|5ERES|68RCR|7LHND|9DUR
25	35324 11161	   	309.17	DCR|2VULN|2TLV|2LIT|2MLV	17VULN|27TLV|35LIT|4DUR|67MLV|7BPWR|8RMIN|9LWND|aRCR
26	35324 11316	   	309.17	DCR|2VULN|2TLV|2LIT|2MLV	17VULN|27TLV|35LIT|4DUR|67MLV|7BPWR|8LWND|9LHND|aRCR
27	35324 11326	   	309.07	DCR|2VULN|2TLV|2LIT|2MLV	17VULN|27TLV|35LIT|4DUR|67MLV|7BPWR|8LWND|9DUST|aRCR
28	35353 11115	   	307.82	DCR|2VULN|2TLV|2LIT|2MLV	17VULN|27TLV|35LIT|4FEWX|67MLV|7BPWR|8RMIN|9RPLT|aRCR
29	35353 11215	   	307.82	DCR|2VULN|2TLV|2LIT|2MLV	17VULN|27TLV|35LIT|4FEWX|67MLV|7BPWR|8ZMB|9RPLT|aRCR
30	35353 11334	   	307.82	DCR|2VULN|2TLV|2LIT|2MLV	17VULN|27TLV|35LIT|4FEWX|67MLV|7BPWR|8LWND|9RPLT|aRCR
31	33422 21614	 * 	304.64	DCR|2VULN|2LIT|2DMG|1TLV|1MLV	1aVULN|2MLV|3aDMG|4TLV|5ERES|6RCR|7AART|8BBNT|9aLIT|aBPWR
32	33655 22212	   	303.94	DCR|DCR|2MLV|1TLV|1VULN|2DUR|1ASPD	1VULN|24MLV|34DUR|4BPWR|5ASPD|68RCR|7FEWX|9TBNT|aTLV
33	35313 31161	   	303.91	DCR|2VULN|2TLV|2LIT|1MLV|2DUR	17VULN|27TLV|34LIT|5MLV|67DUR|7BPWR|8RMIN|9LWND|aRCR
34	35313 31316	   	303.91	DCR|2VULN|2TLV|2LIT|1MLV|2DUR	17VULN|27TLV|34LIT|5MLV|67DUR|7BPWR|8LWND|9LHND|aRCR
35	35313 31616	   	303.91	DCR|2VULN|2TLV|2LIT|1MLV|2DUR	17VULN|27TLV|34LIT|5MLV|67DUR|7BPWR|8FEWX|9LHND|aRCR
36	35313 31326	   	303.81	DCR|2VULN|2TLV|2LIT|1MLV|2DUR	17VULN|27TLV|34LIT|5MLV|67DUR|7BPWR|8LWND|9DUST|aRCR
37	35313 31626	   	303.81	DCR|2VULN|2TLV|2LIT|1MLV|2DUR	17VULN|27TLV|34LIT|5MLV|67DUR|7BPWR|8FEWX|9DUST|aRCR
38	34615 22213	 * 	301.97	DCR|DCR|1TLV|1LIT|1VULN|2DUR|1ASPD	1VULN|2CGEN|34DUR|5ASPD|68RCR|7FEWX|9TLV|aLIT
