0	Index      	 *	Score 	Summary	Detail	
1	15161 51233	 * 	271.15	紫橙4易伤2时间	12时间37核468a易伤56金币生成6序列升级9挖尘
2	23621 26351	 * 	269.90	橙橙2易伤2攻速	1等级2立即金币36易伤45攻速7金币生成8导弹对毒9a核
3	15161 51313	   	269.37	紫橙3易伤1矿等2时间1策反	12时间37核46a易伤56金币生成6序列升级8矿等9策反
4	23126 23431	 * 	265.84	橙橙3易伤	1等级2立即金币3掉矿456易伤7a核8技能9喷火对黄
5	15161 51212	   	265.64	紫橙3易伤2时间1暴击	12时间37核468易伤56金币生成6序列升级9导弹对黄a暴击
6	23266 23351	   	257.55	橙橙2易伤1攻速	16等级2立即金币3攻速47金币生成56易伤6序列升级8导弹对毒9a核
7	23333 44151	   	257.55	橙橙2易伤1攻速	1等级2立即金币3双倍矿4激光对冰56易伤7随机矿8攻速9a核
8	23612 26351	   	257.35	橙橙2易伤1攻速	1等级2立即金币36易伤4激光减费5攻速7金币生成8导弹对毒9a核
9	46235 14232	   	255.74	紫橙2易伤1矿等1攻速1全技能	1低血量敌人2加一3最后敌人4攻速5a核67易伤8全技能9矿等
10	23323 14151	 * 	255.19	橙橙1易伤1伤害1矿等	1等级28立即金币3双倍矿4伤害5矿等6易伤7爆破对冰9a核
11	23323 15651	   	255.19	橙橙1易伤1伤害1矿等	17等级2立即金币3双倍矿4伤害5矿等6易伤8爆破对冰9a核
12	15161 51331	 * 	252.49	紫橙2易伤3时间1矿等	129时间37核46易伤56金币生成6序列升级8矿等a赏金邻近
13	15161 51333	   	252.49	紫橙2易伤3时间1矿等	129时间37核46易伤56金币生成6序列升级8矿等a赏金塔
14	15161 51332	   	252.39	紫橙2易伤3时间1矿等	129时间37核46易伤56金币生成6序列升级8矿等a掉矿
15	46441 42338	   	252.00	橙橙2易伤	1低血量敌人2加一3掉矿4时间59易伤6最后敌人7基地爆炸8a核
16	15161 51213	   	251.99	紫橙3易伤2时间	12时间37核468易伤56金币生成6序列升级9导弹对黄a赏金邻近
