0	Index      	 *	Score 	Summary	Detail	
1	35463 13324	 * 	276.80	橙橙2易伤1伤害	1散射对甲2时间3基地爆炸4伤害5雷电6加一78核9a易伤
2	21311 33366	 * 	272.09	橙橙3易伤	1双倍矿248易伤3技能5低血量敌人6赏金邻近7喷火对甲9a核
3	21312 13366	   	272.09	橙橙3易伤	1双倍矿248易伤3技能5赏金塔6低血量敌人7喷火对甲9a核
4	21311 32366	   	271.99	橙橙3易伤	1双倍矿248易伤3技能5低血量敌人6赏金邻近7加农对壮9a核
5	21312 12366	   	271.99	橙橙3易伤	1双倍矿248易伤3技能5赏金塔6低血量敌人7加农对壮9a核
6	35463 13334	 * 	266.31	橙橙2伤害1易伤	1散射对甲2时间3基地爆炸49伤害5雷电6加一78核a易伤
7	35463 13343	   	266.25	橙橙1易伤1伤害1矿等	1散射对甲2时间3基地爆炸4伤害5雷电6加一78核9矿等a易伤
8	33221 51256	   	265.96	橙橙2易伤1矿等	1散射对甲2矿等3掉矿45技能6a核7基地爆炸89易伤
9	32114 63226	   	262.37	橙橙1易伤1伤害1攻速	1散射对甲2攻速3伤害4时间5雷电6掉矿7基地爆炸8易伤9a核
10	35463 13323	   	262.37	橙橙1易伤1伤害1攻速	1散射对甲2时间3基地爆炸4伤害5雷电6加一78核9易伤a攻速
11	31211 22451	   	262.08	橙橙2易伤1暴击	1散射对甲2双倍秒伤3金币生成4低血量敌人5敌人爆炸6暴击79核8a易伤
12	41211 22451	   	262.08	橙橙2易伤1暴击	1激光对绿2双倍秒伤3金币生成4低血量敌人5敌人爆炸6暴击79核8a易伤
13	31151 22451	   	261.98	橙橙2易伤1暴击	1散射对甲2双倍秒伤3挖尘4金币生成5敌人爆炸6暴击79核8a易伤
14	31141 22451	   	261.88	橙橙2易伤1暴击	1散射对甲2双倍秒伤3挖尘4技能点5敌人爆炸6暴击79核8a易伤
15	35423 13324	   	256.73	橙橙2易伤	1散射对甲2时间3基地爆炸4技能5雷电6加一78核9a易伤
16	45423 13324	   	256.73	橙橙2易伤	1激光对绿2时间3基地爆炸4技能5雷电6加一78核9a易伤
17	12332 14663	   	253.96	橙橙1易伤1伤害1攻速	1激光减费2核弹3伤害4立即金币5掉矿6最后敌人78核9攻速a易伤
18	63523 16233	 * 	251.98	橙4易伤2矿等2时间	1赏金塔2369易伤46矿等5赏金邻近69序列升级79时间89毒液对冰a核
19	31112 41323	   	249.73	橙橙1易伤1伤害1全技能1策反	1散射对甲2双倍秒伤3挖尘4全技能5伤害6策反7赏金塔8易伤9a核
20	41112 41323	   	249.73	橙橙1易伤1伤害1全技能1策反	1激光对绿2双倍秒伤3挖尘4全技能5伤害6策反7赏金塔8易伤9a核
21	64132 61323	   	249.69	橙橙1易伤1伤害1全技能2策反	1赏金塔2多重对愈3赏金邻近47策反5易伤6伤害8全技能9a核
22	35463 13342	   	248.89	橙橙2伤害1矿等	1散射对甲2时间3基地爆炸4a伤害5雷电6加一78核9矿等
23	35463 13322	   	248.72	橙橙1易伤1伤害	1散射对甲2时间3a基地爆炸4伤害5雷电6加一78核9易伤
24	21322 54613	   	248.72	橙橙1易伤1伤害	1双倍矿2易伤3技能45掉矿6伤害78核9寒冰对冰a时间
25	35423 13326	   	248.72	橙橙1易伤1伤害	1散射对甲2时间3基地爆炸4技能5雷电6加一78核9易伤a伤害
26	35423 13333	   	248.72	橙橙1易伤1伤害	1散射对甲2时间3基地爆炸4技能5雷电6加一78核9伤害a易伤
27	45423 13333	   	248.72	橙橙1易伤1伤害	1激光对绿2时间3基地爆炸4技能5雷电6加一78核9伤害a易伤
28	21311 25166	   	248.63	橙橙2易伤	1双倍矿24易伤3技能5低血量敌人6立即金币7赏金塔8寒冰对甲9a核
29	21311 31166	   	248.63	橙橙2易伤	1双倍矿24易伤3技能57低血量敌人6赏金邻近8寒冰对甲9a核
30	21312 11166	   	248.63	橙橙2易伤	1双倍矿24易伤3技能5赏金塔67低血量敌人8寒冰对甲9a核
31	12332 54613	   	248.62	橙橙1易伤1伤害	1激光减费2核弹3伤害4立即金币5掉矿6易伤78核9寒冰对冰a时间
32	35463 13313	   	248.62	橙橙1易伤1伤害	1散射对甲2时间3基地爆炸4伤害5雷电6加一78核9掉矿a易伤
33	35463 13321	   	248.62	橙橙1易伤1伤害	1散射对甲2时间3基地爆炸4伤害5雷电6加一78核9易伤a狙击对黄
34	21322 54633	   	248.62	橙橙1易伤1伤害	1双倍矿2易伤3技能45掉矿6伤害78核9激光对愈a时间
35	35613 13326	   	248.62	橙橙1易伤1伤害	1散射对甲2时间3技能4挖尘5雷电6加一78核9易伤a伤害
36	35613 13333	   	248.62	橙橙1易伤1伤害	1散射对甲2时间3技能4挖尘5雷电6加一78核9伤害a易伤
37	45613 13333	   	248.62	橙橙1易伤1伤害	1激光对绿2时间3技能4挖尘5雷电6加一78核9伤害a易伤
38	21311 15166	   	248.53	橙橙2易伤	1双倍矿24易伤3技能5低血量敌人6激光减费7赏金塔8寒冰对甲9a核
39	12332 54633	   	248.52	橙橙1易伤1伤害	1激光减费2核弹3伤害4立即金币5掉矿6易伤78核9激光对愈a时间
40	62551 13321	 * 	246.96	紫橙1易伤1伤害1矿等1平台1策反	1赏金塔2赏金邻近3矿等4时间5a核6易伤7伤害8策反9平台
