0	Index      	 *	Score 	Summary	Detail	
1	11677 24311	 * 	285.75	橙橙3易伤1伤害1卖塔	1加一29a易伤3伤害4雷电5卖塔68核7立即金币
2	11327 24311	 * 	279.34	橙橙3易伤1攻速1卖塔	1加一29a易伤3雷电4攻速5卖塔68核7立即金币
3	14284 23287	 * 	273.42	橙橙2易伤1伤害1平台	1加一2挖尘3平台4雷电5技能6伤害78核9a易伤
4	11513 34823	 * 	270.10	橙橙2易伤2攻速	1加一28易伤3赏金邻近489低血量敌人5赏金塔68攻速7a核8序列升级
5	11513 34883	   	270.10	橙橙2易伤2攻速	1加一28易伤3赏金邻近48低血量敌人5赏金塔68攻速7a核8序列升级9双倍矿
6	11834 34823	   	270.10	橙橙2易伤2攻速	1加一28易伤389低血量敌人48攻速5赏金邻近6赏金塔7a核8序列升级
7	11834 34883	   	270.10	橙橙2易伤2攻速	1加一28易伤38低血量敌人48攻速5赏金邻近6赏金塔7a核8序列升级9双倍矿
8	11327 24315	   	269.66	橙橙2易伤2攻速1卖塔	1加一29易伤3雷电4a攻速5卖塔68核7立即金币
9	11612 22624	 * 	263.63	橙3易伤2伤害2矿等2时间	1加一27a易伤3a伤害47矿等5随机矿67金币生成7a序列升级8a时间9核
10	11711 22624	   	263.63	橙3易伤2伤害2矿等2时间	1加一27a易伤3随机矿4a矿等57伤害67金币生成7a序列升级8a时间9核
11	11677 24312	   	263.62	橙橙2易伤1伤害1卖塔	1加一29易伤3伤害4雷电5卖塔68核7立即金币a金币生成
12	11677 24313	   	263.62	橙橙2易伤1伤害1卖塔	1加一29易伤3伤害4雷电5卖塔68核7立即金币a低血量敌人
13	11677 24314	   	263.62	橙橙2易伤1伤害1卖塔	1加一29易伤3伤害4雷电5卖塔68核7立即金币a基地爆炸
14	11677 24341	   	263.61	橙橙2易伤1伤害1卖塔	1加一2a易伤3伤害4雷电5卖塔68核7立即金币9寒冰对冰
15	26332 43431	   	261.86	橙橙2易伤1全技能	1时间2a低血量敌人3雷电4全技能58易伤6赏金塔79核
16	26332 43432	   	261.86	橙橙2易伤1全技能	1时间2低血量敌人3雷电4全技能58易伤6赏金塔79核a随机矿
17	11231 53784	   	261.76	橙橙2易伤1平台	1加一29易伤3平台4低血量敌人5时间6最后敌人7基地爆炸8a核
18	23214 34274	   	261.76	橙橙2易伤1平台	1时间2基地爆炸35易伤4最后敌人6低血量敌人7a核8加一9平台
19	26332 43433	   	261.76	橙橙2易伤1全技能	1时间2低血量敌人3雷电4全技能58易伤6赏金塔79核a挖尘
20	11231 54784	   	261.66	橙橙2易伤1平台	1加一29易伤3平台4低血量敌人5时间6最后敌人7挖尘8a核
21	11734 32853	 * 	258.60	橙4易伤2矿等2时间1攻速	1加一2479易伤3随机矿57矿等67时间7序列升级8攻速a核
22	11513 34523	   	257.45	橙橙2易伤1攻速	1加一28易伤3赏金邻近49低血量敌人5赏金塔6攻速7a核
23	11513 34583	   	257.45	橙橙2易伤1攻速	1加一28易伤3赏金邻近4低血量敌人5赏金塔6攻速7a核9双倍矿
24	11834 34523	   	257.45	橙橙2易伤1攻速	1加一28易伤39低血量敌人4攻速5赏金邻近6赏金塔7a核
25	11834 34583	   	257.45	橙橙2易伤1攻速	1加一28易伤3低血量敌人4攻速5赏金邻近6赏金塔7a核9双倍矿
26	11733 27613	   	257.35	橙橙2易伤1暴击	1加一24易伤3随机矿5赏金塔6暴击7a核8雷电9双倍秒伤
27	11433 27613	   	257.25	橙橙2易伤1暴击	1加一24易伤3掉矿5赏金塔6暴击7a核8雷电9双倍秒伤
28	11327 24312	   	257.20	橙橙2易伤1攻速1卖塔	1加一29易伤3雷电4攻速5卖塔68核7立即金币a金币生成
29	11327 24313	   	257.20	橙橙2易伤1攻速1卖塔	1加一29易伤3雷电4攻速5卖塔68核7立即金币a低血量敌人
30	11327 24314	   	257.20	橙橙2易伤1攻速1卖塔	1加一29易伤3雷电4攻速5卖塔68核7立即金币a基地爆炸
31	11327 24316	   	257.20	橙橙2易伤1攻速1卖塔	1加一29易伤3雷电4攻速5卖塔68核7a立即金币
32	11327 24318	   	257.20	橙橙2易伤1攻速1卖塔	1加一29易伤3雷电4攻速5卖塔68核7立即金币a最后敌人
33	11327 24341	   	257.20	橙橙2易伤1攻速1卖塔	1加一2a易伤3雷电4攻速5卖塔68核7立即金币9寒冰对冰
34	11327 24317	   	257.10	橙橙2易伤1攻速1卖塔	1加一29易伤3雷电4攻速5卖塔68核7立即金币a掉矿
35	11327 24371	   	257.10	橙橙2易伤1攻速1卖塔	1加一2a易伤3雷电4攻速5卖塔68核7立即金币9导弹对黄
36	11641 27212	 * 	256.36	橙4易伤2伤害1攻速	1加一278a易伤37伤害4时间5攻速67防空对愈7序列升级9核
37	17821 34371	 * 	256.07	紫橙2易伤1暴击1全技能1平台	1加一2双倍秒伤3时间4全技能57核6暴击8平台9a易伤
