0	Index      	 *	Score 	Summary	Detail	
1	13333 62284	 * 	291.20	橙橙2伤害1易伤2矿等1策反	19矿等29最后敌人3立即金币4策反5易伤6a核7加一89伤害9序列升级
2	62354 22244	 * 	279.76	橙橙1易伤1伤害1矿等1暴击1卖塔	1立即金币2暴击3卖塔4伤害5易伤6矿等7a核8加一9时间
3	13333 62264	 * 	275.39	橙橙2伤害1易伤1矿等1策反	1矿等2最后敌人3立即金币4策反5易伤6a核7加一89伤害
4	62312 55244	 * 	273.34	橙橙1易伤1矿等1攻速1暴击1卖塔	1立即金币2暴击3卖塔4攻速5矿等6a核7易伤8加一9时间
5	62314 22244	 * 	273.34	橙橙1易伤1矿等1攻速1暴击1卖塔	1立即金币2暴击3卖塔4攻速5易伤6矿等7a核8加一9时间
6	62354 22234	 * 	271.45	橙橙1易伤1伤害1矿等1暴击1卖塔	1立即金币2暴击3卖塔4伤害5易伤6矿等7a核8加一9基地爆炸
7	21411 18331	 * 	265.96	橙橙2易伤1矿等	1毒液对毒28金币生成3立即金币4矿等5加一6a易伤79核
8	31411 18331	   	265.96	橙橙2易伤1矿等	1加农对甲28金币生成3立即金币4矿等5加一6a易伤79核
9	11446 11133	   	265.71	橙橙2易伤1矿等1卖塔	1矿等2基地爆炸3卖塔4散射对甲5a易伤6挖尘7技能89核
10	12446 21133	   	265.71	橙橙2易伤1矿等1卖塔	1矿等2挖尘3卖塔4散射对甲5a易伤6最后敌人7技能89核
11	62312 55234	   	265.04	橙橙1易伤1矿等1攻速1暴击1卖塔	1立即金币2暴击3卖塔4攻速5矿等6a核7易伤8加一9基地爆炸
12	62314 22234	   	265.04	橙橙1易伤1矿等1攻速1暴击1卖塔	1立即金币2暴击3卖塔4攻速5易伤6矿等7a核8加一9基地爆炸
13	21611 53433	   	262.18	橙橙2易伤1暴击	1毒液对毒2金币生成3技能4暴击5基地爆炸69核7a易伤8低血量敌人
14	31611 53433	   	262.18	橙橙2易伤1暴击	1加农对甲2金币生成3技能4暴击5基地爆炸69核7a易伤8低血量敌人
15	62354 12244	 * 	262.13	橙橙1易伤1伤害1暴击1卖塔	1立即金币2暴击3卖塔4伤害5易伤6掉矿7a核8加一9时间
16	23611 53433	   	262.08	橙橙2易伤1暴击	1毒液对毒2掉矿3技能4暴击5基地爆炸69核7a易伤8低血量敌人
17	33611 53433	   	262.08	橙橙2易伤1暴击	1加农对甲2掉矿3技能4暴击5基地爆炸69核7a易伤8低血量敌人
18	66133 61133	   	262.08	橙橙2易伤1暴击	1立即金币2加农对毒3暴击4金币生成5a易伤6双倍秒伤7技能89核
19	66133 63133	   	261.83	橙橙2易伤1暴击1策反	1立即金币2加农对毒3暴击4金币生成5a易伤6双倍秒伤7策反89核
