0	Index      	 *	Score 	Summary	Detail	
1	65216 33333	 * 	282.07	DCR|DCR|1TLV|1LIT|1DMG|1CDMG|1DUR	1LWND|2ERES|3DUR|4TLV|5DMG|69RCR|7CDMG|8AAC|aLIT
2	14531 33622	 * 	281.29	DCR|2VULN|2TLV|2LIT|2DUR|1BBNT	1aDUR|2BBNT|3aLIT|4BASHEA|59VULN|6aTLV|7RCR|8DMSP|aBPWR
3	14531 33422	 * 	280.72	DCR|3TLV|2VULN|2LIT|2DUR|1BBNT	1aDUR|2BBNT|3aLIT|4BASHEA|59VULN|68aTLV|7RCR|aBPWR
4	12315 25142	 * 	275.14	DCR|3VULN|2TLV|1LIT|1BBNT|1DUR	1DUR|257VULN|3AME|49TLV|6LIT|8RCR|aBBNT
5	22163 43533	 * 	274.20	DCR|2VULN|2DMG|1TLV|1LIT|1CDMG|1DUR	1CDMG|2DUR|3LWND|47DMG|59VULN|6LIT|8TLV|aRCR
6	23164 22523	 * 	273.47	DCR|2TLV|1LIT|1VULN|1MLV|1DMG|1CDMG	1CDMG|2MLV|3DMG|4VULN|5LWND|68TLV|7LIT|9CGEN|aRCR
7	23166 22523	   	273.47	DCR|2TLV|1LIT|1VULN|1MLV|1DMG|1CDMG	1CDMG|2MLV|3DMG|4VULN|5BEXP|68TLV|7LIT|9CGEN|aRCR
8	23161 22523	   	273.37	DCR|2TLV|1LIT|1VULN|1MLV|1DMG|1CDMG	1CDMG|2MLV|3DMG|4VULN|5DUST|68TLV|7LIT|9CGEN|aRCR
9	23164 22533	   	273.37	DCR|2TLV|1LIT|1VULN|1MLV|1DMG|1CDMG	1CDMG|2MLV|3DMG|4VULN|5LWND|68TLV|7LIT|9AME|aRCR
10	23166 22533	   	273.37	DCR|2TLV|1LIT|1VULN|1MLV|1DMG|1CDMG	1CDMG|2MLV|3DMG|4VULN|5BEXP|68TLV|7LIT|9AME|aRCR
11	12333 45142	   	273.32	DCR|2VULN|2TLV|2LIT|1BBNT|1DUR	1DUR|27VULN|3AME|45LIT|69TLV|8RCR|aBBNT
12	14531 33423	   	273.32	DCR|2VULN|2TLV|2LIT|1BBNT|1DUR	1DUR|2BBNT|3aLIT|4BASHEA|59VULN|68TLV|7RCR
13	23161 22533	   	273.27	DCR|2TLV|1LIT|1VULN|1MLV|1DMG|1CDMG	1CDMG|2MLV|3DMG|4VULN|5DUST|68TLV|7LIT|9AME|aRCR
14	23161 22563	   	273.27	DCR|2TLV|1LIT|1VULN|1MLV|1DMG|1CDMG	1CDMG|2MLV|3DMG|4VULN|5DUST|68TLV|7LIT|9ERES|aRCR
15	65116 33333	   	272.40	DCR|DCR|1TLV|1LIT|1DMG|1CDMG	1LWND|2ERES|3BEXP|4TLV|5DMG|69RCR|7CDMG|8AAC|aLIT
16	12136 26333	 * 	271.37	DCR|2VULN|2TLV|1MLV|1DMG|2DUR	13DUR|26VULN|4LWND|5DMG|7RCR|8aTLV|9MLV
17	23165 42212	 * 	269.26	DCR|3DMG|1TLV|1LIT|1VULN|1MLV|1CDMG	1CDMG|2MLV|379DMG|4VULN|5LIT|6ERES|8RCR|aTLV
18	62331 23113	 * 	269.24	DCR|3VULN|2TLV|2MLV	134LWND|29aVULN|5FEWX|69MLV|79TLV|8RCR|9BPWR
19	23164 53332	 * 	267.88	DCR|2VULN|1TLV|1LIT|1MLV|1DMG|1CDMG	1CDMG|2MLV|3DMG|4aVULN|5LWND|6TBNT|7RCR|8TLV|9LIT
20	22223 22543	   	266.27	DCR|2VULN|1TLV|1LIT|1DMG|1CDMG|1DUR|1BBNT	1CDMG|2DUR|35VULN|4AAC|6LIT|7DMG|8TLV|9BBNT|aRCR
21	65216 33112	   	266.05	DCR|DCR|1TLV|1DMG|2DUR|1CDMG	1LWND|2ERES|39DUR|4TLV|5DMG|6aRCR|7CDMG|8AART
22	34522 12214	 * 	265.73	DCR|DCR|2VULN|1LIT|1ASPD|1BBNT	1DUST|2BBNT|3LIT|4ZMB|5ASPD|6aVULN|7BELT|89RCR
23	23433 25343	 * 	265.41	DCR|DCR|1LIT|1VULN|1MLV|1DMG|1CDMG	1CDMG|2MLV|3LHND|4LWND|5VULN|6FRZARM|7DMG|8LIT|9aRCR
24	12315 25141	   	265.38	DCR|3VULN|2TLV|1LIT|1DUR	1DUR|257VULN|3AME|49TLV|6LIT|8RCR|aMULARM
25	12315 25143	   	265.38	DCR|3VULN|2TLV|1LIT|1DUR	1DUR|257VULN|3AME|49TLV|6LIT|8RCR|aDUST
26	12315 26324	   	265.38	DCR|3VULN|2TLV|1LIT|1DUR	1DUR|258VULN|3AME|4aTLV|6LIT|7MSLFST|9RCR
27	12315 43324	   	265.38	DCR|3VULN|2TLV|1LIT|1DUR	1DUR|258VULN|3AME|4aTLV|6SNIHEL|7LIT|9RCR
28	23162 21343	   	265.31	DCR|DCR|1LIT|1VULN|1MLV|1DMG|1CDMG	1CDMG|2MLV|3DMG|4VULN|5TSLFST|6BEXP|7LHND|8LIT|9aRCR
