0	Index      	 *	Score 	Summary	Detail	
1	23335 26152	 * 	305.85	DCR|2VULN|2DMG|1TLV|1LIT|1MLV|2DUR|1CDMG	19DMG|2TLV|3AART|49DUR|5CDMG|6MLV|79VULN|8RCR|9BPWR|aLIT
2	13132 21622	 * 	297.77	DCR|2TLV|2LIT|1VULN|1MLV|1DMG|2DUR	1ZMB|29TLV|3BEXP|4DMG|59LIT|6VULN|79DUR|8RCR|9BPWR|aMLV
3	23122 21622	   	297.77	DCR|2TLV|2LIT|1VULN|1MLV|1DMG|2DUR	1DMG|29TLV|3BEXP|4ZMB|59LIT|6VULN|79DUR|8RCR|9BPWR|aMLV
4	23431 12415	 * 	293.07	DCR|2TLV|3DMG|1LIT|1VULN|1MLV	138DMG|26TLV|4MLV|5AAC|7LIT|9VULN|aRCR
5	16333 44213	 * 	289.91	DCR|4VULN|3DMG|1TLV	17ZMB|2TBNT|3678VULN|467DMG|5RPLT|67BPWR|9RCR|aTLV
6	26313 44213	   	289.81	DCR|4VULN|3DMG|1TLV	167DMG|2TBNT|3678VULN|4AAC|5RPLT|67BPWR|9RCR|aTLV
7	23325 23152	   	288.41	DCR|2VULN|2DMG|1TLV|1LIT|1MLV|1CDMG	19DMG|2TLV|3AART|49LWND|5CDMG|6MLV|79VULN|8RCR|9BPWR|aLIT
8	13522 26623	 * 	287.17	DCR|2VULN|2TLV|2LIT|1ASPD	1ZMB|29TLV|3DUR|4DUST|59VULN|6ASPD|79LIT|8RCR|9BPWR|aBBNT
9	23442 37333	 * 	284.45	DCR|DCR|2DMG|1TLV|1LIT	13DMG|2TLV|4MBVNT|5LIT|6AME|7MDPS|89RCR|aRPLT
10	13452 23622	   	280.24	DCR|2TLV|2LIT|1VULN|1MLV|1DMG	1ZMB|29TLV|3DMG|4DUST|59LIT|6VULN|79BEXP|8RCR|9BPWR|aMLV
11	23652 23622	   	280.24	DCR|2TLV|2LIT|1VULN|1MLV|1DMG	1DMG|29TLV|3ZMB|4DUST|59LIT|6VULN|79BEXP|8RCR|9BPWR|aMLV
12	13136 26622	   	280.14	DCR|2TLV|2LIT|1VULN|1MLV|1DMG	1ZMB|29TLV|3BEXP|4DMG|59DUST|6VULN|79LIT|8RCR|9BPWR|aMLV
13	23126 26622	   	280.14	DCR|2TLV|2LIT|1VULN|1MLV|1DMG	1DMG|29TLV|3BEXP|4ZMB|59DUST|6VULN|79LIT|8RCR|9BPWR|aMLV
14	23142 21362	   	279.33	DCR|2TLV|2LIT|1MLV|1DMG|2DUR|1ASPD	1DMG|29TLV|3BEXP|4LHND|59LIT|6ASPD|79DUR|8RCR|9BPWR|aMLV
15	23142 21363	   	279.24	DCR|2TLV|2LIT|1VULN|1DMG|2DUR|1ASPD	1DMG|29TLV|3BEXP|4LHND|59LIT|6ASPD|79DUR|8RCR|9BPWR|aVULN
16	13522 26621	   	277.50	DCR|2VULN|2TLV|2LIT|1ASPD	1ZMB|29TLV|3DUR|4DUST|59VULN|6ASPD|79LIT|8RCR|9BPWR|aBEXP
17	13522 26622	   	277.40	DCR|2VULN|2TLV|2LIT|1ASPD	1ZMB|29TLV|3DUR|4DUST|59VULN|6ASPD|79LIT|8RCR|9BPWR|aAME
18	26333 36241	 * 	276.37	DCR|3VULN|1TLV|1LIT|1MLV|1DMG	1DMG|2TBNT|359VULN|4LHND|6MLV|7LIT|8RCR|aTLV
19	23143 18336	   	276.34	DCR|DCR|2DMG|1TLV|1LIT	1aDMG|2TLV|3BEXP|4LHND|5MBVNT|6RMIN|7LIT|89RCR
20	13422 36335	   	276.14	DCR|DCR|1TLV|2DMG|1LIT	1ZMB|2TLV|3aDMG|4NUKE|5LIT|6AME|7MDPS|89RCR
21	23442 37332	   	276.14	DCR|DCR|2DMG|1TLV|1LIT	13DMG|2TLV|4MBVNT|5LIT|6AME|7MDPS|89RCR|aBELT
22	23622 36335	   	276.14	DCR|DCR|1TLV|2DMG|1LIT	1aDMG|2TLV|3ZMB|4NUKE|5LIT|6AME|7MDPS|89RCR
23	23442 37331	   	276.04	DCR|DCR|2DMG|1TLV|1LIT	13DMG|2TLV|4MBVNT|5LIT|6AME|7MDPS|89RCR|aDUST
