0	Index      	 *	Score 	Summary	Detail	
1	32556 32131	 * 	296.97	DCR|3LIT|2TLV|3ASPD|1VULN|1CDMG	13aASPD|2ERES|4aTLV|5CDMG|6RCR|7VULN|89aLIT|aBPWR
2	65213 32132	 * 	292.89	DCR|3VULN|3LIT|1TLV	1DUR|26aVULN|3BBNT|468LIT|5RMIN|6BPWR|7TLV|9RCR
3	32142 13143	 * 	291.80	ACR|DCR|2VULN|1TLV|1LIT|1RPLT|1ASPD	1ASPD|2ERES|3RPLT|4aRCR|5LSRHEA|68VULN|7LIT|9TLV
4	65333 11413	 * 	289.18	DCR|2VULN|2TLV|1LIT|1MLV|1ASPD	1DUR|29VULN|3BASARM|4MLV|5aTLV|6ASPD|7LIT|8RCR
5	65113 32132	   	288.79	DCR|3VULN|3LIT|1TLV	1DUR|26aVULN|3TBNT|468LIT|5RMIN|6BPWR|7TLV|9RCR
6	32142 13243	 * 	285.91	ACR|DCR|2LIT|1TLV|1VULN|1RPLT|1ASPD	1ASPD|2ERES|3RPLT|4aRCR|5LSRHEA|6VULN|78LIT|9TLV
7	34321 61343	 * 	284.63	DCR|2TLV|2MLV|1VULN|2ASPD|1RPLT	18ASPD|2RPLT|38MLV|4VULN|5DUR|6BBNT|78TLV|8BPWR|9RCR|aBEXP
8	34321 61341	   	284.53	DCR|2TLV|2MLV|1VULN|2ASPD|1RPLT	18ASPD|2RPLT|38MLV|4VULN|5DUR|6BBNT|78TLV|8BPWR|9RCR|aBASHEA
9	34321 61342	   	284.53	DCR|2TLV|2MLV|1VULN|2ASPD|1RPLT	18ASPD|2RPLT|38MLV|4VULN|5DUR|6BBNT|78TLV|8BPWR|9RCR|aMULHEA
10	65213 32633	   	283.42	DCR|3VULN|2LIT|1TLV	1DUR|26aVULN|3BBNT|46LIT|5RMIN|6BPWR|7TLV|8RCR|9RPLT
11	65113 32633	   	279.31	DCR|3VULN|2LIT|1TLV	1DUR|26aVULN|3TBNT|46LIT|5RMIN|6BPWR|7TLV|8RCR|9RPLT
12	65213 32134	   	279.06	DCR|3LIT|2VULN|1TLV	1DUR|26VULN|3BBNT|468LIT|5RMIN|6BPWR|7TLV|9RCR|aAART
13	11553 48213	 * 	278.65	DCR|2TLV|2MLV|1LIT|1VULN|2ASPD|1SELL	1MDPS|2aMLV|3SELL|4MBVNT|5aTLV|6VULN|7LIT|8aASPD|9RCR|aBPWR
14	65213 32131	   	278.52	DCR|3LIT|2VULN|1TLV|2DUR	1aDUR|26VULN|3BBNT|468LIT|5RMIN|6BPWR|7TLV|9RCR
15	33163 21246	 * 	278.12	ACR|DCR|2TLV|1VULN|2ASPD|1DMG	16ASPD|2aRCR|3DUR|4VULN|56TLV|6BPWR|7ERES|8DMG|9BEXP
16	33263 21266	   	278.12	ACR|DCR|2TLV|1VULN|2ASPD|1DMG	16ASPD|2aRCR|3BEXP|4VULN|56TLV|6BPWR|7ERES|8DMG|9DUR
17	33163 21266	   	278.02	ACR|DCR|2TLV|1VULN|2ASPD|1DMG	16ASPD|2aRCR|3DUR|4VULN|56TLV|6BPWR|7ERES|8DMG|9DUST
18	33452 16313	 * 	277.12	ACR|DCR|1TLV|1LIT|1VULN|1DMG|1ASPD	1ASPD|2aRCR|3LHND|4DMG|5VULN|6BBNT|7LIT|8MSLFST|9TLV
19	33452 31313	   	277.12	ACR|DCR|1TLV|1LIT|1VULN|1DMG|1ASPD	1ASPD|2aRCR|3LHND|4DMG|5VULN|6LIT|7BBNT|8MSLFST|9TLV
20	31361 13346	 * 	276.94	ACR|DCR|2VULN|1TLV|1MLV|1DMG|1ASPD	1ASPD|2FEWX|3aRCR|45VULN|6DMG|7DUST|8TLV|9MLV
21	33261 13346	   	276.94	ACR|DCR|2VULN|1TLV|1MLV|1DMG|1ASPD	1ASPD|2aRCR|3BEXP|45VULN|6DMG|7DUST|8TLV|9MLV
22	35255 23222	 * 	276.53	DCR|2TLV|2MLV|1LIT|2ASPD|1DMG	15ASPD|2DUST|3DMG|45TLV|5BPWR|69MLV|7DUR|8RCR|aLIT
23	42323 21255	 * 	276.09	DCR|DCR|1TLV|1LIT|1DMG|2DUR	1DUST|2LIT|3LWND|4DMG|5TLV|69DUR|7DLOT|8aRCR
24	65213 32251	   	275.01	DCR|3VULN|2LIT|1TLV	1DUR|26aVULN|3BBNT|46LIT|5RMIN|6BPWR|7TLV|8MULARM|9RCR
25	65113 32134	   	274.95	DCR|3LIT|2VULN|1TLV	1DUR|26VULN|3TBNT|468LIT|5RMIN|6BPWR|7TLV|9RCR|aAART
26	65113 32131	   	274.42	DCR|3LIT|2VULN|1TLV|2DUR	1aDUR|26VULN|3TBNT|468LIT|5RMIN|6BPWR|7TLV|9RCR
27	45213 32633	   	273.65	DCR|3VULN|2LIT|1TLV	1DUST|26aVULN|3BBNT|46LIT|5RMIN|6BPWR|7TLV|8RCR|9RPLT
28	65213 32621	 * 	273.52	DCR|2VULN|2TLV|2LIT	1DUR|26VULN|3BBNT|46LIT|5aRMIN|6BPWR|79TLV|8RCR
29	65213 32622	   	273.52	DCR|2VULN|2TLV|2LIT	1DUR|26VULN|3BBNT|46LIT|5RMIN|6BPWR|79TLV|8RCR|aRCVC
30	45213 32622	   	273.42	DCR|2VULN|2TLV|2LIT	1DUST|26VULN|3BBNT|46LIT|5RMIN|6BPWR|79TLV|8RCR|aDUR
31	65213 32623	   	273.42	DCR|2VULN|2TLV|2LIT	1DUR|26VULN|3BBNT|46LIT|5RMIN|6BPWR|79TLV|8RCR|aMDPS
32	65333 11411	 * 	271.88	DCR|2VULN|1TLV|1LIT|1MLV|1DMG|1ASPD	1DUR|29VULN|3BASARM|4MLV|5TLV|6ASPD|7LIT|8RCR|aDMG
33	32243 32131	 * 	271.29	DCR|3LIT|1TLV|1VULN|2ASPD|2CDMG	1aASPD|2ERES|3aCDMG|4RCVC|5TLV|6RCR|7VULN|89aLIT|aBPWR
34	32253 32131	   	271.29	DCR|3LIT|1TLV|1VULN|2ASPD|2CDMG	1aASPD|2ERES|3aCDMG|4DMSP|5TLV|6RCR|7VULN|89aLIT|aBPWR
35	32213 32131	   	271.19	DCR|3LIT|1TLV|1VULN|2ASPD|2CDMG	1aASPD|24ERES|3aCDMG|5TLV|6RCR|7VULN|89aLIT|aBPWR
36	65113 32251	   	270.91	DCR|3VULN|2LIT|1TLV	1DUR|26aVULN|3TBNT|46LIT|5RMIN|6BPWR|7TLV|8MULARM|9RCR
37	65213 32133	   	270.75	DCR|3LIT|2VULN|1TLV	1DUR|26VULN|3BBNT|468LIT|5RMIN|6BPWR|7TLV|9RCR|aFEWX
38	65213 32135	   	270.75	DCR|3LIT|2VULN|1TLV	1DUR|26VULN|3BBNT|468LIT|5RMIN|6BPWR|7TLV|9RCR|aLWND
39	65213 32136	   	270.75	DCR|3LIT|2VULN|1TLV	1DUR|26VULN|3BBNT|468LIT|5RMIN|6BPWR|7TLV|9RCR|aCGEN
40	45213 32131	   	270.65	DCR|3LIT|2VULN|1TLV	1DUST|26VULN|3BBNT|468LIT|5RMIN|6BPWR|7TLV|9RCR|aDUR
41	65213 32215	   	270.65	DCR|3LIT|2VULN|1TLV	1DUR|26VULN|3BBNT|469LIT|5RMIN|6BPWR|7TLV|8MULARM|aRCR
42	45113 32633	   	269.55	DCR|3VULN|2LIT|1TLV	1DUST|26aVULN|3TBNT|46LIT|5RMIN|6BPWR|7TLV|8RCR|9RPLT
43	65113 32621	   	269.41	DCR|2VULN|2TLV|2LIT	1DUR|26VULN|3TBNT|46LIT|5aRMIN|6BPWR|79TLV|8RCR
44	65113 32622	   	269.41	DCR|2VULN|2TLV|2LIT	1DUR|26VULN|3TBNT|46LIT|5RMIN|6BPWR|79TLV|8RCR|aRCVC
45	45113 32622	   	269.31	DCR|2VULN|2TLV|2LIT	1DUST|26VULN|3TBNT|46LIT|5RMIN|6BPWR|79TLV|8RCR|aDUR
46	65113 32623	   	269.31	DCR|2VULN|2TLV|2LIT	1DUR|26VULN|3TBNT|46LIT|5RMIN|6BPWR|79TLV|8RCR|aMDPS
47	45213 32133	   	269.30	DCR|3LIT|2VULN|1TLV	1DUST|26VULN|3BBNT|468LIT|5RMIN|6BPWR|7TLV|9RCR|aRPLT
48	45213 32134	   	269.30	DCR|3LIT|2VULN|1TLV	1DUST|26VULN|3BBNT|468LIT|5RMIN|6BPWR|7TLV|9RCR|aAART
49	31515 62322	 * 	268.73	DCR|DCR|2VULN|1LIT|2ASPD	13ASPD|25FEWX|45VULN|5BPWR|69RCR|7LHND|8BEXP|aLIT
50	31515 62122	   	268.63	DCR|DCR|2VULN|1LIT|2ASPD	13ASPD|25FEWX|45VULN|5BPWR|69RCR|7LHND|8DUST|aLIT
51	31363 21246	   	268.46	ACR|DCR|2TLV|1VULN|2ASPD|1DMG	16ASPD|2FEWX|3aRCR|4VULN|56TLV|6BPWR|7ERES|8DMG|9BEXP
52	31363 21266	   	268.36	ACR|DCR|2TLV|1VULN|2ASPD|1DMG	16ASPD|2FEWX|3aRCR|4VULN|56TLV|6BPWR|7ERES|8DMG|9DUST
53	42323 21245	   	268.22	DCR|DCR|1TLV|1LIT|1DMG	1DUST|2LIT|3LWND|4DMG|5TLV|6DUR|7DLOT|8aRCR|9AEFBLL
