0	Index      	 *	Score 	Summary	Detail	
1	36521 32421	 * 	321.68	ACR|DCR|2VULN|2TLV|2MLV|1RPLT	1aVULN|2RPLT|36MLV|49RCR|56TLV|6BPWR|7DUST|8BBNT
2	36521 32423	   	315.54	ACR|DCR|2TLV|2MLV|1VULN|1DMG|1RPLT	1VULN|2RPLT|36MLV|49RCR|56TLV|6BPWR|7DUST|8BBNT|aDMG
3	36413 32322	 * 	315.10	DCR|DCR|3VULN|1TLV|1RPLT	148VULN|2RPLT|3LWND|5BEXP|69RCR|7BBNT|aTLV
4	36213 32322	   	315.00	DCR|DCR|3VULN|1TLV|1RPLT	148VULN|2RPLT|3DUST|5BEXP|69RCR|7BBNT|aTLV
5	36215 32322	   	315.00	DCR|DCR|3VULN|1TLV|1RPLT	148VULN|2RPLT|3DUST|5LWND|69RCR|7BBNT|aTLV
6	36521 32422	 * 	311.73	ACR|DCR|3TLV|2MLV|1VULN|1RPLT	1VULN|2RPLT|36MLV|49RCR|56aTLV|6BPWR|7DUST|8BBNT
7	36521 43322	   	308.65	ACR|DCR|2VULN|2TLV|1MLV|1RPLT	18VULN|2RPLT|3MLV|49RCR|5aTLV|6LHND|7BBNT
8	36522 21421	   	308.65	ACR|DCR|2VULN|2TLV|1MLV|1RPLT	1aVULN|2RPLT|3MLV|49RCR|5FEWX|67TLV|8BBNT
9	36523 21421	   	308.65	ACR|DCR|2VULN|2TLV|1MLV|1RPLT	1aVULN|2RPLT|3MLV|49RCR|5LWND|67TLV|8BBNT
10	36523 23322	   	308.65	ACR|DCR|2VULN|2TLV|1MLV|1RPLT	18VULN|2RPLT|3MLV|49RCR|5LWND|6aTLV|7BBNT
11	36526 23322	   	308.65	ACR|DCR|2VULN|2TLV|1MLV|1RPLT	18VULN|2RPLT|3MLV|49RCR|5BEXP|6aTLV|7BBNT
12	36521 21421	   	308.55	ACR|DCR|2VULN|2TLV|1MLV|1RPLT	1aVULN|2RPLT|3MLV|49RCR|57TLV|6LEGI|8BBNT
13	36521 23322	   	308.55	ACR|DCR|2VULN|2TLV|1MLV|1RPLT	18VULN|2RPLT|3MLV|49RCR|5aTLV|6LEGI|7BBNT
14	36332 32322	 * 	308.33	DCR|DCR|2VULN|1TLV|1MLV|1RPLT	18VULN|2RPLT|3CGEN|4LWND|5MLV|69RCR|7BBNT|aTLV
15	36442 32322	   	308.33	DCR|DCR|2VULN|1TLV|1MLV|1RPLT	18VULN|2RPLT|3LWND|4RMIN|5MLV|69RCR|7BBNT|aTLV
16	36242 32322	   	308.23	DCR|DCR|2VULN|1TLV|1MLV|1RPLT	18VULN|2RPLT|3DUST|4RMIN|5MLV|69RCR|7BBNT|aTLV
17	36362 32322	   	308.23	DCR|DCR|2VULN|1TLV|1MLV|1RPLT	18VULN|2RPLT|3CGEN|4DUST|5MLV|69RCR|7BBNT|aTLV
18	36515 32322	   	308.23	DCR|DCR|2VULN|1TLV|1MLV|1RPLT	18VULN|2RPLT|3MLV|4AME|5LWND|69RCR|7BBNT|aTLV
