0	Index      	 *	Score 	Summary	Detail	
1	22254 12352	 * 	307.92	DCR|DCR|2LIT|1TLV|3DUR|1MLV	1BBNT|239DUR|4MLV|59LIT|68RCR|79BEXP|9BPWR|aTLV
2	11243 12125	 * 	307.41	DCR|3VULN|2TLV|2DMG|1MLV|1ASPD	1ASPD|24aVULN|3FLTHEA|5MLV|6aDMG|7RCR|8LWND|9aTLV|aBPWR
3	11243 12225	   	307.41	DCR|3VULN|2TLV|2DMG|1MLV|1ASPD	1ASPD|24aVULN|3FLTHEA|5MLV|6aDMG|7RCR|8LHND|9aTLV|aBPWR
4	11243 12525	   	307.41	DCR|3VULN|2TLV|2DMG|1MLV|1ASPD	1ASPD|24aVULN|3FLTHEA|5MLV|6aDMG|7RCR|8FEWX|9aTLV|aBPWR
5	11263 12125	   	307.41	DCR|3VULN|2TLV|2DMG|1MLV|1ASPD	1ASPD|24aVULN|34FLTHEA|4aBPWR|5MLV|6aDMG|7RCR|8LWND|9aTLV
6	11263 12225	   	307.41	DCR|3VULN|2TLV|2DMG|1MLV|1ASPD	1ASPD|24aVULN|34FLTHEA|4aBPWR|5MLV|6aDMG|7RCR|8LHND|9aTLV
7	11263 12525	   	307.41	DCR|3VULN|2TLV|2DMG|1MLV|1ASPD	1ASPD|24aVULN|34FLTHEA|4aBPWR|5MLV|6aDMG|7RCR|8FEWX|9aTLV
8	21323 12214	 * 	306.65	DCR|DCR|2VULN|1TLV|1LIT	1BBNT|2ERES|3LIT|45VULN|6aRCR|7BEXP|8FEWX|9TLV
9	21323 13214	   	306.65	DCR|DCR|2VULN|1TLV|1LIT	1BBNT|2ERES|3LIT|45VULN|6aRCR|7LWND|8FEWX|9TLV
10	21323 14214	   	306.65	DCR|DCR|2VULN|1TLV|1LIT	1BBNT|2ERES|3LIT|45VULN|6aRCR|7LHND|8FEWX|9TLV
11	21424 12214	   	306.65	DCR|DCR|2VULN|1TLV|1LIT	1BBNT|2ERES|34VULN|5LIT|6aRCR|7BEXP|8FEWX|9TLV
12	21424 13214	   	306.65	DCR|DCR|2VULN|1TLV|1LIT	1BBNT|2ERES|34VULN|5LIT|6aRCR|7LWND|8FEWX|9TLV
13	25323 12314	   	306.65	DCR|DCR|2VULN|1TLV|1LIT	1BBNT|2AME|3LIT|45VULN|6aRCR|7BEXP|8FEWX|9TLV
14	25323 13314	   	306.65	DCR|DCR|2VULN|1TLV|1LIT	1BBNT|2AME|3LIT|45VULN|6aRCR|7LWND|8FEWX|9TLV
15	25323 14314	   	306.65	DCR|DCR|2VULN|1TLV|1LIT	1BBNT|2AME|3LIT|45VULN|6aRCR|7LHND|8FEWX|9TLV
16	63323 12214	   	302.55	DCR|DCR|2VULN|1TLV|1LIT	1ERES|2TBNT|3LIT|45VULN|6aRCR|7BEXP|8FEWX|9TLV
17	63323 13214	   	302.55	DCR|DCR|2VULN|1TLV|1LIT	1ERES|2TBNT|3LIT|45VULN|6aRCR|7LWND|8FEWX|9TLV
18	63323 14214	   	302.55	DCR|DCR|2VULN|1TLV|1LIT	1ERES|2TBNT|3LIT|45VULN|6aRCR|7LHND|8FEWX|9TLV
19	22213 52414	   	297.98	DCR|DCR|1TLV|1LIT|1VULN|2DUR	1BBNT|23DUR|4VULN|5CGEN|6LHND|7aRCR|8LIT|9TLV
20	61243 12125	   	293.66	DCR|3VULN|2TLV|2DMG|1MLV	1ERES|24aVULN|3LSRREG|5MLV|6aDMG|7RCR|8LWND|9aTLV|aBPWR
21	61243 12225	   	293.66	DCR|3VULN|2TLV|2DMG|1MLV	1ERES|24aVULN|3LSRREG|5MLV|6aDMG|7RCR|8LHND|9aTLV|aBPWR
22	16112 22366	 * 	292.95	DCR|2VULN|2TLV|1LIT|2ASPD|1CDMG	19ASPD|2CDMG|39VULN|4DUR|5BBNT|6AME|79TLV|8RCR|9BPWR|aLIT
23	13221 22366	   	288.85	DCR|2VULN|2TLV|1LIT|2ASPD|1CDMG	19ASPD|2TBNT|3DUR|49VULN|5CDMG|6AME|79TLV|8RCR|9BPWR|aLIT
24	13424 13241	 * 	287.45	DCR|3VULN|2LIT|1TLV|2ASPD	17ASPD|2TBNT|347VULN|57LIT|6RCR|7BPWR|8ERES|9BELT|aTLV
25	11223 62623	   	285.96	DCR|DCR|1TLV|1VULN|1DMG|1ASPD|1CDMG	1ASPD|2VULN|3FLTHEA|4DMG|5CDMG|68RCR|7CGEN|9MSLTOX|aTLV
26	11223 62633	   	285.96	DCR|DCR|1TLV|1VULN|1DMG|1ASPD|1CDMG	1ASPD|2VULN|3FLTHEA|4DMG|5CDMG|68RCR|7CGEN|9FLTARM|aTLV
27	11223 62663	   	285.96	DCR|DCR|1TLV|1VULN|1DMG|1ASPD|1CDMG	1ASPD|2VULN|3FLTHEA|4DMG|5CDMG|68RCR|7CGEN|9LSRHEA|aTLV
28	11223 63663	   	285.86	DCR|DCR|1TLV|1VULN|1DMG|1ASPD|1CDMG	1ASPD|2VULN|3FLTHEA|4DMG|5CDMG|68RCR|7ERES|9LSRHEA|aTLV
29	11614 12125	   	285.27	DCR|2VULN|2TLV|2DMG|1MLV|1ASPD	1ASPD|2aVULN|3MLV|4RCVC|5FRZFST|6aDMG|7RCR|8LWND|9aTLV|aBPWR
30	11614 12225	   	285.27	DCR|2VULN|2TLV|2DMG|1MLV|1ASPD	1ASPD|2aVULN|3MLV|4RCVC|5FRZFST|6aDMG|7RCR|8LHND|9aTLV|aBPWR
31	22254 12351	 * 	284.37	DCR|DCR|3LIT|2MLV|3DUR	1BBNT|239DUR|4aMLV|59aLIT|68RCR|79aBEXP|9aBPWR
32	16122 22366	   	283.29	DCR|2VULN|2TLV|1LIT|2ASPD|1CDMG	19ASPD|2CDMG|39VULN|4LHND|5BBNT|6AME|79TLV|8RCR|9BPWR|aLIT
33	16112 22362	   	280.93	DCR|2VULN|2TLV|2ASPD|1DMG|1CDMG	19ASPD|2CDMG|39VULN|4DUR|5BBNT|6AME|79TLV|8RCR|9BPWR|aDMG
34	31221 56432	   	280.61	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	17DUST|2DMG|3RCVC|4RPLT|5ASPD|69RCR|8VULN|aTLV
35	21325 12214	   	280.45	DCR|DCR|1TLV|1LIT|1VULN	1BBNT|2ERES|3LIT|4VULN|5RCVC|6aRCR|7BEXP|8FEWX|9TLV
36	21325 13214	   	280.45	DCR|DCR|1TLV|1LIT|1VULN	1BBNT|2ERES|3LIT|4VULN|5RCVC|6aRCR|7LWND|8FEWX|9TLV
37	21325 14214	   	280.45	DCR|DCR|1TLV|1LIT|1VULN	1BBNT|2ERES|3LIT|4VULN|5RCVC|6aRCR|7LHND|8FEWX|9TLV
38	21434 12214	   	280.45	DCR|DCR|1TLV|1LIT|1VULN	1BBNT|2ERES|3VULN|4RCVC|5LIT|6aRCR|7BEXP|8FEWX|9TLV
39	21434 13214	   	280.45	DCR|DCR|1TLV|1LIT|1VULN	1BBNT|2ERES|3VULN|4RCVC|5LIT|6aRCR|7LWND|8FEWX|9TLV
40	25325 12314	   	280.45	DCR|DCR|1TLV|1LIT|1VULN	1BBNT|2AME|3LIT|4VULN|5RCVC|6aRCR|7BEXP|8FEWX|9TLV
41	25325 13314	   	280.45	DCR|DCR|1TLV|1LIT|1VULN	1BBNT|2AME|3LIT|4VULN|5RCVC|6aRCR|7LWND|8FEWX|9TLV
42	21366 12214	   	280.34	DCR|DCR|1TLV|1LIT|1VULN	1BBNT|24ERES|3LIT|5VULN|6aRCR|7BEXP|8FEWX|9TLV
43	21366 13214	   	280.34	DCR|DCR|1TLV|1LIT|1VULN	1BBNT|24ERES|3LIT|5VULN|6aRCR|7LWND|8FEWX|9TLV
44	13321 24577	   	279.09	DCR|2VULN|2TLV|1LIT|2ASPD|1CDMG	19ASPD|2TBNT|3MBVNT|49VULN|5CDMG|6AME|7RCR|89TLV|9BPWR|aLIT
