0	Index      	 *	Score 	Summary	Detail	
1	51131 13514	 * 	301.27	DCR|DCR|2VULN|1LIT|1MLV|1DMG|1ASPD	1ZMB|2BBNT|3ASPD|4DMG|5LIT|68RCR|7aVULN|9MLV
2	31432 33434	 * 	300.28	DCR|DCR|2VULN|1TLV|1DMG	18CGEN|2BBNT|3TLV|4TBNT|5aVULN|67RCR|9DMG
3	63333 36124	   	299.12	DCR|DCR|1TLV|1VULN|1DMG|1RPLT|1CDMG	1CDMG|2RPLT|3VULN|4LHND|5AAC|6DMG|7TLV|8aRCR|9AART
4	51131 13543	 * 	298.55	DCR|DCR|2VULN|1LIT|2ASPD|1DMG	19ZMB|2BBNT|39ASPD|4DMG|5LIT|68RCR|79VULN|9BPWR|aLWND
5	51131 13541	   	298.45	DCR|DCR|2VULN|1LIT|2ASPD|1DMG	19ZMB|2BBNT|39ASPD|4DMG|5LIT|68RCR|79VULN|9BPWR|aMBVNT
6	51131 13542	   	298.45	DCR|DCR|2VULN|1LIT|2ASPD|1DMG	19ZMB|2BBNT|39ASPD|4DMG|5LIT|68RCR|79VULN|9BPWR|aERES
7	31432 33123	   	298.18	DCR|DCR|2VULN|1TLV	1CGEN|2BBNT|3TLV|4TBNT|5aVULN|67RCR|8RPLT|9DUR
8	63333 26124	   	292.70	DCR|DCR|1TLV|1VULN|1RPLT|1ASPD|1CDMG	1CDMG|2RPLT|3VULN|4LHND|5AAC|6ASPD|7TLV|8aRCR|9AART
9	24243 21113	 * 	292.64	DCR|DCR|1TLV|1LIT|1VULN|1CDMG	1AART|2BEXP|3CDMG|4MSLFST|5TLV|6VULN|7aRCR|8MULHEA|9LIT
10	24243 21613	   	292.64	DCR|DCR|1TLV|1LIT|1VULN|1CDMG	1AART|2BEXP|3CDMG|4MSLFST|5TLV|6VULN|7aRCR|8LIT|9LSRHEA
11	31432 33121	   	292.04	DCR|DCR|1TLV|1VULN|1DMG	1CGEN|2BBNT|3TLV|4TBNT|5VULN|67RCR|8RPLT|9DUR|aDMG
12	31431 33355	 * 	289.45	DCR|DCR|1TLV|1LIT|1MLV|1DMG	1CGEN|2BBNT|3TLV|4TBNT|5LHND|67RCR|8MLV|9DMG|aLIT
13	51131 13516	   	288.72	DCR|DCR|1LIT|1VULN|1MLV|1DMG|1ASPD|1CDMG	1ZMB|2BBNT|3ASPD|4DMG|5LIT|68RCR|7VULN|9MLV|aCDMG
14	31432 33113	   	288.42	DCR|DCR|2VULN|1TLV	1CGEN|2BBNT|3TLV|4TBNT|5aVULN|67RCR|8RPLT|9MBVNT
15	31432 33133	   	288.42	DCR|DCR|2VULN|1TLV	1CGEN|2BBNT|3TLV|4TBNT|5aVULN|67RCR|8RPLT|9DUST
16	33561 13313	 * 	287.87	DCR|2VULN|1TLV|1LIT|2ASPD|1DMG|2CDMG	1CGEN|2aCDMG|3LIT|4TLV|5aVULN|6DMG|7RPLT|8RCR|9aASPD|aBPWR
17	21312 65333	 * 	287.11	DCR|3VULN|2TLV|2MLV	1AART|2aTLV|3BBNT|4AME|57aVULN|6BELT|8aMLV|9RCR|aBPWR
18	31432 33235	   	286.10	DCR|DCR|1TLV|1LIT|1VULN	1CGEN|2BBNT|3TLV|4TBNT|5VULN|67RCR|89BEXP|aLIT
19	31436 33316	   	286.00	DCR|DCR|1TLV|1LIT|1VULN	1CGEN|2BBNT|3TLV|4TBNT|5BEXP|67RCR|8AME|9LIT|aVULN
20	51131 13524	   	285.90	DCR|DCR|2VULN|1LIT|1DMG|1ASPD	1ZMB|2BBNT|3ASPD|4DMG|5LIT|68RCR|7aVULN|9CGEN
21	51131 13535	   	285.80	DCR|DCR|2VULN|1LIT|1DMG|1ASPD	1ZMB|2BBNT|3ASPD|4DMG|5LIT|68RCR|7aVULN|9DUST
22	31432 33124	   	285.63	DCR|DCR|1TLV|1VULN|1ASPD	1CGEN|2BBNT|3TLV|4TBNT|5VULN|67RCR|8RPLT|9DUR|aASPD
