0	Index      	 *	Score 	Summary	Detail	
1	32533 33232	 * 	300.98	DCR|DCR|2TLV|1VULN|1MLV	1BELT|2BASARM|3DLOT|4BBNT|58TLV|6aRCR|7VULN|9MLV
2	23225 35231	 * 	299.06	DCR|3VULN|2LIT|1TLV|1DMG|1ASPD	127VULN|3DMG|4BBNT|59LIT|6RCR|8ASPD|aTLV
3	63231 11424	 * 	298.34	DCR|2TLV|2LIT|1VULN|1MLV|1DMG|1RPLT	1RPLT|25TLV|3DMG|4MLV|6ERES|79LIT|8RCR|aVULN
4	23225 35221	 * 	296.34	DCR|3VULN|1TLV|2DMG|1LIT|1ASPD	127VULN|39DMG|4BBNT|5LIT|6RCR|8ASPD|aTLV
5	23265 35231	   	294.96	DCR|3VULN|2LIT|1TLV|1DMG|1ASPD	127VULN|3DMG|4TBNT|59LIT|6RCR|8ASPD|aTLV
6	23265 35221	   	292.23	DCR|3VULN|1TLV|2DMG|1LIT|1ASPD	127VULN|39DMG|4TBNT|5LIT|6RCR|8ASPD|aTLV
7	63231 11435	   	291.68	DCR|2TLV|1LIT|1VULN|1MLV|1DMG|1RPLT|1CDMG	1RPLT|25TLV|3DMG|4MLV|6ERES|7LIT|8RCR|9CDMG|aVULN
8	23225 35211	 * 	291.20	DCR|3VULN|1TLV|1LIT|2ASPD|1DMG	127VULN|3DMG|4BBNT|5LIT|6RCR|89ASPD|aTLV
9	63231 11416	   	287.69	DCR|2TLV|1LIT|1VULN|1MLV|1DMG|1RPLT	1RPLT|25TLV|3DMG|4MLV|6ERES|7LIT|8RCR|9DUR|aVULN
10	23265 35211	   	287.10	DCR|3VULN|1TLV|1LIT|2ASPD|1DMG	127VULN|3DMG|4TBNT|5LIT|6RCR|89ASPD|aTLV
11	23212 46162	 * 	287.07	DCR|DCR|4VULN|1MLV|1DMG	1256VULN|3DMG|4LWND|7AIRARM|8MLV|9aRCR
12	23225 35253	   	287.05	DCR|3VULN|1TLV|1LIT|1DMG|1ASPD	127VULN|3DMG|4BBNT|5LIT|6RCR|8ASPD|9TLV|aRPLT
13	23232 62321	   	286.67	DCR|3VULN|2DMG|1TLV|1LIT|1CDMG	127VULN|36DMG|4LIT|5CDMG|8RCR|9TLV|aBEXP
14	23232 62322	   	286.67	DCR|3VULN|2DMG|1TLV|1LIT|1CDMG	127VULN|36DMG|4LIT|5CDMG|8RCR|9TLV|aLWND
15	23232 62326	   	286.67	DCR|3VULN|2DMG|1TLV|1LIT|1CDMG	127VULN|36DMG|4LIT|5CDMG|8RCR|9TLV|aCGEN
16	23232 62323	   	286.57	DCR|3VULN|2DMG|1TLV|1LIT|1CDMG	127VULN|36DMG|4LIT|5CDMG|8RCR|9TLV|aDUST
17	23232 62324	   	286.57	DCR|3VULN|2DMG|1TLV|1LIT|1CDMG	127VULN|36DMG|4LIT|5CDMG|8RCR|9TLV|aLEGI
18	23232 62343	   	286.57	DCR|3VULN|2DMG|1TLV|1LIT|1CDMG	127VULN|36DMG|4LIT|5CDMG|8RCR|9MDPS|aTLV
19	23214 62312	 * 	285.64	DCR|3VULN|2TLV|1LIT|1DMG	12aVULN|3DMG|4LWND|59TLV|6LIT|7RCR|8DUR
20	23254 62312	   	285.64	DCR|3VULN|2TLV|1LIT|1DMG	12aVULN|3DMG|4LHND|59TLV|6LIT|7RCR|8DUR
21	23225 36141	   	285.46	DCR|2VULN|2TLV|1LIT|1DMG|1CDMG	12VULN|3DMG|4BBNT|5LIT|6RCR|7CDMG|89TLV|aRPLT
22	23232 63321	 * 	284.85	DCR|2VULN|2LIT|2DMG|1TLV|1CDMG	12VULN|36DMG|47LIT|5CDMG|8RCR|9TLV|aBEXP
23	23232 63322	   	284.85	DCR|2VULN|2LIT|2DMG|1TLV|1CDMG	12VULN|36DMG|47LIT|5CDMG|8RCR|9TLV|aLWND
24	23232 63326	   	284.85	DCR|2VULN|2LIT|2DMG|1TLV|1CDMG	12VULN|36DMG|47LIT|5CDMG|8RCR|9TLV|aCGEN
25	23242 11462	 * 	284.76	DCR|DCR|2VULN|1TLV|1DMG	12VULN|3DMG|4AEFBLL|5MSLFST|6ERES|7CGEN|8TLV|9aRCR
26	23232 63323	   	284.75	DCR|2VULN|2LIT|2DMG|1TLV|1CDMG	12VULN|36DMG|47LIT|5CDMG|8RCR|9TLV|aDUST
27	23232 63324	   	284.75	DCR|2VULN|2LIT|2DMG|1TLV|1CDMG	12VULN|36DMG|47LIT|5CDMG|8RCR|9TLV|aLEGI
28	23232 63343	   	284.75	DCR|2VULN|2LIT|2DMG|1TLV|1CDMG	12VULN|36DMG|47LIT|5CDMG|8RCR|9MDPS|aTLV
29	23225 36142	   	283.47	DCR|2VULN|2TLV|1LIT|1DMG|2CDMG	12VULN|3DMG|4BBNT|5LIT|6RCR|7aCDMG|89TLV
30	21622 12336	 * 	282.36	DCR|2VULN|2LIT|1TLV|3DUR|1MLV	17VULN|2MLV|37LIT|4BBNT|567DUR|7BPWR|8CGEN|9TLV|aRCR
31	21622 12616	   	282.36	DCR|2VULN|2LIT|1TLV|3DUR|1MLV	17VULN|2MLV|37LIT|4BBNT|567DUR|7BPWR|8TLV|9CGEN|aRCR
32	21622 12624	   	282.26	DCR|2VULN|2LIT|1TLV|1MLV|3DUR	17VULN|2MLV|37LIT|4BBNT|567DUR|7BPWR|8TLV|9VENTOX|aRCR
33	63231 32461	 * 	281.77	DCR|3TLV|3MLV|1DMG|1RPLT	1RPLT|258TLV|3DMG|478MLV|68BLASTR|8BPWR|9RCR|aDUR
34	21151 61232	 * 	280.72	DCR|2VULN|2TLV|2MLV|1DMG|1CDMG	17VULN|27MLV|3CDMG|4DUST|57TLV|6BELT|7BPWR|8FEWX|9DMG|aRCR
35	21151 61332	   	280.72	DCR|2VULN|2TLV|2MLV|1DMG|1CDMG	17VULN|27MLV|3CDMG|4DUST|57TLV|6BELT|7BPWR|8LHND|9DMG|aRCR
36	23214 62152	 * 	280.47	DCR|3VULN|1TLV|1LIT|1MLV|1DMG	12aVULN|3DMG|4LWND|5TLV|6LIT|7RCR|8BBNT|9MLV
37	63231 11423	 * 	279.28	DCR|2TLV|2LIT|2MLV|1DMG|1RPLT	1RPLT|25TLV|3DMG|4aMLV|6ERES|79LIT|8RCR
38	63231 51423	   	279.28	DCR|2TLV|2LIT|2MLV|1DMG|1RPLT	1RPLT|25TLV|3DMG|4aMLV|6AME|79LIT|8RCR
