0	Index      	 *	Score 	Summary	Detail	
1	12512 64332	 * 	315.88	DCR|DCR|1TLV|1LIT|1VULN|1MLV|1DMG	1MDPS|2LHND|3LIT|4MLV|5DUR|68RCR|7TLV|9DMG|aVULN
2	14425 12321	 * 	315.16	DCR|DCR|2VULN|2TLV|2CDMG	17MDPS|2RCVC|39CDMG|49VULN|59TLV|68RCR|9BPWR|aDUR
3	11153 64321	 * 	311.29	DCR|DCR|2TLV|1LIT|1VULN|1DMG	1MDPS|2VULN|3DUST|4RMIN|5LIT|68RCR|7aTLV|9DMG
4	11531 64331	   	311.29	DCR|DCR|2TLV|1LIT|1VULN|1DMG	1MDPS|2VULN|3LIT|4AME|5LHND|68RCR|7aTLV|9DMG
5	14425 12322	   	305.50	DCR|DCR|2VULN|2TLV|2CDMG	17MDPS|2RCVC|39CDMG|49VULN|59TLV|68RCR|9BPWR|aMGNLIT
6	14425 12323	   	305.50	DCR|DCR|2VULN|2TLV|2CDMG	17MDPS|2RCVC|39CDMG|49VULN|59TLV|68RCR|9BPWR|aLWND
7	33121 36485	 * 	300.34	ACR|DCR|3TLV|2VULN|2LIT	1AAC|24aTLV|39RCR|5MBVNT|6aLIT|7NUKE|8aVULN|aBPWR
8	32455 32321	   	291.79	DCR|2VULN|2TLV|2LIT|1DMG|2DUR	16AAC|29LIT|39VULN|4DMG|5aDUR|79TLV|8RCR|9BPWR
9	12153 64332	   	290.75	DCR|DCR|1TLV|1LIT|1VULN|1DMG	1MDPS|2LHND|3DUST|4RMIN|5LIT|68RCR|7TLV|9DMG|aVULN
10	11153 64322	   	290.65	DCR|DCR|1TLV|1LIT|1VULN|1DMG	1MDPS|2VULN|3DUST|4RMIN|5LIT|68RCR|7TLV|9DMG|aAIRARM
11	11153 64323	   	290.65	DCR|DCR|1TLV|1LIT|1VULN|1DMG	1MDPS|2VULN|3aDUST|4RMIN|5LIT|68RCR|7TLV|9DMG
12	11531 64332	   	290.65	DCR|DCR|1TLV|1LIT|1VULN|1DMG	1MDPS|2VULN|3LIT|4AME|5LHND|68RCR|7TLV|9DMG|aTSLFST
13	11531 64333	   	290.65	DCR|DCR|1TLV|1LIT|1VULN|1DMG	1MDPS|2VULN|3LIT|4AME|5LHND|68RCR|7TLV|9DMG|aDUST
14	12512 64331	   	289.35	DCR|DCR|1TLV|1LIT|1MLV|1DMG	1MDPS|2LHND|3LIT|4MLV|5DUR|68RCR|7TLV|9DMG|aTBNT
15	22786 33412	   	288.75	DCR|DCR|1TLV|1LIT|1VULN	1AART|2MBVNT|3CGEN|4AAC|5LIT|6TLV|7BBNT|89RCR|aVULN
16	22166 53412	   	288.65	DCR|DCR|1TLV|1LIT|1VULN	1AART|2MBVNT|3ERES|4TLV|5LIT|6ZMB|7BBNT|89RCR|aVULN
17	32143 61141	   	287.05	DCR|2VULN|2TLV|2LIT|1ASPD|1CDMG	1AAC|2aLIT|3TBNT|4AME|5aTLV|6RCR|7ASPD|8CDMG|9aVULN|aBPWR
