0	Index      	 *	Score 	Summary	Detail	
1	32211 12456	 * 	312.35	DCR|DCR|2TLV|1MLV|1DMG|1ASPD|1CDMG	1CDMG|23TLV|4DMG|5ZMB|6ASPD|7aRCR|8TBNT|9MLV
2	31621 21531	 * 	294.51	DCR|2VULN|2LIT|2DMG|1TLV|1CDMG	1CDMG|26LIT|35DMG|49VULN|7TLV|8RCR|aDUR
3	33333 56125	 * 	294.19	DCR|DCR|1TLV|1VULN|1MLV|1DMG|2CDMG	12CDMG|3FEWX|4BEXP|5MLV|6aRCR|7TLV|8VULN|9DMG
4	31146 21531	 * 	293.79	DCR|2TLV|2LIT|1VULN|1MLV|1DMG|1CDMG	1CDMG|26LIT|3MLV|4DMG|5RMIN|7aTLV|8RCR|9VULN
5	31621 21534	   	291.16	DCR|2VULN|2LIT|2DMG|1TLV|2CDMG	1aCDMG|26LIT|35DMG|49VULN|7TLV|8RCR
6	16142 31234	 * 	287.09	DCR|3LIT|2VULN|1TLV|2ASPD	1BBNT|2FLTARM|35VULN|457LIT|5BPWR|6aASPD|8TLV|9RCR
7	16632 31234	   	287.09	DCR|3LIT|2VULN|1TLV|2ASPD	1BBNT|2FLTARM|357LIT|45VULN|5BPWR|6aASPD|8TLV|9RCR
8	32221 12235	   	286.73	DCR|DCR|2TLV|1MLV|1ASPD|1CDMG	1CDMG|23TLV|4MLV|5ZMB|6ASPD|7aRCR|8LHND|9LWND
9	32221 12565	   	286.73	DCR|DCR|2TLV|1MLV|1ASPD|1CDMG	1CDMG|23TLV|4MLV|5ZMB|6ASPD|7aRCR|8LWND|9FEWX
10	32221 12335	   	286.63	DCR|DCR|2TLV|1MLV|1ASPD|1CDMG	1CDMG|23TLV|4MLV|5ZMB|6ASPD|7aRCR|8DUST|9LWND
11	51333 51211	 * 	286.57	ACR|DCR|2TLV|1LIT|1VULN|1MLV	1LWND|2VULN|3BELT|4aRCR|5FEWX|69TLV|7LIT|8MLV
12	32221 12364	   	286.53	DCR|DCR|2TLV|1MLV|1ASPD|1CDMG	1CDMG|23TLV|4MLV|5ZMB|6ASPD|7aRCR|8DUST|9MBVNT
13	51332 51211	   	286.47	ACR|DCR|2TLV|1LIT|1VULN|1MLV	1LWND|2VULN|3BELT|4aRCR|5DUST|69TLV|7LIT|8MLV
14	51341 51211	   	286.47	ACR|DCR|2TLV|1LIT|1VULN|1MLV	1LWND|2VULN|3BELT|4DUST|5aRCR|69TLV|7LIT|8MLV
15	31621 21532	   	284.85	DCR|2VULN|2LIT|2DMG|1TLV|1CDMG	1CDMG|26LIT|35DMG|49VULN|7TLV|8RCR|aCGEN
16	31621 21533	   	284.85	DCR|2VULN|2LIT|2DMG|1TLV|1CDMG	1CDMG|26LIT|35DMG|49VULN|7TLV|8RCR|aZMB
17	31621 21535	   	284.85	DCR|2VULN|2LIT|2DMG|1TLV|1CDMG	1CDMG|26LIT|35DMG|49VULN|7TLV|8RCR|aLHND
18	31621 21536	   	284.75	DCR|2VULN|2LIT|2DMG|1TLV|1CDMG	1CDMG|26LIT|35DMG|49VULN|7TLV|8RCR|aAIRHEA
19	31621 21542	   	284.75	DCR|2VULN|2LIT|2DMG|1TLV|1CDMG	1CDMG|26LIT|35DMG|4aVULN|7TLV|8RCR|9ERES
20	16142 31235	   	284.30	DCR|3LIT|2VULN|1TLV|1ASPD	1BBNT|2FLTARM|35VULN|457LIT|5BPWR|6ASPD|8TLV|9RCR|aDUR
21	16632 31235	   	284.30	DCR|3LIT|2VULN|1TLV|1ASPD	1BBNT|2FLTARM|357LIT|45VULN|5BPWR|6ASPD|8TLV|9RCR|aDUR
