0	Index      	 *	Score 	Summary	Detail	
1	16263 33341	 * 	198.91	DCR|2AART|2VULN|1DMG|2CDMG|2DUR|1ASPD	1aAART|28CDMG|38VULN|4DMG|5ERES|68DUR|7RCR|8BPWR|9ASPD
2	16235 13341	   	193.51	DCR|2AART|2VULN|1DMG|2CDMG|1DUR|1ASPD	1aAART|28CDMG|38VULN|4DUR|5DMG|68ERES|7RCR|8BPWR|9ASPD
3	16235 23341	   	193.51	DCR|2AART|2VULN|1DMG|2CDMG|1DUR|1ASPD	1aAART|28CDMG|38VULN|4DUR|5DMG|68TLV|7RCR|8BPWR|9ASPD
4	16262 13332	 * 	193.01	DCR|2VULN|2DMG|1AART|2ASPD|1CDMG	1AART|2CDMG|38VULN|4aDMG|59ASPD|6CGEN|7RCR
5	16262 53232	   	192.91	DCR|2VULN|2DMG|1AART|1CDMG|2ASPD	1AART|2CDMG|36VULN|4aDMG|59ASPD|7RCR|8ERES
6	16263 13631	 * 	191.97	DCR|2AART|2DMG|1VULN|2CDMG|2DUR	1aAART|29CDMG|3VULN|49DMG|5ERES|6CGEN|7RCR|89DUR|9BPWR
7	16262 13331	 * 	191.08	DCR|3VULN|1AART|1DMG|2ASPD|1CDMG	1AART|2CDMG|38aVULN|4DMG|59ASPD|6CGEN|7RCR
8	16262 53231	   	190.98	DCR|3VULN|1AART|1DMG|1CDMG|2ASPD	1AART|2CDMG|36aVULN|4DMG|59ASPD|7RCR|8ERES
9	16235 23352	 * 	190.68	DCR|3VULN|1AART|1DMG|2CDMG|1DUR	1AART|28CDMG|38aVULN|4DUR|5DMG|68TLV|7RCR|8BPWR|9SNIHEL
10	52353 63322	   	190.34	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD|1DUR	1DUR|24DMG|37VULN|5LIT|6RCR|8ASPD|9CDMG|aAART
11	13321 65433	 * 	189.10	DCR|3VULN|2DMG|1AART|2DUR	1AART|23aVULN|48CGEN|5RCVC|6aDMG|7aDUR|9RCR|aBPWR
12	52333 63322	   	188.41	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1DUR|2DMG|347VULN|5LIT|6RCR|8ASPD|9CDMG|aAART
13	52361 63322	   	188.41	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1DUR|2DMG|357VULN|4LIT|6RCR|8ASPD|9CDMG|aAART
14	52663 13331	 * 	187.55	DCR|2AART|2VULN|2DMG|2DUR|1SELL	19DUR|29DMG|3SELL|4aAART|5ERES|6CGEN|7RCR|89VULN|9BPWR
15	16263 33323	   	187.46	DCR|2VULN|1AART|1DMG|2CDMG|2DUR|1ASPD	1AART|28CDMG|38VULN|4DMG|5ERES|68DUR|7RCR|8BPWR|9BEXP|aASPD
16	16263 33342	   	187.46	DCR|2VULN|1AART|1DMG|2CDMG|2DUR|1ASPD	1AART|28CDMG|38VULN|4DMG|5ERES|68DUR|7RCR|8BPWR|9ASPD|aRMIN
17	16235 13363	   	187.36	DCR|2VULN|1AART|1DMG|2CDMG|2DUR|1ASPD	1AART|28CDMG|38VULN|49DUR|5DMG|68ERES|7RCR|8BPWR|aASPD
18	16263 33313	   	187.36	DCR|2VULN|1AART|1DMG|2CDMG|2DUR|1ASPD	1AART|28CDMG|38VULN|4DMG|5ERES|68DUR|7RCR|8BPWR|9DUST|aASPD
19	16263 33343	   	187.36	DCR|2VULN|1AART|1DMG|2CDMG|2DUR|1ASPD	1AART|28CDMG|38VULN|4DMG|5ERES|68DUR|7RCR|8BPWR|9ASPD|aDUST
20	16263 33631	   	186.68	DCR|2AART|2DMG|1VULN|2CDMG|1DUR	1aAART|29CDMG|3VULN|49DMG|5ERES|6DUR|7RCR|89CGEN|9BPWR
21	13153 14116	 * 	186.63	DCR|4VULN|1AART|1DMG|1CDMG	1AART|2567VULN|3CANHEL|4VENICY|8DMG|9RCR|aCDMG
22	16215 13341	   	186.58	DCR|2AART|2VULN|1DMG|2CDMG|1ASPD	1aAART|28CDMG|38VULN|4LHND|5DMG|68ERES|7RCR|8BPWR|9ASPD
23	16215 23341	   	186.58	DCR|2AART|2VULN|1DMG|2CDMG|1ASPD	1aAART|28CDMG|38VULN|4LHND|5DMG|68TLV|7RCR|8BPWR|9ASPD
